userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A10RD7IWL3S1CS,0,5,2,pos,3月2日,small&dense-0,4.20-19.87,0,3月4日,29.272
A10RD7IWL3S1CS,27,2,1,num,0,0,8.53,0,5,60
A10RD7IWL3S1CS,12,5,0,pos,6,large&dense,4.34,1,6,13.416
A10RD7IWL3S1CS,21,2,2,num,1,small&sparse,7.83,1,1,9.424
A10RD7IWL3S1CS,29,4,1,num,4,small&sparse,10.48,1,4,12.209
A10RD7IWL3S1CS,15,2,0,pos,7,small&sparse,9.23,1,7,11.541
A10RD7IWL3S1CS,60,-1,2,center position,5,small&dense,6.46,1,5,8.075
A10RD7IWL3S1CS,34,3,0,num,5月1日,large&dense-0,12.56-7.30,0,2005/7/6,60
A10RD7IWL3S1CS,0,5,2,pos,4月1日,small&sparse-0,7.26-9.71,0,3月4日,19.434
A10RD7IWL3S1CS,27,2,1,num,2,0,5.87,0,5,7.802
A10RD7IWL3S1CS,12,5,0,pos,6,large&dense,5.8,1,6,7.837
A10RD7IWL3S1CS,21,2,2,num,7,0,6.49,0,1,8.477
A10RD7IWL3S1CS,29,4,1,num,4,small&sparse,14.05,1,4,15.656
A10RD7IWL3S1CS,15,2,0,pos,7,small&sparse,4,1,7,5.755
A10RD7IWL3S1CS,60,-1,2,center position,5,small&dense,6.4,1,5,10.984
A10RD7IWL3S1CS,34,3,0,num,2001/7/3,0-large&dense-0,10.58-1.14-1.03,0,2005/7/6,14.729
A10RD7IWL3S1CS,1,0,2,pos,2,small&sparse,6.07,1,2,7.792
A10RD7IWL3S1CS,20,1,2,num,2月3日,0-0,7.86-2.18,0,4月7日,11.98
A10RD7IWL3S1CS,7,0,1,pos,7-3-0,small&sparse-large&sparse-0,4.96-3.35-6.31,0,2005/3/7,15.701
A10RD7IWL3S1CS,5,4,2,pos,0-2,large&dense-0,3.11-3.60,0,0-3,8.375
A10RD7IWL3S1CS,10,3,1,pos,7月3日,small&dense-large&dense,3.91-1.17,1,7月3日,7.198
A10RD7IWL3S1CS,13,0,0,pos,3-0-5,small&dense-large&sparse-large&dense,4.14-3.12-3.83,1,3-5-0,13.38
A10RD7IWL3S1CS,14,1,0,pos,5-0-1,large&dense-0-0,5.39-3.05-2.79,0,2006/5/7,13.029
A10RD7IWL3S1CS,32,-1,2,shape,4,large&dense,5.37,1,4,7.626
A10RD7IWL3S1CS,22,3,2,num,5-0,0-large&sparse,5.83-1.57,0,0-7,9.14
A10RD7IWL3S1CS,62,-1,2,center position,4,large&dense,3.29,1,4,4.979
A10RD7IWL3S1CS,23,4,2,num,7-0-6,0-large&dense-large&dense,3.74-1.28-3.58,0,3-6-0,10.483
A10RD7IWL3S1CS,17,4,0,pos,5月4日,small&sparse-0,4.43-1.99,0,0-5,16.565
A10RD7IWL3S1CS,8,1,1,pos,1月2日,large&dense-0,7.23-3.10,0,1月6日,11.945
A10RD7IWL3S1CS,35,4,0,num,2000/6/4,small&sparse-small&dense-0,6.53-2.08-1.16,0,6-5-0,11.603
A10RD7IWL3S1CS,3,2,2,pos,0,0,6.98,0,7,8.735
A10RD7IWL3S1CS,33,2,0,num,3,0,7.55,0,5,9.61
A10RD7IWL3S1CS,9,2,1,pos,1,small&dense,3.54,1,1,5.248
A10RD7IWL3S1CS,4,3,2,pos,2000/2/6,small&dense-small&dense-small&sparse,3.06-1.40-2.56,1,2000/2/6,8.856
A10RD7IWL3S1CS,3,-1,2,point number,3,0,9.78,0,1,11.544
A10RD7IWL3S1CS,6,5,1,pos,2,small&dense,3.67,1,2,6.476
A10RD7IWL3S1CS,28,3,1,num,2000/1/5,small&dense-0-small&sparse,2.98-1.60-4.38,0,2000/2/5,17.043
A10RD7IWL3S1CS,18,5,2,num,2005/6/7,small&sparse-0-small&dense,7.01-4.23-2.23,0,2007/2/5,15.156
A10RD7IWL3S1CS,11,4,1,pos,6-0-5,small&dense-large&sparse-0,5.35-5.05-3.75,0,6-1-0,16.223
A10RD7IWL3S1CS,30,5,0,num,5月6日,small&dense-0,8.99-4.96,0,5-0,15.721
A10RD7IWL3S1CS,19,0,2,num,3,small&dense,10.15,1,3,11.546
A10RD7IWL3S1CS,25,0,1,num,4月2日,0-0,6.87-1.14,0,1-0,9.993
A10RD7IWL3S1CS,31,0,0,num,6月2日,large&sparse-0,4.25-3.89,0,6月5日,9.74
A10RD7IWL3S1CS,32,1,0,num,3,0,7.68,0,7,8.892
A10RD7IWL3S1CS,16,3,0,pos,1月7日,small&sparse-0,4.49-8.03,0,1-0,13.933
A10RD7IWL3S1CS,2,1,2,pos,2004/5/6,large&sparse-small&dense-small&sparse,6.42-6.92-3.13,1,2005/4/6,18.122
A10RD7IWL3S1CS,26,1,1,num,4-6-0,small&dense-large&sparse-0,4.42-10.64-6.88,0,2003/4/6,24.14
A10RD7IWL3S1CS,24,5,1,num,2月6日,small&dense-small&sparse,4.90-2.19,1,2月6日,8.62
