userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A16K7X677N4WN6,0,5,2,pos,3-4,small&dense-small&sparse,3.96-12.03,1,3-4,18.479
A16K7X677N4WN6,27,2,1,num,5,small&sparse,17.24,1,5,48.208
A16K7X677N4WN6,12,5,0,pos,6,large&dense,3.42,1,6,9.439
A16K7X677N4WN6,21,2,2,num,1,small&sparse,54.95,1,1,57.624
A16K7X677N4WN6,29,4,1,num,4,small&sparse,10.52,1,4,15.062
A16K7X677N4WN6,15,2,0,pos,7,small&sparse,18.81,1,7,21.953
A16K7X677N4WN6,60,-1,2,center position,5,small&dense,3.33,1,5,8.389
A16K7X677N4WN6,34,3,0,num,7,large&dense,46.65,0,5-7-6,60
A16K7X677N4WN6,1,0,2,pos,2,small&sparse,10.03,1,2,12.63
A16K7X677N4WN6,20,1,2,num,7-4,large&dense-small&dense,7.77-11.38,1,4-7,20.807
A16K7X677N4WN6,7,0,1,pos,3-5,large&sparse-small&sparse,6.90-6.19,0,5-3-7,60
A16K7X677N4WN6,5,4,2,pos,3-0,small&sparse-large&dense,11.89-12.01,1,0-3,26.254
A16K7X677N4WN6,10,3,1,pos,7-3,small&dense-large&dense,4.61-45.74,1,7-3,55.326
A16K7X677N4WN6,13,0,0,pos,5-3-0,large&dense-small&dense-large&sparse,3.69-2.41-3.61,1,3-5-0,12.308
A16K7X677N4WN6,14,1,0,pos,7-5-6,large&dense-large&dense-small&sparse,5.41-8.02-6.37,1,6-5-7,20.714
A16K7X677N4WN6,32,-1,2,shape,4,large&dense,17.59,1,4,21.903
A16K7X677N4WN6,22,3,2,num,0-7,large&sparse-small&sparse,6.20-9.48,1,0-7,17.072
A16K7X677N4WN6,62,-1,2,center position,4,large&dense,9.30,1,4,12.812
A16K7X677N4WN6,23,4,2,num,0-6-3,large&dense-large&dense-small&sparse,5.37-3.94-7.49,1,3-6-0,18.194
A16K7X677N4WN6,17,4,0,pos,0-5,small&dense-small&sparse,3.81-43.81,1,0-5,57.143
A16K7X677N4WN6,8,1,1,pos,1-6,large&dense-large&sparse,4.31-15.54,1,1-6,27.114
A16K7X677N4WN6,35,4,0,num,5,large&sparse,30.18,0,6-5-0,60
A16K7X677N4WN6,3,2,2,pos,7,small&sparse,8.27,1,7,10.992
A16K7X677N4WN6,33,2,0,num,5,small&sparse,10.28,1,5,18.334
A16K7X677N4WN6,9,2,1,pos,1,small&dense,2.01,1,1,16.311
A16K7X677N4WN6,4,3,2,pos,2-6-0,small&dense-small&sparse-small&dense,2.31-4.46-1.33,1,0-2-6,9.821
A16K7X677N4WN6,3,-1,2,point number,1,large&dense,12.14,1,1,13.361
A16K7X677N4WN6,6,5,1,pos,2,small&dense,19.00,1,2,20.218
A16K7X677N4WN6,28,3,1,num,0-2-5,small&dense-small&sparse-small&sparse,2.99-4.63-47.59,1,0-2-5,58.232
A16K7X677N4WN6,18,5,2,num,7-2-5,small&dense-small&dense-small&sparse,2.44-3.78-6.74,1,7-2-5,15.404
A16K7X677N4WN6,11,4,1,pos,0-1-6,large&sparse-small&dense-small&dense,8.73-4.67-1.95,1,6-1-0,16.58
A16K7X677N4WN6,30,5,0,num,0-5,small&dense-small&dense,15.47-10.02,1,5-0,26.699
A16K7X677N4WN6,19,0,2,num,3,small&dense,54.46,1,3,55.789
A16K7X677N4WN6,25,0,1,num,1-0,small&sparse-large&sparse,25.80-21.55,1,1-0,54.481
A16K7X677N4WN6,31,0,0,num,6,large&sparse,11.59,0,6-5,60
A16K7X677N4WN6,32,1,0,num,7,small&sparse,56.80,1,7,57.53
A16K7X677N4WN6,16,3,0,pos,0-1,small&dense-small&sparse,3.66-15.90,1,1-0,23.29
A16K7X677N4WN6,2,1,2,pos,5-6-4,small&dense-small&sparse-large&sparse,9.65-11.52-3.77,1,5-4-6,26.046
A16K7X677N4WN6,26,1,1,num,4-3-6,small&dense-small&sparse-large&sparse,3.39-37.55-13.44,1,3-4-6,56.734
A16K7X677N4WN6,24,5,1,num,2-6,small&dense-small&sparse,3.04-9.75,1,2-6,17.194
