userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A1NWF3QZPGU3Z5,0,5,2,pos,3-4,small&dense-small&sparse,5.38-4.44,1,3-4,11.924
A1NWF3QZPGU3Z5,27,2,1,num,5,small&sparse,14.14,1,5,17.959
A1NWF3QZPGU3Z5,12,5,0,pos,6,large&dense,5.41,1,6,7.271
A1NWF3QZPGU3Z5,21,2,2,num,4,0,17.56,0,1,19.907
A1NWF3QZPGU3Z5,29,4,1,num,4,small&sparse,6.16,1,4,7.891
A1NWF3QZPGU3Z5,15,2,0,pos,7,small&sparse,7.35,1,7,9.76
A1NWF3QZPGU3Z5,60,-1,2,center position,5,small&dense,3.64,1,5,5.526
A1NWF3QZPGU3Z5,34,3,0,num,5-6-7,large&dense-small&sparse-large&dense,7.63-2.88-10.36,1,5-7-6,23.063
A1NWF3QZPGU3Z5,1,0,2,pos,2,small&sparse,6.70,1,2,8.775
A1NWF3QZPGU3Z5,20,1,2,num,5-7,0-large&dense,8.98-4.76,0,4-7,16.154
A1NWF3QZPGU3Z5,7,0,1,pos,5-2-3,small&sparse-0-large&sparse,5.12-2.66-2.35,0,5-3-7,12.002
A1NWF3QZPGU3Z5,5,4,2,pos,0-3,large&dense-small&sparse,3.46-12.59,1,0-3,20.564
A1NWF3QZPGU3Z5,10,3,1,pos,3-7,large&dense-small&dense,3.66-1.56,1,7-3,7.348
A1NWF3QZPGU3Z5,13,0,0,pos,3-5-0,small&dense-large&dense-large&sparse,16.30-11.13-6.66,1,3-5-0,36.549
A1NWF3QZPGU3Z5,14,1,0,pos,5-1-6,large&dense-0-small&sparse,4.48-4.79-18.91,0,6-5-7,36.208
A1NWF3QZPGU3Z5,32,-1,2,shape,4,large&dense,5.90,1,4,7.833
A1NWF3QZPGU3Z5,22,3,2,num,0-7,large&sparse-small&sparse,6.10-3.85,1,0-7,11.774
A1NWF3QZPGU3Z5,62,-1,2,center position,4,large&dense,4.33,1,4,6.384
A1NWF3QZPGU3Z5,23,4,2,num,0-3-6,large&dense-small&sparse-large&dense,4.28-4.24-9.00,1,3-6-0,19.456
A1NWF3QZPGU3Z5,17,4,0,pos,0-5,small&dense-small&sparse,23.34-3.43,1,0-5,54.205
A1NWF3QZPGU3Z5,8,1,1,pos,1-5,large&dense-0,4.59-3.45,0,1-6,9.707
A1NWF3QZPGU3Z5,35,4,0,num,5-1-0,large&sparse-0-small&sparse,14.10-20.82-13.21,0,6-5-0,49.563
A1NWF3QZPGU3Z5,3,2,2,pos,7,small&sparse,4.03,1,7,5.754
A1NWF3QZPGU3Z5,33,2,0,num,5,small&sparse,4.80,1,5,6.501
A1NWF3QZPGU3Z5,9,2,1,pos,1,small&dense,9.30,1,1,10.977
A1NWF3QZPGU3Z5,4,3,2,pos,2-6-0,small&dense-small&sparse-small&dense,7.23-3.02-3.72,1,0-2-6,15.763
A1NWF3QZPGU3Z5,3,-1,2,point number,1,large&dense,11.85,1,1,13.817
A1NWF3QZPGU3Z5,6,5,1,pos,2,small&dense,4.02,1,2,6.404
A1NWF3QZPGU3Z5,28,3,1,num,2-0-7,small&sparse-small&dense-0,4.08-6.04-8.63,0,0-2-5,51.103
A1NWF3QZPGU3Z5,18,5,2,num,5-7-2,small&sparse-small&dense-small&dense,2.29-3.21-3.12,1,7-2-5,10.449
A1NWF3QZPGU3Z5,11,4,1,pos,0-6-1,large&sparse-small&dense-small&dense,3.97-3.66-3.18,1,6-1-0,12.962
A1NWF3QZPGU3Z5,30,5,0,num,5-7,small&dense-0,19.97-8.04,0,5-0,44.513
A1NWF3QZPGU3Z5,19,0,2,num,3,small&dense,9.74,1,3,11.261
A1NWF3QZPGU3Z5,25,0,1,num,0-1,large&sparse-small&sparse,10.48-9.71,1,1-0,22.411
A1NWF3QZPGU3Z5,31,0,0,num,6-1,large&sparse-0,18.26-6.11,0,6-5,26.781
A1NWF3QZPGU3Z5,32,1,0,num,7,small&sparse,11.26,1,7,13.335
A1NWF3QZPGU3Z5,16,3,0,pos,1-0,small&sparse-small&dense,3.76-1.78,1,1-0,7.202
A1NWF3QZPGU3Z5,2,1,2,pos,4-0-6,large&sparse-0-small&sparse,5.15-5.31-6.40,0,5-4-6,18.329
A1NWF3QZPGU3Z5,26,1,1,num,4-6-3,small&dense-large&sparse-small&sparse,5.40-9.79-4.76,1,3-4-6,21.827
A1NWF3QZPGU3Z5,24,5,1,num,6-2,small&sparse-small&dense,8.84-5.66,1,2-6,16.607
