userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A2F78ZTBUDUS1G,0,5,2,pos,3-4,small&dense-small&sparse,5.95-12.13,1,3-4,20.207
A2F78ZTBUDUS1G,27,2,1,num,5,small&sparse,12.83,1,5,14.294
A2F78ZTBUDUS1G,12,5,0,pos,6,large&dense,13.15,1,6,15.849
A2F78ZTBUDUS1G,21,2,2,num,1,small&sparse,10.87,1,1,12.223
A2F78ZTBUDUS1G,29,4,1,num,4,small&sparse,23.50,1,4,25.945
A2F78ZTBUDUS1G,15,2,0,pos,7,small&sparse,35.43,0,7,60
A2F78ZTBUDUS1G,60,-1,2,center position,5,small&dense,26.87,1,5,28.549
A2F78ZTBUDUS1G,34,3,0,num,2-4-5,0-0-large&dense,24.90-2.85-9.11,0,5-7-6,38.133
A2F78ZTBUDUS1G,1,0,2,pos,2,small&sparse,12.89,1,2,14.163
A2F78ZTBUDUS1G,20,1,2,num,7-3,large&dense-0,20.39-3.94,0,4-7,51.232
A2F78ZTBUDUS1G,7,0,1,pos,2-0-5,0-0-small&sparse,23.14-1.08-0.24,0,5-3-7,25.977
A2F78ZTBUDUS1G,5,4,2,pos,0-3,large&dense-small&sparse,27.66-7.80,1,0-3,36.743
A2F78ZTBUDUS1G,10,3,1,pos,6-3,0-large&dense,12.97-0.66,0,7-3,14.935
A2F78ZTBUDUS1G,13,0,0,pos,7-3-1,0-small&dense-0,5.36-2.68-9.81,0,3-5-0,35.009
A2F78ZTBUDUS1G,14,1,0,pos,7-2-6,large&dense-0-small&sparse,16.09-6.61-5.35,0,6-5-7,29.326
A2F78ZTBUDUS1G,32,-1,2,shape,4,large&dense,8.99,1,4,10.149
A2F78ZTBUDUS1G,22,3,2,num,7-0,small&sparse-large&sparse,7.63-13.90,1,0-7,22.849
A2F78ZTBUDUS1G,62,-1,2,center position,4,large&dense,9.51,1,4,10.817
A2F78ZTBUDUS1G,23,4,2,num,6-0-5,large&dense-large&dense-0,9.13-4.63-12.84,0,3-6-0,27.72
A2F78ZTBUDUS1G,17,4,0,pos,0-7,small&dense-0,6.81-13.85,0,0-5,21.912
A2F78ZTBUDUS1G,8,1,1,pos,1-3,large&dense-0,7.15-16.09,0,1-6,24.627
A2F78ZTBUDUS1G,35,4,0,num,5-2-0,large&sparse-0-small&sparse,8.42-12.90-8.47,0,6-5-0,60
A2F78ZTBUDUS1G,3,2,2,pos,7,small&sparse,5.36,1,7,6.508
A2F78ZTBUDUS1G,33,2,0,num,5,small&sparse,27.67,1,5,29.466
A2F78ZTBUDUS1G,9,2,1,pos,1,small&dense,8.21,1,1,10.118
A2F78ZTBUDUS1G,4,3,2,pos,0-7-2,small&dense-0-small&dense,4.99-2.04-3.23,0,0-2-6,11.957
A2F78ZTBUDUS1G,3,-1,2,point number,1,large&dense,15.41,1,1,16.957
A2F78ZTBUDUS1G,6,5,1,pos,2,small&dense,3.89,1,2,5.996
A2F78ZTBUDUS1G,28,3,1,num,0-2-4,small&dense-small&sparse-0,4.51-1.76-7.66,0,0-2-5,15.237
A2F78ZTBUDUS1G,18,5,2,num,5-7-6,small&sparse-small&dense-0,8.97-1.85-6.06,0,7-2-5,18.276
A2F78ZTBUDUS1G,11,4,1,pos,6-0-1,small&dense-large&sparse-small&dense,7.61-4.49-1.66,1,6-1-0,15.553
A2F78ZTBUDUS1G,30,5,0,num,5-3,small&dense-0,8.31-17.87,0,5-0,27.702
A2F78ZTBUDUS1G,19,0,2,num,3,small&dense,11.54,1,3,12.991
A2F78ZTBUDUS1G,25,0,1,num,0-3,large&sparse-0,11.66-10.38,0,1-0,23.163
A2F78ZTBUDUS1G,31,0,0,num,7-5,0-large&dense,13.53-8.44,0,6-5,23.358
A2F78ZTBUDUS1G,32,1,0,num,7,small&sparse,16.87,1,7,19.472
A2F78ZTBUDUS1G,16,3,0,pos,1-0,small&sparse-small&dense,6.83-2.04,1,1-0,10.125
A2F78ZTBUDUS1G,2,1,2,pos,6-5-4,small&sparse-small&dense-large&sparse,7.04-1.47-4.92,1,5-4-6,14.208
A2F78ZTBUDUS1G,26,1,1,num,4-3-6,small&dense-small&sparse-large&sparse,13.45-4.45-4.27,1,3-4-6,23.549
A2F78ZTBUDUS1G,24,5,1,num,2-6,small&dense-small&sparse,4.69-5.88,1,2-6,11.575
