userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A5SW7LKS5X50A,0,5,2,pos,3-4,small&dense-small&sparse,3.94-3.52,1,3-4,8.262
A5SW7LKS5X50A,27,2,1,num,5,small&sparse,4.00,1,5,8.63
A5SW7LKS5X50A,12,5,0,pos,5,0,8.25,0,6,10.164
A5SW7LKS5X50A,21,2,2,num,1,small&sparse,8.80,1,1,10.51
A5SW7LKS5X50A,29,4,1,num,4,small&sparse,7.69,1,4,8.904
A5SW7LKS5X50A,15,2,0,pos,7,small&sparse,12.56,1,7,16.475
A5SW7LKS5X50A,60,-1,2,center position,5,small&dense,4.42,1,5,5.443
A5SW7LKS5X50A,34,3,0,num,7-6-5,large&dense-small&sparse-large&dense,7.66-10.12-33.98,1,5-7-6,53.016
A5SW7LKS5X50A,1,0,2,pos,2,small&sparse,6.60,1,2,7.855
A5SW7LKS5X50A,20,1,2,num,7-4,large&dense-small&dense,4.56-3.60,1,4-7,9.545
A5SW7LKS5X50A,7,0,1,pos,5-7-3,small&sparse-small&sparse-large&sparse,3.42-2.32-4.49,1,5-3-7,11.139
A5SW7LKS5X50A,5,4,2,pos,3-0,small&sparse-large&dense,3.12-11.21,1,0-3,24.171
A5SW7LKS5X50A,10,3,1,pos,3-7,large&dense-small&dense,2.94-2.12,1,7-3,6.01
A5SW7LKS5X50A,13,0,0,pos,3-5-0,small&dense-large&dense-large&sparse,3.47-7.12-2.64,1,3-5-0,14.141
A5SW7LKS5X50A,14,1,0,pos,7-5-6,large&dense-large&dense-small&sparse,3.65-6.37-4.03,1,6-5-7,15.681
A5SW7LKS5X50A,32,-1,2,shape,4,large&dense,7.35,1,4,8.509
A5SW7LKS5X50A,22,3,2,num,7-0,small&sparse-large&sparse,6.29-11.28,1,0-7,18.484
A5SW7LKS5X50A,62,-1,2,center position,4,large&dense,20.23,1,4,21.412
A5SW7LKS5X50A,23,4,2,num,0-6-3,large&dense-large&dense-small&sparse,8.58-4.83-24.61,1,3-6-0,39.11
A5SW7LKS5X50A,17,4,0,pos,0-5,small&dense-small&sparse,1.13-39.68,1,0-5,48.923
A5SW7LKS5X50A,8,1,1,pos,1-6,large&dense-large&sparse,4.78-4.18,1,1-6,9.936
A5SW7LKS5X50A,35,4,0,num,0,small&sparse,5.66,0,6-5-0,60
A5SW7LKS5X50A,3,2,2,pos,7,small&sparse,3.79,1,7,4.683
A5SW7LKS5X50A,33,2,0,num,5,small&sparse,7.15,1,5,8.354
A5SW7LKS5X50A,9,2,1,pos,1,small&dense,5.45,1,1,8.584
A5SW7LKS5X50A,4,3,2,pos,0-2-6,small&dense-small&dense-small&sparse,3.21-2.97-1.56,1,0-2-6,9.178
A5SW7LKS5X50A,3,-1,2,point number,1,large&dense,6.07,1,1,6.867
A5SW7LKS5X50A,6,5,1,pos,2,small&dense,6.34,1,2,7.602
A5SW7LKS5X50A,28,3,1,num,2-0-5,small&sparse-small&dense-small&sparse,6.42-5.21-37.46,1,0-2-5,51.473
A5SW7LKS5X50A,18,5,2,num,2-5-7,small&dense-small&sparse-small&dense,4.73-2.52-3.30,1,7-2-5,11.782
A5SW7LKS5X50A,11,4,1,pos,6-1-0,small&dense-small&dense-large&sparse,3.35-3.24-2.38,1,6-1-0,10.399
A5SW7LKS5X50A,30,5,0,num,5-0,small&dense-small&dense,6.60-18.70,1,5-0,26.645
A5SW7LKS5X50A,19,0,2,num,3,small&dense,12.55,1,3,13.931
A5SW7LKS5X50A,25,0,1,num,0,large&sparse,32.44,0,1-0,60
A5SW7LKS5X50A,31,0,0,num,6-5,large&sparse-large&dense,12.25-5.29,1,6-5,19.375
A5SW7LKS5X50A,32,1,0,num,7,small&sparse,28.07,0,7,60
A5SW7LKS5X50A,16,3,0,pos,0-1,small&dense-small&sparse,3.45-1.98,1,1-0,12.828
A5SW7LKS5X50A,2,1,2,pos,4-5-6,large&sparse-small&dense-small&sparse,17.72-3.05-1.25,1,5-4-6,23.067
A5SW7LKS5X50A,26,1,1,num,6-4-3,large&sparse-small&dense-small&sparse,2.89-6.14-4.01,1,3-4-6,19.927
A5SW7LKS5X50A,26,1,1,num,6-4-3,large&sparse-small&dense-small&sparse,2.89-6.14-4.01,1,3-4-6,20.193
A5SW7LKS5X50A,24,5,1,num,2-6,small&dense-small&sparse,4.80-6.35,1,2-6,14.034
