userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A3Q8JWXRXCEEEY,0,0,2,pos,2-5,0-0,0.97-3.98,0,3-4,6.261
A3Q8JWXRXCEEEY,27,3,1,num,7,0,2.71,0,5,11.461
A3Q8JWXRXCEEEY,12,0,0,pos,0,0,1.15,0,6,3.503
A3Q8JWXRXCEEEY,21,3,2,num,5,0,1.18,0,1,2.054
A3Q8JWXRXCEEEY,29,5,1,num,4,small&sparse,2.22,1,4,3.215
A3Q8JWXRXCEEEY,15,3,0,pos,5,0,0.87,0,7,1.745
A3Q8JWXRXCEEEY,60,-1,2,center position,5,small&dense,0.68,1,5,1.476
A3Q8JWXRXCEEEY,34,4,0,num,4-5-0,0-large&dense-0,0.83-0.64-1.03,0,5-7-6,3.365
A3Q8JWXRXCEEEY,1,1,2,pos,7,0,1.19,0,2,2.024
A3Q8JWXRXCEEEY,20,2,2,num,7-2,large&dense-0,3.77-5.64,0,4-7,10.361
A3Q8JWXRXCEEEY,7,1,1,pos,2-4-7,0-0-small&sparse,1.91-0.81-3.30,0,5-3-7,6.914
A3Q8JWXRXCEEEY,5,5,2,pos,0-5,large&dense-0,1.81-0.80,0,0-3,3.5
A3Q8JWXRXCEEEY,10,4,1,pos,3-4,large&dense-0,1.14-0.44,0,7-3,2.383
A3Q8JWXRXCEEEY,13,1,0,pos,5-2-7,large&dense-0-0,1.50-0.97-1.46,0,3-5-0,4.858
A3Q8JWXRXCEEEY,14,2,0,pos,7-0-3,large&dense-0-0,0.97-0.51-0.47,0,6-5-7,2.932
A3Q8JWXRXCEEEY,32,-1,2,shape,2,0,46.72,0,4,54.789
A3Q8JWXRXCEEEY,22,4,2,num,2-3,0-0,2.94-0.57,0,0-7,17.666
A3Q8JWXRXCEEEY,62,-1,2,center position,4,large&dense,9.88,1,4,33.907
A3Q8JWXRXCEEEY,23,5,2,num,0-6-5,large&dense-large&dense-0,12.68-0.52-0.38,0,3-6-0,15.119
A3Q8JWXRXCEEEY,17,5,0,pos,0-5,small&dense-small&sparse,10.54-5.86,1,0-5,23.483
A3Q8JWXRXCEEEY,8,2,1,pos,4-1,0-large&dense,58.01-0.72,0,1-6,60
A3Q8JWXRXCEEEY,35,5,0,num,1-7-5,0-0-large&sparse,17.67-0.30-1.76,0,6-5-0,20.794
A3Q8JWXRXCEEEY,3,3,2,pos,4,0,2.22,0,7,3.418
A3Q8JWXRXCEEEY,33,3,0,num,0,0,2.96,0,5,4
A3Q8JWXRXCEEEY,9,3,1,pos,1,small&dense,5.11,1,1,6.383
A3Q8JWXRXCEEEY,4,4,2,pos,7-4-0,0-0-small&dense,6.80-3.35-0.54,0,0-2-6,11.526
A3Q8JWXRXCEEEY,3,-1,2,point number,0,0,2.82,0,1,12.183
A3Q8JWXRXCEEEY,6,0,1,pos,2,small&dense,1.11,1,2,1.75
A3Q8JWXRXCEEEY,28,4,1,num,2-3-0,small&sparse-0-small&dense,9.10-0.67-0.85,0,0-2-5,11.52
A3Q8JWXRXCEEEY,18,0,2,num,1-4-7,0-0-small&dense,1.53-0.51-0.77,0,7-2-5,3.533
A3Q8JWXRXCEEEY,11,5,1,pos,1-5-7,small&dense-0-0,9.57-0.60-0.40,0,6-1-0,11.787
A3Q8JWXRXCEEEY,30,0,0,num,7-3,0-0,1.13-0.45,0,5-0,3.503
A3Q8JWXRXCEEEY,19,1,2,num,4,0,1.92,0,3,2.826
A3Q8JWXRXCEEEY,25,1,1,num,4-7,0-0,1.25-1.58,0,1-0,3.911
A3Q8JWXRXCEEEY,31,1,0,num,7-0,0-0,2.40-1.06,0,6-5,4.31
A3Q8JWXRXCEEEY,32,2,0,num,0,0,0.88,0,7,2.032
A3Q8JWXRXCEEEY,16,4,0,pos,5-4,0-0,1.32-2.38,0,1-0,11.576
A3Q8JWXRXCEEEY,2,2,2,pos,3-1-2,0-0-0,1.47-2.14-5.34,0,5-4-6,9.791
A3Q8JWXRXCEEEY,26,2,1,num,3-4-5,small&sparse-small&dense-0,2.47-0.78-1.57,0,3-4-6,5.766
A3Q8JWXRXCEEEY,24,0,1,num,1-7,0-0,1.83-0.60,0,2-6,3.168
