userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A3UP4PP3ZF1J39,0,1,2,pos,5-1,0-0,9.42-0.68,0,3-4,11.044
A3UP4PP3ZF1J39,27,4,1,num,3-1,0-0,24.54-1.94,0,5,60
A3UP4PP3ZF1J39,12,1,0,pos,6,large&dense,10.44,1,6,12.566
A3UP4PP3ZF1J39,21,4,2,num,2,0,4.82,0,1,6.213
A3UP4PP3ZF1J39,29,0,1,num,2,0,7.55,0,4,8.873
A3UP4PP3ZF1J39,15,4,0,pos,1,0,2.02,0,7,3.128
A3UP4PP3ZF1J39,60,-1,2,center position,5,small&dense,8.63,1,5,9.737
A3UP4PP3ZF1J39,34,5,0,num,4-1-3,0-0-0,1.76-3.89-3.35,0,5-7-6,10.096
A3UP4PP3ZF1J39,1,2,2,pos,7,0,2.65,0,2,4.563
A3UP4PP3ZF1J39,20,3,2,num,3-4,0-small&dense,7.35-1.84,0,4-7,10.236
A3UP4PP3ZF1J39,7,2,1,pos,4-2-5,0-0-small&sparse,2.52-1.57-1.50,0,5-3-7,7.124
A3UP4PP3ZF1J39,5,0,2,pos,4-2,0-0,11.06-3.28,0,0-3,15.249
A3UP4PP3ZF1J39,10,5,1,pos,7-5,small&dense-0,6.02-1.11,0,7-3,8.339
A3UP4PP3ZF1J39,13,2,0,pos,0-2-3,large&sparse-0-small&dense,4.69-2.47-1.04,0,3-5-0,9.778
A3UP4PP3ZF1J39,14,3,0,pos,5-7-2,large&dense-large&dense-0,3.29-3.90-3.82,0,6-5-7,12.196
A3UP4PP3ZF1J39,32,-1,2,shape,3,0,5.95,0,4,7.619
A3UP4PP3ZF1J39,22,5,2,num,6-3,0-0,3.72-1.74,0,0-7,6.755
A3UP4PP3ZF1J39,62,-1,2,center position,2,0,3.83,0,4,4.904
A3UP4PP3ZF1J39,23,0,2,num,6-7-5,large&dense-0-0,2.93-4.50-5.39,0,3-6-0,14.254
A3UP4PP3ZF1J39,17,0,0,pos,6-4,0-0,5.40-4.80,0,0-5,11.373
A3UP4PP3ZF1J39,8,3,1,pos,0-7,0-0,2.41-7.00,0,1-6,10.883
A3UP4PP3ZF1J39,35,0,0,num,3-0-1,0-small&sparse-0,8.25-4.22-24.41,0,6-5-0,40.565
A3UP4PP3ZF1J39,3,4,2,pos,6,0,8.77,0,7,13.715
A3UP4PP3ZF1J39,33,4,0,num,2,0,4.28,0,5,7.781
A3UP4PP3ZF1J39,9,4,1,pos,5,0,12.83,0,1,14.573
A3UP4PP3ZF1J39,4,5,2,pos,4-3-1,0-0-0,6.25-4.15-1.49,0,0-2-6,13.748
A3UP4PP3ZF1J39,3,-1,2,point number,4,0,5.30,0,1,18.842
A3UP4PP3ZF1J39,6,1,1,pos,6,0,5.94,0,2,7.113
A3UP4PP3ZF1J39,28,5,1,num,6-3-0,0-0-small&dense,5.16-4.98-2.75,0,0-2-5,14.054
A3UP4PP3ZF1J39,18,1,2,num,1-4-3,0-0-0,12.52-6.44-0.94,0,7-2-5,21.265
A3UP4PP3ZF1J39,11,0,1,pos,7-0-2,0-large&sparse-0,46.95-1.45-0.79,0,6-1-0,51.189
A3UP4PP3ZF1J39,30,1,0,num,0-3,small&dense-0,6.20-1.46,0,5-0,8.781
A3UP4PP3ZF1J39,19,2,2,num,6,0,1.99,0,3,3.286
A3UP4PP3ZF1J39,25,2,1,num,2-1,0-small&sparse,14.31-2.70,0,1-0,18.217
A3UP4PP3ZF1J39,31,2,0,num,7-0,0-0,12.48-2.58,0,6-5,16.171
A3UP4PP3ZF1J39,32,3,0,num,4,0,12.49,0,7,14.105
A3UP4PP3ZF1J39,16,5,0,pos,1-0,small&sparse-small&dense,14.58-6.22,1,1-0,22.243
A3UP4PP3ZF1J39,2,3,2,pos,4-2-1,large&sparse-0-0,10.16-3.06-3.75,0,5-4-6,40.824
A3UP4PP3ZF1J39,26,3,1,num,6-3-7,large&sparse-small&sparse-0,26.18-3.97-4.35,0,3-4-6,40.346
A3UP4PP3ZF1J39,24,1,1,num,4-1,0-0,7.53-0.93,0,2-6,9.87
