userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
ABFK3Q1TJ9AZS,0,1,2,pos,5-6,0-0,4.42-1.26,0,3-4,15.208
ABFK3Q1TJ9AZS,27,4,1,num,5,small&sparse,22.54,1,5,63.01
ABFK3Q1TJ9AZS,12,1,0,pos,0,0,7.59,0,6,35.164
ABFK3Q1TJ9AZS,21,4,2,num,7,0,7.13,0,1,9.739
ABFK3Q1TJ9AZS,29,0,1,num,6,0,4.08,0,4,8.644
ABFK3Q1TJ9AZS,15,4,0,pos,2,0,12.02,0,7,22.989
ABFK3Q1TJ9AZS,60,-1,2,center position,4,0,5.16,0,5,6.893
ABFK3Q1TJ9AZS,34,5,0,num,1-3-6,0-0-small&sparse,10.45-7.54-7.03,0,5-7-6,31.639
ABFK3Q1TJ9AZS,1,2,2,pos,0,0,7.99,0,2,60.716
ABFK3Q1TJ9AZS,20,3,2,num,7-4,large&dense-small&dense,2.92-3.50,1,4-7,10.119
ABFK3Q1TJ9AZS,7,2,1,pos,3-1-2,large&sparse-0-0,3.88-1.74-2.71,0,5-3-7,11.151
ABFK3Q1TJ9AZS,5,0,2,pos,0-5,large&dense-0,4.22-2.05,0,0-3,8.888
ABFK3Q1TJ9AZS,10,5,1,pos,2-6,0-0,5.67-7.39,0,7-3,23.223
ABFK3Q1TJ9AZS,13,2,0,pos,7-1-2,0-0-0,3.81-2.45-4.08,0,3-5-0,14.008
ABFK3Q1TJ9AZS,14,3,0,pos,6-0-7,small&sparse-0-large&dense,3.06-7.03-15.65,0,6-5-7,60
ABFK3Q1TJ9AZS,32,-1,2,shape,0,0,7.75,0,4,18.387
ABFK3Q1TJ9AZS,22,5,2,num,0-1,large&sparse-0,2.67-3.46,0,0-7,9.787
ABFK3Q1TJ9AZS,62,-1,2,center position,1,0,2.66,0,4,5.505
ABFK3Q1TJ9AZS,23,0,2,num,4-2-5,0-0-0,5.07-1.50-15.68,0,3-6-0,26.08
ABFK3Q1TJ9AZS,17,0,0,pos,0-3,small&dense-0,5.18-3.31,0,0-5,12.234
ABFK3Q1TJ9AZS,8,3,1,pos,1-5,large&dense-0,2.96-2.18,0,1-6,9.624
ABFK3Q1TJ9AZS,35,0,0,num,3-5-7,0-large&sparse-0,3.27-3.42-5.39,0,6-5-0,15.196
ABFK3Q1TJ9AZS,3,4,2,pos,5,0,3.39,0,7,5.645
ABFK3Q1TJ9AZS,33,4,0,num,0,0,5.12,0,5,7.527
ABFK3Q1TJ9AZS,9,4,1,pos,5,0,4.67,0,1,7.247
ABFK3Q1TJ9AZS,4,5,2,pos,2-1-0,small&dense-0-small&dense,6.91-1.59-1.78,0,0-2-6,12.735
ABFK3Q1TJ9AZS,3,-1,2,point number,4,0,2.06,0,1,4.53
ABFK3Q1TJ9AZS,6,1,1,pos,5,0,2.80,0,2,5.37
ABFK3Q1TJ9AZS,28,5,1,num,5-2-1,small&sparse-small&sparse-0,3.84-1.78-1.41,0,0-2-5,9.854
ABFK3Q1TJ9AZS,18,1,2,num,0-3,0-0,3.25-3.20,0,7-2-5,60
ABFK3Q1TJ9AZS,11,0,1,pos,7-5-2,0-0-0,3.48-4.28-13.38,0,6-1-0,22.775
ABFK3Q1TJ9AZS,30,1,0,num,3-4,0-0,5.70-2.35,0,5-0,25.306
ABFK3Q1TJ9AZS,19,2,2,num,3,small&dense,2.30,1,3,5.183
ABFK3Q1TJ9AZS,25,2,1,num,0-5,large&sparse-0,3.09-1.61,0,1-0,7.704
ABFK3Q1TJ9AZS,31,2,0,num,5-6,large&dense-large&sparse,2.94-1.47,1,6-5,6.594
ABFK3Q1TJ9AZS,32,3,0,num,5,0,3.01,0,7,7.604
ABFK3Q1TJ9AZS,16,5,0,pos,0-2,small&dense-0,2.06-1.87,0,1-0,6.508
ABFK3Q1TJ9AZS,2,3,2,pos,4-0-1,large&sparse-0-0,2.26-1.64-1.93,0,5-4-6,7.897
ABFK3Q1TJ9AZS,26,3,1,num,4-3-6,small&dense-small&sparse-large&sparse,4.60-2.83-1.99,1,3-4-6,12.214
ABFK3Q1TJ9AZS,24,1,1,num,3-4,0-0,2.07-1.27,0,2-6,5.455
