userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A1YFFRRABDKJU5,0,2,2,pos,0-3,0-small&dense,9.32-4.66,0,3-4,31.023
A1YFFRRABDKJU5,27,5,1,num,1,0,3.14,0,5,14.241
A1YFFRRABDKJU5,12,2,0,pos,2,0,6.35,0,6,8.083
A1YFFRRABDKJU5,21,5,2,num,2,0,6.97,0,1,8.743
A1YFFRRABDKJU5,29,1,1,num,1,0,6.04,0,4,8.038
A1YFFRRABDKJU5,15,5,0,pos,6,0,3.12,0,7,6.018
A1YFFRRABDKJU5,60,-1,2,center position,1,0,3.46,0,5,5.167
A1YFFRRABDKJU5,34,0,0,num,2-4-7,0-0-large&dense,7.49-8.41-1.82,0,5-7-6,23.055
A1YFFRRABDKJU5,1,3,2,pos,3,0,6.84,0,2,8.592
A1YFFRRABDKJU5,20,4,2,num,2-4,0-small&dense,3.63-2.14,0,4-7,8.055
A1YFFRRABDKJU5,7,3,1,pos,0-4-1,0-0-0,4.37-1.78-7.56,0,5-3-7,15.052
A1YFFRRABDKJU5,5,1,2,pos,6-7,0-0,7.43-4.60,0,0-3,13.558
A1YFFRRABDKJU5,10,0,1,pos,3-7,large&dense-small&dense,13.84-6.07,1,7-3,21.467
A1YFFRRABDKJU5,13,3,0,pos,7-2-4,0-0-0,4.17-2.43-3.26,0,3-5-0,11.548
A1YFFRRABDKJU5,14,4,0,pos,5-4-3,large&dense-0-0,4.09-2.61-1.65,0,6-5-7,10.677
A1YFFRRABDKJU5,32,-1,2,shape,1,0,4.76,0,4,7.553
A1YFFRRABDKJU5,22,0,2,num,1-0,0-large&sparse,1.41-7.01,0,0-7,13.501
A1YFFRRABDKJU5,62,-1,2,center position,0,0,5.27,0,4,8.768
A1YFFRRABDKJU5,23,1,2,num,3-1-2,small&sparse-0-0,6.27-2.56-2.71,0,3-6-0,14.723
A1YFFRRABDKJU5,17,1,0,pos,3-2,0-0,3.95-5.98,0,0-5,11.955
A1YFFRRABDKJU5,8,4,1,pos,3-7,0-0,4.20-4.97,0,1-6,10.461
A1YFFRRABDKJU5,35,1,0,num,6-5-1,small&dense-large&sparse-0,3.24-0.98-4.61,0,6-5-0,19.546
A1YFFRRABDKJU5,3,5,2,pos,3,0,5.27,0,7,7.105
A1YFFRRABDKJU5,33,5,0,num,2,0,4.33,0,5,6.231
A1YFFRRABDKJU5,9,5,1,pos,2,0,1.71,0,1,3.392
A1YFFRRABDKJU5,4,0,2,pos,3-6-2,0-small&sparse-small&dense,4.96-1.39-6.77,0,0-2-6,14.841
A1YFFRRABDKJU5,3,-1,2,point number,0,0,8.39,0,1,10.302
A1YFFRRABDKJU5,6,2,1,pos,3,0,20.98,0,2,22.227
A1YFFRRABDKJU5,28,0,1,num,1-6-4,0-0-0,4.90-2.63-7.12,0,0-2-5,16.196
A1YFFRRABDKJU5,18,2,2,num,1-7-5,0-small&dense-small&sparse,12.45-4.42-4.29,0,7-2-5,23.667
A1YFFRRABDKJU5,11,1,1,pos,5-4-6,0-0-small&dense,7.49-1.23-1.05,0,6-1-0,17.923
A1YFFRRABDKJU5,30,2,0,num,7-6,0-0,12.93-2.44,0,5-0,16.763
A1YFFRRABDKJU5,19,3,2,num,7,0,9.51,0,3,10.752
A1YFFRRABDKJU5,25,3,1,num,3-6,0-0,3.17-2.96,0,1-0,8.722
A1YFFRRABDKJU5,31,3,0,num,2-4,0-0,1.03-3.86,0,6-5,12.025
A1YFFRRABDKJU5,32,4,0,num,3,0,2.32,0,7,3.714
A1YFFRRABDKJU5,16,0,0,pos,7-2,0-0,4.26-2.06,0,1-0,7.707
A1YFFRRABDKJU5,2,4,2,pos,5-2-3,small&dense-0-0,4.06-2.96-2.13,0,5-4-6,11.072
A1YFFRRABDKJU5,26,4,1,num,3-0-2,small&sparse-0-0,2.45-2.06-4.91,0,3-4-6,15.096
A1YFFRRABDKJU5,24,2,1,num,0-5,0-0,7.53-2.92,0,2-6,12.743
