userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
AQY2VLMPDV28K,0,2,2,pos,5-0,0-0,8.10-3.27,0,3-4,12.297
AQY2VLMPDV28K,27,5,1,num,7,0,1.28,0,5,23.58
AQY2VLMPDV28K,12,2,0,pos,0,0,10.09,0,6,11.688
AQY2VLMPDV28K,21,5,2,num,5,0,7.06,0,1,8.62
AQY2VLMPDV28K,29,1,1,num,1,0,2.51,0,4,6.584
AQY2VLMPDV28K,15,5,0,pos,6,0,9.19,0,7,11.516
AQY2VLMPDV28K,60,-1,2,center position,2,0,3.83,0,5,4.995
AQY2VLMPDV28K,34,0,0,num,7-5-0,large&dense-large&dense-0,3.49-1.09-1.68,0,5-7-6,8.586
AQY2VLMPDV28K,1,3,2,pos,1,0,7.19,0,2,8.83
AQY2VLMPDV28K,20,4,2,num,1-3,0-0,7.10-1.11,0,4-7,9.231
AQY2VLMPDV28K,7,3,1,pos,0-7-1,0-small&sparse-0,6.62-12.79-3.88,0,5-3-7,29.805
AQY2VLMPDV28K,5,1,2,pos,4-0,0-large&dense,22.27-1.33,0,0-3,28.5
AQY2VLMPDV28K,10,0,1,pos,5-3,0-large&dense,3.31-2.16,0,7-3,6.668
AQY2VLMPDV28K,13,3,0,pos,1-5-3,0-large&dense-small&dense,2.35-1.00-9.23,0,3-5-0,13.821
AQY2VLMPDV28K,14,4,0,pos,5-7-3,large&dense-large&dense-0,9.81-1.73-1.30,0,6-5-7,14.549
AQY2VLMPDV28K,32,-1,2,shape,4,large&dense,2.88,1,4,18.983
AQY2VLMPDV28K,22,0,2,num,5-2,0-0,3.21-1.41,0,0-7,6.254
AQY2VLMPDV28K,62,-1,2,center position,4,large&dense,4.73,1,4,6.628
AQY2VLMPDV28K,23,1,2,num,0-5-6,large&dense-0-large&dense,5.95-6.64-1.95,0,3-6-0,16.397
AQY2VLMPDV28K,17,1,0,pos,7-0,0-small&dense,2.06-1.48,0,0-5,14.813
AQY2VLMPDV28K,8,4,1,pos,1-0,large&dense-0,4.44-1.69,0,1-6,8.013
AQY2VLMPDV28K,35,1,0,num,7-6-2,0-small&dense-0,4.39-0.84-1.11,0,6-5-0,8.207
AQY2VLMPDV28K,3,5,2,pos,3,0,5.64,0,7,7.378
AQY2VLMPDV28K,33,5,0,num,1,0,5.87,0,5,7.067
AQY2VLMPDV28K,9,5,1,pos,1,small&dense,3.19,1,1,4.947
AQY2VLMPDV28K,4,0,2,pos,7-5-0,0-0-small&dense,3.34-2.75-3.51,0,0-2-6,11.489
AQY2VLMPDV28K,3,-1,2,point number,2,0,1.68,0,1,9.333
AQY2VLMPDV28K,6,2,1,pos,4,0,4.85,0,2,6.942
AQY2VLMPDV28K,28,0,1,num,1-0-2,0-small&dense-small&sparse,3.27-1.22-4.71,0,0-2-5,11.651
AQY2VLMPDV28K,18,2,2,num,2-6-1,small&dense-0-0,5.99-1.88-2.19,0,7-2-5,11.689
AQY2VLMPDV28K,11,1,1,pos,7-0-6,0-large&sparse-small&dense,4.06-1.18-1.49,0,6-1-0,8.417
AQY2VLMPDV28K,30,2,0,num,7-5,0-small&dense,2.71-0.96,0,5-0,15.596
AQY2VLMPDV28K,19,3,2,num,4,0,10.02,0,3,11.779
AQY2VLMPDV28K,25,3,1,num,5-0,0-large&sparse,5.83-2.23,0,1-0,10.075
AQY2VLMPDV28K,31,3,0,num,6-5,large&sparse-large&dense,0.98-3.87,1,6-5,10.267
AQY2VLMPDV28K,32,4,0,num,3,0,3.07,0,7,5.35
AQY2VLMPDV28K,16,0,0,pos,5-7,0-0,2.29-7.47,0,1-0,15.255
AQY2VLMPDV28K,2,4,2,pos,7-0-4,0-0-large&sparse,2.29-3.77-1.99,0,5-4-6,10.031
AQY2VLMPDV28K,26,4,1,num,1-0-7,0-0-0,2.41-2.04-2.19,0,3-4-6,8.353
AQY2VLMPDV28K,24,2,1,num,6-0,small&sparse-0,3.61-1.13,0,2-6,6.432
