userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A3VHYPTSQR2HG5,0,3,2,pos,0-4,0-small&sparse,2.77-4.02,0,3-4,17.561
A3VHYPTSQR2HG5,27,0,1,num,1,0,0.94,0,5,4.437
A3VHYPTSQR2HG5,27,0,1,num,1,0,0.94,0,5,4.968
A3VHYPTSQR2HG5,12,3,0,pos,7,0,0.53,0,6,8.838
A3VHYPTSQR2HG5,12,3,0,pos,7,0,0.53,0,6,9.752
A3VHYPTSQR2HG5,21,0,2,num,4,0,1.29,0,1,17.563
A3VHYPTSQR2HG5,29,2,1,num,5,0,26.68,0,4,39.596
A3VHYPTSQR2HG5,15,0,0,pos,5,0,8.90,0,7,25.481
A3VHYPTSQR2HG5,15,0,0,pos,5,0,8.90,0,7,27.045
A3VHYPTSQR2HG5,60,-1,2,center position,0,0,9.17,0,5,16.339
A3VHYPTSQR2HG5,34,1,0,num,1,0,1.90,0,5-7-6,60
A3VHYPTSQR2HG5,1,4,2,pos,1,0,0.59,0,2,22.369
A3VHYPTSQR2HG5,20,5,2,num,3-2,0-0,0.23-3.40,0,4-7,24.996
A3VHYPTSQR2HG5,7,4,1,pos,1-2-0,0-0-0,0.48-3.70-3.02,0,5-3-7,33.012
A3VHYPTSQR2HG5,7,4,1,pos,1-2-0,0-0-0,0.48-3.70-3.02,0,5-3-7,33.418
A3VHYPTSQR2HG5,5,2,2,pos,4-5,0-0,6.33-0.49,0,0-3,8.798
A3VHYPTSQR2HG5,10,1,1,pos,2-0,0-0,0.75-1.24,0,7-3,9.605
A3VHYPTSQR2HG5,13,4,0,pos,0-7-4,large&sparse-0-0,0.63-0.28-0.19,0,3-5-0,13.13
A3VHYPTSQR2HG5,14,5,0,pos,6-0-3,small&sparse-0-0,0.95-0.24-0.74,0,6-5-7,9.933
A3VHYPTSQR2HG5,32,-1,2,shape,3,0,0.80,0,4,8.884
A3VHYPTSQR2HG5,22,1,2,num,3-5,0-0,0.88-0.74,0,0-7,9.255
A3VHYPTSQR2HG5,62,-1,2,center position,1,0,4.69,0,4,22.51
A3VHYPTSQR2HG5,23,2,2,num,4-3-5,0-small&sparse-0,2.25-0.37-0.18,0,3-6-0,8.641
A3VHYPTSQR2HG5,17,2,0,pos,4-2,0-0,1.08-0.27,0,0-5,17.038
A3VHYPTSQR2HG5,8,5,1,pos,1-7,large&dense-0,3.61-1.28,0,1-6,20.004
A3VHYPTSQR2HG5,35,2,0,num,3-6-1,0-small&dense-0,3.12-0.30-0.84,0,6-5-0,16.674
A3VHYPTSQR2HG5,3,0,2,pos,7,small&sparse,1.05,1,7,14.97
A3VHYPTSQR2HG5,33,0,0,num,0,0,0.96,0,5,24.703
A3VHYPTSQR2HG5,9,0,1,pos,3,0,1.11,0,1,23.667
A3VHYPTSQR2HG5,4,1,2,pos,,0,,0,0-2-6,60
A3VHYPTSQR2HG5,3,-1,2,point number,4,0,1.01,0,1,24.153
A3VHYPTSQR2HG5,6,3,1,pos,0,0,1.33,0,2,23.939
A3VHYPTSQR2HG5,28,1,1,num,4-7-0,0-0-small&dense,2.17-0.63-0.19,0,0-2-5,22.33
A3VHYPTSQR2HG5,28,1,1,num,4-7-0,0-0-small&dense,2.17-0.63-0.19,0,0-2-5,23.066
A3VHYPTSQR2HG5,18,3,2,num,6-5-4,0-small&sparse-0,0.89-1.30-0.84,0,7-2-5,23.019
A3VHYPTSQR2HG5,11,2,1,pos,0-4-6,large&sparse-0-small&dense,0.96-0.47-1.02,0,6-1-0,20.724
A3VHYPTSQR2HG5,30,3,0,num,2-7,0-0,1.02-1.26,0,5-0,23.961
A3VHYPTSQR2HG5,19,4,2,num,3,small&dense,1.83,1,3,34.363
A3VHYPTSQR2HG5,25,4,1,num,3-7,0-0,1.49-0.48,0,1-0,28.608
A3VHYPTSQR2HG5,31,4,0,num,4-7,0-0,0.90-0.41,0,6-5,19.754
A3VHYPTSQR2HG5,32,5,0,num,2-6,0-0,4.03-0.59,0,7,60
A3VHYPTSQR2HG5,16,1,0,pos,5-1,0-small&sparse,1.72-0.43,0,1-0,20.424
A3VHYPTSQR2HG5,2,5,2,pos,2-0-3,0-0-0,1.28-0.75-0.55,0,5-4-6,19.711
A3VHYPTSQR2HG5,26,5,1,num,6-4-5,large&sparse-small&dense-0,5.39-0.23-0.69,0,3-4-6,20.305
A3VHYPTSQR2HG5,24,3,1,num,6-1,small&sparse-0,0.79-0.41,0,2-6,23.51
