userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A23YFEZKGMM88N,0,4,2,pos,5-0,0-0,1.46-3.14,0,3-4,5.434
A23YFEZKGMM88N,27,1,1,num,7,0,1.41,0,5,3.313
A23YFEZKGMM88N,12,4,0,pos,4,0,2.25,0,6,4.149
A23YFEZKGMM88N,21,1,2,num,4,0,1.50,0,1,2.897
A23YFEZKGMM88N,29,3,1,num,5,0,1.42,0,4,3.066
A23YFEZKGMM88N,15,1,0,pos,6,0,1.88,0,7,3.241
A23YFEZKGMM88N,60,-1,2,center position,0,0,1.38,0,5,2.73
A23YFEZKGMM88N,34,2,0,num,2-0-1,0-0-0,1.14-5.11-1.97,0,5-7-6,9.669
A23YFEZKGMM88N,1,5,2,pos,7,0,1.40,0,2,2.761
A23YFEZKGMM88N,20,0,2,num,2-6,0-0,1.05-3.66,0,4-7,5.598
A23YFEZKGMM88N,7,5,1,pos,1-7-3,0-small&sparse-large&sparse,1.07-1.38-5.29,0,5-3-7,8.884
A23YFEZKGMM88N,5,3,2,pos,0-7,large&dense-0,1.88-0.75,0,0-3,3.991
A23YFEZKGMM88N,10,2,1,pos,4-3,0-large&dense,1.29-0.63,0,7-3,3.428
A23YFEZKGMM88N,13,5,0,pos,4-1-3,0-0-small&dense,2.36-0.74-0.63,0,3-5-0,5.133
A23YFEZKGMM88N,14,0,0,pos,7-0-5,large&dense-0-large&dense,1.75-0.40-1.10,0,6-5-7,4.552
A23YFEZKGMM88N,32,-1,2,shape,5,0,2.05,0,4,4.065
A23YFEZKGMM88N,22,2,2,num,1-6,0-0,1.99-0.54,0,0-7,45.1
A23YFEZKGMM88N,62,-1,2,center position,4,large&dense,1.76,1,4,3.264
A23YFEZKGMM88N,23,3,2,num,5-6-4,0-large&dense-0,1.41-4.23-0.76,0,3-6-0,7.284
A23YFEZKGMM88N,17,3,0,pos,4,0,1.28,0,0-5,60
A23YFEZKGMM88N,8,0,1,pos,4-1,0-large&dense,2.26-0.74,0,1-6,4.357
A23YFEZKGMM88N,35,3,0,num,7-6-2,0-small&dense-0,1.54-0.71-0.58,0,6-5-0,6.524
A23YFEZKGMM88N,3,1,2,pos,0,0,1.61,0,7,2.664
A23YFEZKGMM88N,33,1,0,num,3,0,1.66,0,5,2.844
A23YFEZKGMM88N,9,1,1,pos,4,0,1.61,0,1,3.208
A23YFEZKGMM88N,4,2,2,pos,3-0-7,0-small&dense-0,1.68-0.78-1.13,0,0-2-6,4.596
A23YFEZKGMM88N,3,-1,2,point number,1,large&dense,2.32,1,1,3.45
A23YFEZKGMM88N,6,4,1,pos,6,0,1.21,0,2,2.684
A23YFEZKGMM88N,28,2,1,num,0-3-7,small&dense-0-0,1.57-0.90-0.85,0,0-2-5,4.467
A23YFEZKGMM88N,18,4,2,num,6-4-0,0-0-0,1.66-0.61-1.64,0,7-2-5,5.742
A23YFEZKGMM88N,11,3,1,pos,1-6-0,small&dense-small&dense-large&sparse,1.80-0.99-1.14,1,6-1-0,5.4
A23YFEZKGMM88N,30,4,0,num,3-0,0-small&dense,1.42-3.06,0,5-0,5.547
A23YFEZKGMM88N,19,5,2,num,3,small&dense,1.35,1,3,2.673
A23YFEZKGMM88N,25,5,1,num,5-0,0-large&sparse,4.95-4.49,0,1-0,10.364
A23YFEZKGMM88N,31,5,0,num,4-7,0-0,1.69-0.90,0,6-5,4.112
A23YFEZKGMM88N,32,0,0,num,3,0,1.34,0,7,2.695
A23YFEZKGMM88N,16,2,0,pos,4-0,0-small&dense,1.40-1.05,0,1-0,3.746
A23YFEZKGMM88N,2,0,2,pos,3-5-2,0-small&dense-0,1.43-0.52-0.78,0,5-4-6,4.114
A23YFEZKGMM88N,26,0,1,num,1-4-6,0-small&dense-large&sparse,1.37-0.89-1.50,0,3-4-6,5.067
A23YFEZKGMM88N,24,4,1,num,1-4,0-0,1.39-0.95,0,2-6,3.744
