userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A3578JMEDCD1FB,0,4,2,pos,1-3,0-small&dense,6.38-2.52,0,3-4,16.068
A3578JMEDCD1FB,27,1,1,num,1,0,8.78,0,5,13.774
A3578JMEDCD1FB,12,4,0,pos,0,0,5.49,0,6,11.044
A3578JMEDCD1FB,21,1,2,num,3,0,6.11,0,1,11.226
A3578JMEDCD1FB,29,3,1,num,0,0,6.82,0,4,11.463
A3578JMEDCD1FB,15,1,0,pos,0,0,6.56,0,7,10.676
A3578JMEDCD1FB,60,-1,2,center position,0,0,4.03,0,5,8.583
A3578JMEDCD1FB,34,2,0,num,5-2-0,large&dense-0-0,2.90-1.99-1.91,0,5-7-6,19.648
A3578JMEDCD1FB,1,5,2,pos,6,0,4.25,0,2,8.127
A3578JMEDCD1FB,20,0,2,num,1-2,0-0,4.11-4.75,0,4-7,14.834
A3578JMEDCD1FB,7,5,1,pos,0-4-3,0-0-large&sparse,4.83-3.61-1.93,0,5-3-7,20.146
A3578JMEDCD1FB,5,3,2,pos,0-7,large&dense-0,4.07-3.34,0,0-3,11.565
A3578JMEDCD1FB,10,2,1,pos,5-3,0-large&dense,3.64-4.11,0,7-3,12.378
A3578JMEDCD1FB,13,5,0,pos,7-3-5,0-small&dense-large&dense,5.73-2.02-1.09,0,3-5-0,13.867
A3578JMEDCD1FB,14,0,0,pos,7-3-5,large&dense-0-large&dense,5.18-0.92-3.48,0,6-5-7,12.18
A3578JMEDCD1FB,32,-1,2,shape,2,0,6.13,0,4,8.61
A3578JMEDCD1FB,22,2,2,num,6-5,0-0,3.60-3.66,0,0-7,12.384
A3578JMEDCD1FB,62,-1,2,center position,1,0,2.34,0,4,25.983
A3578JMEDCD1FB,23,3,2,num,4-7-5,0-0-0,3.59-2.85-3.85,0,3-6-0,15.979
A3578JMEDCD1FB,17,3,0,pos,0-4,small&dense-0,3.50-1.39,0,0-5,10.606
A3578JMEDCD1FB,8,0,1,pos,4-7,0-0,6.53-2.90,0,1-6,15.262
A3578JMEDCD1FB,35,3,0,num,6-5-7,small&dense-large&sparse-0,4.07-3.17-2.88,0,6-5-0,12.665
A3578JMEDCD1FB,3,1,2,pos,3,0,4.73,0,7,8.429
A3578JMEDCD1FB,33,1,0,num,3,0,3.46,0,5,9.044
A3578JMEDCD1FB,9,1,1,pos,3,0,2.45,0,1,9.883
A3578JMEDCD1FB,4,2,2,pos,0-7-2,small&dense-0-small&dense,1.73-1.09-2.04,0,0-2-6,8.144
A3578JMEDCD1FB,3,-1,2,point number,3,0,3.05,0,1,12.098
A3578JMEDCD1FB,6,4,1,pos,1,0,4.63,0,2,8.211
A3578JMEDCD1FB,28,2,1,num,3-6-7,0-0-0,2.54-2.03-0.95,0,0-2-5,7.996
A3578JMEDCD1FB,18,4,2,num,6-1-4,0-0-0,1.56-1.50-1.03,0,7-2-5,6.748
A3578JMEDCD1FB,11,3,1,pos,6-0-3,small&dense-large&sparse-0,2.96-2.61-1.17,0,6-1-0,9.735
A3578JMEDCD1FB,30,4,0,num,3-5,0-small&dense,2.21-0.95,0,5-0,8.255
A3578JMEDCD1FB,19,5,2,num,3,small&dense,1.83,1,3,4.035
A3578JMEDCD1FB,25,5,1,num,1-3,small&sparse-0,2.54-2.14,0,1-0,7.22
A3578JMEDCD1FB,31,5,0,num,6-0,large&sparse-0,3.11-1.16,0,6-5,6.354
A3578JMEDCD1FB,32,0,0,num,2,0,3.02,0,7,7.825
A3578JMEDCD1FB,16,2,0,pos,0-7,small&dense-0,2.10-0.88,0,1-0,5.111
A3578JMEDCD1FB,2,0,2,pos,2-6-4,0-small&sparse-large&sparse,2.77-1.23-4.18,0,5-4-6,9.735
A3578JMEDCD1FB,26,0,1,num,4-3-0,small&dense-small&sparse-0,2.34-1.23-1.32,0,3-4-6,7.157
A3578JMEDCD1FB,24,4,1,num,3-4,0-0,1.93-1.61,0,2-6,9.126
