userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A3TTV3QAC5G9CT,0,4,2,pos,2-5,0-0,2.79-3.62,0,3-4,7.899
A3TTV3QAC5G9CT,27,1,1,num,7,0,2.29,0,5,3.651
A3TTV3QAC5G9CT,12,4,0,pos,7,0,4.36,0,6,5.949
A3TTV3QAC5G9CT,21,1,2,num,6,0,6.21,0,1,8.28
A3TTV3QAC5G9CT,29,3,1,num,7,0,2.98,0,4,4.288
A3TTV3QAC5G9CT,15,1,0,pos,6,0,5.19,0,7,6.887
A3TTV3QAC5G9CT,60,-1,2,center position,0,0,4.91,0,5,7.446
A3TTV3QAC5G9CT,34,2,0,num,7-5-4,large&dense-large&dense-0,3.83-2.08-3.82,0,5-7-6,11.242
A3TTV3QAC5G9CT,1,5,2,pos,5,0,1.56,0,2,3.094
A3TTV3QAC5G9CT,20,0,2,num,5-2,0-0,1.82-6.17,0,4-7,9.271
A3TTV3QAC5G9CT,7,5,1,pos,5-2-6,small&sparse-0-0,1.95-2.36-4.90,0,5-3-7,10.256
A3TTV3QAC5G9CT,5,3,2,pos,4-5,0-0,1.88-3.64,0,0-3,6.522
A3TTV3QAC5G9CT,10,2,1,pos,5-3,0-large&dense,13.44-2.15,0,7-3,17.103
A3TTV3QAC5G9CT,13,5,0,pos,3-5-0,small&dense-large&dense-large&sparse,9.26-1.07-2.15,1,3-5-0,13.765
A3TTV3QAC5G9CT,14,0,0,pos,7-2-4,large&dense-0-0,2.18-3.04-1.23,0,6-5-7,7.539
A3TTV3QAC5G9CT,32,-1,2,shape,2,0,0.80,0,4,6.214
A3TTV3QAC5G9CT,22,2,2,num,1-5,0-0,2.23-0.90,0,0-7,4.315
A3TTV3QAC5G9CT,62,-1,2,center position,4,large&dense,1.76,1,4,3.158
A3TTV3QAC5G9CT,23,3,2,num,0-6-3,large&dense-large&dense-small&sparse,2.05-0.94-1.39,1,3-6-0,5.241
A3TTV3QAC5G9CT,17,3,0,pos,0-7,small&dense-0,1.46-1.23,0,0-5,3.791
A3TTV3QAC5G9CT,8,0,1,pos,4-6,0-large&sparse,1.96-1.61,0,1-6,4.471
A3TTV3QAC5G9CT,35,3,0,num,6-1-5,small&dense-0-large&sparse,4.99-1.53-7.55,0,6-5-0,15.198
A3TTV3QAC5G9CT,3,1,2,pos,4,0,1.59,0,7,2.903
A3TTV3QAC5G9CT,33,1,0,num,6,0,1.63,0,5,10.276
A3TTV3QAC5G9CT,9,1,1,pos,6,0,2.37,0,1,3.516
A3TTV3QAC5G9CT,4,2,2,pos,1-0-5,0-small&dense-0,1.72-1.01-1.09,0,0-2-6,5.199
A3TTV3QAC5G9CT,3,-1,2,point number,3,0,2.72,0,1,4.085
A3TTV3QAC5G9CT,6,4,1,pos,0,0,1.54,0,2,2.824
A3TTV3QAC5G9CT,28,2,1,num,1-2-3,0-small&sparse-0,2.02-1.01-1.06,0,0-2-5,5.439
A3TTV3QAC5G9CT,18,4,2,num,4-1-5,0-0-small&sparse,1.77-1.37-1.42,0,7-2-5,5.786
A3TTV3QAC5G9CT,11,3,1,pos,6-0-1,small&dense-large&sparse-small&dense,1.87-1.04-0.74,1,6-1-0,4.512
A3TTV3QAC5G9CT,30,4,0,num,7-3,0-0,1.72-1.30,0,5-0,4.091
A3TTV3QAC5G9CT,19,5,2,num,7,0,1.85,0,3,2.864
A3TTV3QAC5G9CT,25,5,1,num,0-3,large&sparse-0,2.69-0.86,0,1-0,4.863
A3TTV3QAC5G9CT,31,5,0,num,4-7,0-0,1.56-1.10,0,6-5,4.222
A3TTV3QAC5G9CT,32,0,0,num,3,0,1.62,0,7,2.77
A3TTV3QAC5G9CT,16,2,0,pos,7-5,0-0,1.77-1.03,0,1-0,3.749
A3TTV3QAC5G9CT,2,0,2,pos,2-3-5,0-0-small&dense,1.82-0.72-3.64,0,5-4-6,7.336
A3TTV3QAC5G9CT,26,0,1,num,4-6-1,small&dense-large&sparse-0,1.98-1.32-0.83,0,3-4-6,5.338
A3TTV3QAC5G9CT,24,4,1,num,1-0,0-0,1.91-0.79,0,2-6,3.89
