userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
AKDL5Y4YCEXXI,0,4,2,pos,2-0,0-0,5.08-4.47,0,3-4,20.881
AKDL5Y4YCEXXI,27,1,1,num,3,0,3.50,0,5,6.211
AKDL5Y4YCEXXI,12,4,0,pos,1,0,8.95,0,6,11.015
AKDL5Y4YCEXXI,21,1,2,num,2,0,2.69,0,1,4.435
AKDL5Y4YCEXXI,29,3,1,num,6,0,1.36,0,4,3.203
AKDL5Y4YCEXXI,15,1,0,pos,4,0,28.65,0,7,31.837
AKDL5Y4YCEXXI,60,-1,2,center position,1,0,1.71,0,5,3.227
AKDL5Y4YCEXXI,34,2,0,num,5-7-0,large&dense-large&dense-0,3.09-15.04-1.34,0,5-7-6,20.26
AKDL5Y4YCEXXI,1,5,2,pos,0,0,2.69,0,2,4.319
AKDL5Y4YCEXXI,20,0,2,num,2-1,0-0,1.96-1.12,0,4-7,4.264
AKDL5Y4YCEXXI,7,5,1,pos,2-7-1,0-small&sparse-0,3.76-0.97-2.29,0,5-3-7,8.273
AKDL5Y4YCEXXI,5,3,2,pos,0-3,large&dense-small&sparse,3.61-1.10,1,0-3,9.412
AKDL5Y4YCEXXI,10,2,1,pos,3-4,large&dense-0,1.91-1.48,0,7-3,4.486
AKDL5Y4YCEXXI,13,5,0,pos,3-7-2,small&dense-0-0,1.67-1.36-6.21,0,3-5-0,9.988
AKDL5Y4YCEXXI,14,0,0,pos,7-5-3,large&dense-large&dense-0,1.68-1.08-6.49,0,6-5-7,9.995
AKDL5Y4YCEXXI,32,-1,2,shape,2,0,1.83,0,4,6.579
AKDL5Y4YCEXXI,22,2,2,num,5-0,0-large&sparse,2.92-0.90,0,0-7,4.997
AKDL5Y4YCEXXI,62,-1,2,center position,1,0,0.99,0,4,9.276
AKDL5Y4YCEXXI,23,3,2,num,0-6-5,large&dense-large&dense-0,1.95-0.57-0.62,0,3-6-0,4.484
AKDL5Y4YCEXXI,17,3,0,pos,0-7,small&dense-0,2.67-0.85,0,0-5,5.76
AKDL5Y4YCEXXI,8,0,1,pos,1-4,large&dense-0,2.67-0.70,0,1-6,4.668
AKDL5Y4YCEXXI,35,3,0,num,2-4-3,0-0-0,4.53-3.86-2.34,0,6-5-0,11.761
AKDL5Y4YCEXXI,3,1,2,pos,7,small&sparse,1.58,1,7,2.643
AKDL5Y4YCEXXI,33,1,0,num,0,0,2.35,0,5,3.524
AKDL5Y4YCEXXI,9,1,1,pos,1,small&dense,7.93,1,1,9.258
AKDL5Y4YCEXXI,4,2,2,pos,3-0-2,0-small&dense-small&dense,3.70-0.53-2.48,0,0-2-6,7.372
AKDL5Y4YCEXXI,3,-1,2,point number,4,0,3.71,0,1,4.843
AKDL5Y4YCEXXI,6,4,1,pos,5,0,2.44,0,2,3.681
AKDL5Y4YCEXXI,28,2,1,num,0-4-3,small&dense-0-0,7.56-2.02-1.07,0,0-2-5,12.246
AKDL5Y4YCEXXI,18,4,2,num,1-6-4,0-0-0,1.82-0.69-1.05,0,7-2-5,4.964
AKDL5Y4YCEXXI,11,3,1,pos,6-7-3,small&dense-0-0,1.82-0.79-0.76,0,6-1-0,4.71
AKDL5Y4YCEXXI,30,4,0,num,5-3,small&dense-0,1.93-1.43,0,5-0,8.643
AKDL5Y4YCEXXI,19,5,2,num,3,small&dense,1.40,1,3,2.521
AKDL5Y4YCEXXI,25,5,1,num,5-0,0-large&sparse,5.05-0.78,0,1-0,7.368
AKDL5Y4YCEXXI,31,5,0,num,6-0,large&sparse-0,2.19-0.92,0,6-5,4.463
AKDL5Y4YCEXXI,32,0,0,num,4,0,1.34,0,7,2.72
AKDL5Y4YCEXXI,16,2,0,pos,4-5,0-0,1.33-0.64,0,1-0,4.439
AKDL5Y4YCEXXI,16,2,0,pos,4-5,0-0,1.33-0.64,0,1-0,3.381
AKDL5Y4YCEXXI,2,0,2,pos,3-2-5,0-0-small&dense,1.42-0.80-0.92,0,5-4-6,4.512
AKDL5Y4YCEXXI,26,0,1,num,4-1-0,small&dense-0-0,1.58-0.64-1.12,0,3-4-6,4.966
AKDL5Y4YCEXXI,24,4,1,num,1-4,0-0,0.97-0.69,0,2-6,7.295
