userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
AFYPWB8A9LP0R,0,5,2,pos,3-4,small&dense-small&sparse,3.89-17.94,1,3-4,50.16
AFYPWB8A9LP0R,0,5,2,pos,3-4,small&dense-small&sparse,3.89-17.94,1,3-4,51.221
AFYPWB8A9LP0R,27,2,1,num,1,0,11.49,0,5,48.239
AFYPWB8A9LP0R,12,5,0,pos,5,0,23.05,0,6,35.182
AFYPWB8A9LP0R,21,2,2,num,5,0,6.83,0,1,22.87
AFYPWB8A9LP0R,29,4,1,num,0,0,4.20,0,4,32.439
AFYPWB8A9LP0R,15,2,0,pos,6,0,2.01,0,7,30.855
AFYPWB8A9LP0R,60,-1,2,center position,5,small&dense,16.08,1,5,36.801
AFYPWB8A9LP0R,34,3,0,num,4,0,10.71,0,5-7-6,60
AFYPWB8A9LP0R,1,0,2,pos,5,0,7.53,0,2,31.591
AFYPWB8A9LP0R,20,1,2,num,5-7,0-large&dense,9.16-2.49,0,4-7,31.646
AFYPWB8A9LP0R,7,0,1,pos,1-5-6,0-small&sparse-0,8.26-1.15-9.45,0,5-3-7,31.36
AFYPWB8A9LP0R,7,0,1,pos,1-5-6,0-small&sparse-0,8.26-1.15-9.45,0,5-3-7,31.719
AFYPWB8A9LP0R,5,4,2,pos,7-5,0-0,7.77-1.66,0,0-3,37.562
AFYPWB8A9LP0R,10,3,1,pos,7-2,small&dense-0,5.68-1.96,0,7-3,29.516
AFYPWB8A9LP0R,10,3,1,pos,7-2,small&dense-0,5.68-1.96,0,7-3,31.25
AFYPWB8A9LP0R,13,0,0,pos,3-1-7,small&dense-0-0,1.22-15.64-7.61,0,3-5-0,40.773
AFYPWB8A9LP0R,14,1,0,pos,0-3-7,0-0-large&dense,1.97-1.95-5.29,0,6-5-7,18.758
AFYPWB8A9LP0R,32,-1,2,shape,5,0,4.27,0,4,6.122
AFYPWB8A9LP0R,22,3,2,num,2-6,0-0,3.88-3.07,0,0-7,8.66
AFYPWB8A9LP0R,62,-1,2,center position,2,0,4.22,0,4,10.426
AFYPWB8A9LP0R,23,4,2,num,0-5-6,large&dense-0-large&dense,8.80-1.64-1.04,0,3-6-0,13.008
AFYPWB8A9LP0R,17,4,0,pos,0-7,small&dense-0,3.54-1.54,0,0-5,6.84
AFYPWB8A9LP0R,8,1,1,pos,2-1,0-large&dense,9.24-15.55,0,1-6,26.336
AFYPWB8A9LP0R,35,4,0,num,3-7-5,0-0-large&sparse,17.67-1.77-7.64,0,6-5-0,29.114
AFYPWB8A9LP0R,35,4,0,num,3-7-5,0-0-large&sparse,17.67-1.77-7.64,0,6-5-0,30.21
AFYPWB8A9LP0R,3,2,2,pos,3,0,7.46,0,7,29.969
AFYPWB8A9LP0R,33,2,0,num,1,0,3.34,0,5,14.877
AFYPWB8A9LP0R,9,2,1,pos,5,0,2.73,0,1,6.74
AFYPWB8A9LP0R,4,3,2,pos,7-0-2,0-small&dense-small&dense,4.68-2.38-1.34,0,0-2-6,10.2
AFYPWB8A9LP0R,3,-1,2,point number,3,0,8.16,0,1,9.744
AFYPWB8A9LP0R,6,5,1,pos,2,small&dense,11.81,1,2,22.8
AFYPWB8A9LP0R,28,3,1,num,0-3-1,small&dense-0-0,5.12-1.14-10.26,0,0-2-5,18.074
AFYPWB8A9LP0R,18,5,2,num,7-2-5,small&dense-small&dense-small&sparse,2.78-2.58-1.64,1,7-2-5,24.424
AFYPWB8A9LP0R,11,4,1,pos,7-3-4,0-0-0,3.83-0.97-2.14,0,6-1-0,32.136
AFYPWB8A9LP0R,30,5,0,num,0-5,small&dense-small&dense,1.61-1.42,1,5-0,16.749
AFYPWB8A9LP0R,19,0,2,num,4,0,8.65,0,3,16.034
AFYPWB8A9LP0R,25,0,1,num,2-5,0-0,1.35-1.82,0,1-0,14.217
AFYPWB8A9LP0R,31,0,0,num,3-7,0-0,5.07-0.70,0,6-5,17.546
AFYPWB8A9LP0R,32,1,0,num,3,0,4.30,0,7,12.713
AFYPWB8A9LP0R,16,3,0,pos,0-7,small&dense-0,3.29-2.32,0,1-0,9.662
AFYPWB8A9LP0R,2,1,2,pos,3-0-2,0-0-0,2.37-2.46-2.21,0,5-4-6,8.561
AFYPWB8A9LP0R,26,1,1,num,1-4-6,0-small&dense-large&sparse,3.87-2.77-1.83,0,3-4-6,17.777
AFYPWB8A9LP0R,24,5,1,num,2-6,small&dense-small&sparse,3.26-1.30,1,2-6,24.812
