userName,fileId,conditionId,changeMagnitude,changeType,userResult,totalTime
A1EXJC6NFUABA0,0,0,2,pos,8,12.047
A1EXJC6NFUABA0,27,3,1,num,7,7.019
A1EXJC6NFUABA0,12,0,0,pos,8,3.467
A1EXJC6NFUABA0,21,3,2,num,7,8.096
A1EXJC6NFUABA0,29,5,1,num,8,6.368
A1EXJC6NFUABA0,15,3,0,pos,9,3.483
A1EXJC6NFUABA0,60,-1,2,center position,6,10.95
A1EXJC6NFUABA0,34,4,0,num,7,7.028
A1EXJC6NFUABA0,1,1,2,pos,7,8.661
A1EXJC6NFUABA0,20,2,2,num,6,4.948
A1EXJC6NFUABA0,7,1,1,pos,6,10.11
A1EXJC6NFUABA0,5,5,2,pos,8,9.448
A1EXJC6NFUABA0,10,4,1,pos,7,7.388
A1EXJC6NFUABA0,13,1,0,pos,8,8.177
A1EXJC6NFUABA0,14,2,0,pos,8,3.158
A1EXJC6NFUABA0,32,-1,2,shape,5,7.085
A1EXJC6NFUABA0,22,4,2,num,8,9.897
A1EXJC6NFUABA0,62,-1,2,center position,5,6.944
A1EXJC6NFUABA0,23,5,2,num,7,12.183
A1EXJC6NFUABA0,17,5,0,pos,6,8.021
A1EXJC6NFUABA0,8,2,1,pos,8,4.538
A1EXJC6NFUABA0,35,5,0,num,7,8.384
A1EXJC6NFUABA0,3,3,2,pos,6,2.201
A1EXJC6NFUABA0,33,3,0,num,5,7.611
A1EXJC6NFUABA0,9,3,1,pos,8,6.947
A1EXJC6NFUABA0,4,4,2,pos,8,10.055
A1EXJC6NFUABA0,3,-1,2,point number,6,7.961
A1EXJC6NFUABA0,6,0,1,pos,7,11.057
A1EXJC6NFUABA0,28,4,1,num,8,4.247
A1EXJC6NFUABA0,18,0,2,num,6,3.747
A1EXJC6NFUABA0,11,5,1,pos,7,7.253
A1EXJC6NFUABA0,30,0,0,num,6,5.988
A1EXJC6NFUABA0,19,1,2,num,6,5.79
A1EXJC6NFUABA0,25,1,1,num,5,7.142
A1EXJC6NFUABA0,31,1,0,num,6,2.031
A1EXJC6NFUABA0,32,2,0,num,6,4.113
A1EXJC6NFUABA0,16,4,0,pos,8,6.065
A1EXJC6NFUABA0,2,2,2,pos,7,2.115
A1EXJC6NFUABA0,26,2,1,num,7,1.776
A1EXJC6NFUABA0,24,0,1,num,8,7.442
