userName,fileId,conditionId,changeMagnitude,changeType,userResult,totalTime
A34495T0MW6RPT,0,0,2,pos,8,10.175
A34495T0MW6RPT,27,3,1,num,7,11.895
A34495T0MW6RPT,12,0,0,pos,8,7.044
A34495T0MW6RPT,21,3,2,num,6,9.25
A34495T0MW6RPT,29,5,1,num,7,7.68
A34495T0MW6RPT,15,3,0,pos,8,13.67
A34495T0MW6RPT,60,-1,2,center position,6,7.63
A34495T0MW6RPT,34,4,0,num,8,7.081
A34495T0MW6RPT,1,1,2,pos,8,8.627
A34495T0MW6RPT,20,2,2,num,8,7.585
A34495T0MW6RPT,7,1,1,pos,8,11.727
A34495T0MW6RPT,5,5,2,pos,8,11.865
A34495T0MW6RPT,10,4,1,pos,8,15.027
A34495T0MW6RPT,13,1,0,pos,7,7.363
A34495T0MW6RPT,14,2,0,pos,8,6.509
A34495T0MW6RPT,32,-1,2,shape,6,6.407
A34495T0MW6RPT,22,4,2,num,8,8.343
A34495T0MW6RPT,62,-1,2,center position,6,6.066
A34495T0MW6RPT,23,5,2,num,7,7.24
A34495T0MW6RPT,17,5,0,pos,6,7.411
A34495T0MW6RPT,8,2,1,pos,8,8.899
A34495T0MW6RPT,35,5,0,num,7,9.641
A34495T0MW6RPT,3,3,2,pos,8,5.621
A34495T0MW6RPT,33,3,0,num,6,7.658
A34495T0MW6RPT,9,3,1,pos,8,6.527
A34495T0MW6RPT,4,4,2,pos,8,9.652
A34495T0MW6RPT,3,-1,2,point number,6,7.157
A34495T0MW6RPT,6,0,1,pos,9,6.094
A34495T0MW6RPT,28,4,1,num,9,7.911
A34495T0MW6RPT,18,0,2,num,8,5.89
A34495T0MW6RPT,11,5,1,pos,8,6.207
A34495T0MW6RPT,30,0,0,num,7,9.243
A34495T0MW6RPT,19,1,2,num,8,8.44
A34495T0MW6RPT,25,1,1,num,8,7.215
A34495T0MW6RPT,31,1,0,num,7,6.36
A34495T0MW6RPT,32,2,0,num,9,7.694
A34495T0MW6RPT,16,4,0,pos,9,9.184
A34495T0MW6RPT,2,2,2,pos,10,8.505
A34495T0MW6RPT,26,2,1,num,9,6.874
A34495T0MW6RPT,24,0,1,num,9,7.186
