userName,fileId,conditionId,changeMagnitude,changeType,userResult,totalTime
A6WH1NN3V0DF,0,0,2,pos,7,5.862
A6WH1NN3V0DF,27,3,1,num,6,48.349
A6WH1NN3V0DF,12,0,0,pos,9,10.858
A6WH1NN3V0DF,21,3,2,num,7,10.495
A6WH1NN3V0DF,29,5,1,num,6,16.622
A6WH1NN3V0DF,15,3,0,pos,7,21.602
A6WH1NN3V0DF,60,-1,2,center position,6,7.429
A6WH1NN3V0DF,34,4,0,num,7,12.293
A6WH1NN3V0DF,1,1,2,pos,8,18.074
A6WH1NN3V0DF,20,2,2,num,7,8.372
A6WH1NN3V0DF,7,1,1,pos,7,15.447
A6WH1NN3V0DF,5,5,2,pos,8,13.526
A6WH1NN3V0DF,10,4,1,pos,8,15.019
A6WH1NN3V0DF,13,1,0,pos,7,5.382
A6WH1NN3V0DF,14,2,0,pos,8,50.014
A6WH1NN3V0DF,32,-1,2,shape,5,10.828
A6WH1NN3V0DF,22,4,2,num,7,11.095
A6WH1NN3V0DF,62,-1,2,center position,6,20.939
A6WH1NN3V0DF,23,5,2,num,7,25.929
A6WH1NN3V0DF,17,5,0,pos,6,6.008
A6WH1NN3V0DF,8,2,1,pos,8,8.893
A6WH1NN3V0DF,35,5,0,num,7,11.921
A6WH1NN3V0DF,3,3,2,pos,8,13.082
A6WH1NN3V0DF,33,3,0,num,6,30.352
A6WH1NN3V0DF,9,3,1,pos,9,9.474
A6WH1NN3V0DF,4,4,2,pos,8,5.184
A6WH1NN3V0DF,3,-1,2,point number,6,16.066
A6WH1NN3V0DF,6,0,1,pos,8,5.746
A6WH1NN3V0DF,28,4,1,num,7,25.391
A6WH1NN3V0DF,18,0,2,num,8,9.158
A6WH1NN3V0DF,11,5,1,pos,8,7.604
A6WH1NN3V0DF,30,0,0,num,7,9.624
A6WH1NN3V0DF,19,1,2,num,7,11.1
A6WH1NN3V0DF,25,1,1,num,7,31.773
A6WH1NN3V0DF,31,1,0,num,6,15.975
A6WH1NN3V0DF,32,2,0,num,7,16.023
A6WH1NN3V0DF,16,4,0,pos,8,18.145
A6WH1NN3V0DF,2,2,2,pos,7,10.055
A6WH1NN3V0DF,26,2,1,num,6,9.314
A6WH1NN3V0DF,24,0,1,num,8,10.912
