userName,fileId,conditionId,changeMagnitude,changeType,userResult,totalTime
A26X8BQELDQSGH,0,1,2,pos,8,6.469
A26X8BQELDQSGH,27,4,1,num,7,8.161
A26X8BQELDQSGH,12,1,0,pos,8,10.027
A26X8BQELDQSGH,21,4,2,num,8,28.245
A26X8BQELDQSGH,29,0,1,num,8,10.279
A26X8BQELDQSGH,15,4,0,pos,7,12.074
A26X8BQELDQSGH,60,-1,2,center position,6,8.545
A26X8BQELDQSGH,34,5,0,num,8,10.862
A26X8BQELDQSGH,1,2,2,pos,7,9.252
A26X8BQELDQSGH,20,3,2,num,7,8.298
A26X8BQELDQSGH,7,2,1,pos,7,26.564
A26X8BQELDQSGH,5,0,2,pos,7,12.569
A26X8BQELDQSGH,10,5,1,pos,8,6.901
A26X8BQELDQSGH,13,2,0,pos,6,6.819
A26X8BQELDQSGH,14,3,0,pos,6,14.131
A26X8BQELDQSGH,32,-1,2,shape,6,15.612
A26X8BQELDQSGH,22,5,2,num,8,7.165
A26X8BQELDQSGH,62,-1,2,center position,6,8.351
A26X8BQELDQSGH,23,0,2,num,7,21.328
A26X8BQELDQSGH,17,0,0,pos,7,24.484
A26X8BQELDQSGH,8,3,1,pos,7,12.466
A26X8BQELDQSGH,35,0,0,num,6,9.034
A26X8BQELDQSGH,3,4,2,pos,8,8.28
A26X8BQELDQSGH,33,4,0,num,7,8.481
A26X8BQELDQSGH,9,4,1,pos,8,8.459
A26X8BQELDQSGH,4,5,2,pos,8,7.721
A26X8BQELDQSGH,3,-1,2,point number,6,13.776
A26X8BQELDQSGH,6,1,1,pos,8,7.479
A26X8BQELDQSGH,28,5,1,num,7,12.784
A26X8BQELDQSGH,18,1,2,num,8,7.942
A26X8BQELDQSGH,11,0,1,pos,8,11.249
A26X8BQELDQSGH,30,1,0,num,7,20.906
A26X8BQELDQSGH,19,2,2,num,7,12.068
A26X8BQELDQSGH,25,2,1,num,7,24.033
A26X8BQELDQSGH,31,2,0,num,4,36.611
A26X8BQELDQSGH,32,3,0,num,6,7.058
A26X8BQELDQSGH,16,5,0,pos,8,23.248
A26X8BQELDQSGH,2,3,2,pos,7,10.224
A26X8BQELDQSGH,26,3,1,num,6,13.65
A26X8BQELDQSGH,24,1,1,num,8,9.135
