userName,fileId,conditionId,changeMagnitude,changeType,userResult,totalTime
A2I4QYINF6WSY5,0,1,2,pos,7,9.557
A2I4QYINF6WSY5,27,4,1,num,8,7.953
A2I4QYINF6WSY5,12,1,0,pos,8,8.94
A2I4QYINF6WSY5,21,4,2,num,0,60
A2I4QYINF6WSY5,29,0,1,num,7,1.951
A2I4QYINF6WSY5,15,4,0,pos,8,16.379
A2I4QYINF6WSY5,60,-1,2,center position,6,25.01
A2I4QYINF6WSY5,34,5,0,num,8,0.944
A2I4QYINF6WSY5,1,2,2,pos,7,3.404
A2I4QYINF6WSY5,20,3,2,num,7,9.513
A2I4QYINF6WSY5,7,2,1,pos,8,23.426
A2I4QYINF6WSY5,5,0,2,pos,8,6.103
A2I4QYINF6WSY5,10,5,1,pos,8,15.118
A2I4QYINF6WSY5,13,2,0,pos,7,7.289
A2I4QYINF6WSY5,14,3,0,pos,8,7.079
A2I4QYINF6WSY5,32,-1,2,shape,6,7.93
A2I4QYINF6WSY5,22,5,2,num,8,14.999
A2I4QYINF6WSY5,62,-1,2,center position,6,6.835
A2I4QYINF6WSY5,23,0,2,num,7,7.413
A2I4QYINF6WSY5,17,0,0,pos,8,7.868
A2I4QYINF6WSY5,8,3,1,pos,8,7.651
A2I4QYINF6WSY5,35,0,0,num,7,6.962
A2I4QYINF6WSY5,3,4,2,pos,8,2.981
A2I4QYINF6WSY5,33,4,0,num,7,3.448
A2I4QYINF6WSY5,9,4,1,pos,8,6.842
A2I4QYINF6WSY5,4,5,2,pos,7,7.453
A2I4QYINF6WSY5,3,-1,2,point number,7,40.987
A2I4QYINF6WSY5,6,1,1,pos,8,3.634
A2I4QYINF6WSY5,28,5,1,num,8,17.28
A2I4QYINF6WSY5,18,1,2,num,8,3.75
A2I4QYINF6WSY5,11,0,1,pos,7,4.347
A2I4QYINF6WSY5,30,1,0,num,8,3.552
A2I4QYINF6WSY5,19,2,2,num,8,4.484
A2I4QYINF6WSY5,25,2,1,num,8,4.415
A2I4QYINF6WSY5,31,2,0,num,7,9.355
A2I4QYINF6WSY5,32,3,0,num,7,4.636
A2I4QYINF6WSY5,16,5,0,pos,8,2.125
A2I4QYINF6WSY5,2,3,2,pos,7,3.448
A2I4QYINF6WSY5,26,3,1,num,8,2.907
A2I4QYINF6WSY5,24,1,1,num,8,2.903
