userName,fileId,conditionId,changeMagnitude,changeType,userResult,totalTime
A20EVX30W7PLZK,0,2,2,pos,8,7.756
A20EVX30W7PLZK,27,5,1,num,9,9.596
A20EVX30W7PLZK,12,2,0,pos,8,12.758
A20EVX30W7PLZK,21,5,2,num,8,11.414
A20EVX30W7PLZK,29,1,1,num,8,7.994
A20EVX30W7PLZK,15,5,0,pos,8,8.562
A20EVX30W7PLZK,60,-1,2,center position,6,7.991
A20EVX30W7PLZK,34,0,0,num,7,6.361
A20EVX30W7PLZK,1,3,2,pos,9,9.877
A20EVX30W7PLZK,20,4,2,num,8,12.703
A20EVX30W7PLZK,7,3,1,pos,7,14.875
A20EVX30W7PLZK,5,1,2,pos,8,8.09
A20EVX30W7PLZK,10,0,1,pos,8,11.837
A20EVX30W7PLZK,13,3,0,pos,5,7.628
A20EVX30W7PLZK,14,4,0,pos,8,14.833
A20EVX30W7PLZK,32,-1,2,shape,6,7.035
A20EVX30W7PLZK,22,0,2,num,8,9.337
A20EVX30W7PLZK,62,-1,2,center position,6,6.237
A20EVX30W7PLZK,23,1,2,num,8,7.624
A20EVX30W7PLZK,17,1,0,pos,6,12.495
A20EVX30W7PLZK,8,4,1,pos,8,12.953
A20EVX30W7PLZK,35,1,0,num,7,8.471
A20EVX30W7PLZK,3,5,2,pos,8,9.722
A20EVX30W7PLZK,33,5,0,num,6,9.057
A20EVX30W7PLZK,9,5,1,pos,8,8.574
A20EVX30W7PLZK,4,0,2,pos,7,9.738
A20EVX30W7PLZK,3,-1,2,point number,6,11.515
A20EVX30W7PLZK,6,2,1,pos,7,9.057
A20EVX30W7PLZK,28,0,1,num,8,15.155
A20EVX30W7PLZK,18,2,2,num,6,12.954
A20EVX30W7PLZK,11,1,1,pos,7,7.793
A20EVX30W7PLZK,30,2,0,num,6,12.86
A20EVX30W7PLZK,19,3,2,num,7,6.263
A20EVX30W7PLZK,25,3,1,num,8,7.858
A20EVX30W7PLZK,31,3,0,num,5,17.778
A20EVX30W7PLZK,32,4,0,num,8,12.07
A20EVX30W7PLZK,16,0,0,pos,8,6.778
A20EVX30W7PLZK,2,4,2,pos,8,12.266
A20EVX30W7PLZK,26,4,1,num,8,11.156
A20EVX30W7PLZK,24,2,1,num,7,8.506
