userName,fileId,conditionId,changeMagnitude,changeType,userResult,totalTime
A2XNLWE8B2EG2L,0,2,2,pos,7,12.839
A2XNLWE8B2EG2L,27,5,1,num,7,11.218
A2XNLWE8B2EG2L,12,2,0,pos,6,5.27
A2XNLWE8B2EG2L,21,5,2,num,6,7.391
A2XNLWE8B2EG2L,29,1,1,num,7,9.061
A2XNLWE8B2EG2L,15,5,0,pos,8,7.843
A2XNLWE8B2EG2L,60,-1,2,center position,6,7.105
A2XNLWE8B2EG2L,34,0,0,num,6,5.768
A2XNLWE8B2EG2L,1,3,2,pos,7,8.034
A2XNLWE8B2EG2L,20,4,2,num,7,10.113
A2XNLWE8B2EG2L,7,3,1,pos,6,6.183
A2XNLWE8B2EG2L,5,1,2,pos,7,6.201
A2XNLWE8B2EG2L,10,0,1,pos,7,5.906
A2XNLWE8B2EG2L,13,3,0,pos,7,5.208
A2XNLWE8B2EG2L,14,4,0,pos,7,7.243
A2XNLWE8B2EG2L,32,-1,2,shape,4,4.129
A2XNLWE8B2EG2L,22,0,2,num,7,6.852
A2XNLWE8B2EG2L,62,-1,2,center position,6,5.134
A2XNLWE8B2EG2L,23,1,2,num,6,5.399
A2XNLWE8B2EG2L,17,1,0,pos,6,7.504
A2XNLWE8B2EG2L,8,4,1,pos,8,12.026
A2XNLWE8B2EG2L,35,1,0,num,7,10.704
A2XNLWE8B2EG2L,3,5,2,pos,8,5.249
A2XNLWE8B2EG2L,33,5,0,num,6,5.934
A2XNLWE8B2EG2L,9,5,1,pos,8,8.891
A2XNLWE8B2EG2L,4,0,2,pos,7,4.953
A2XNLWE8B2EG2L,3,-1,2,point number,6,5.759
A2XNLWE8B2EG2L,6,2,1,pos,7,5.752
A2XNLWE8B2EG2L,28,0,1,num,6,5.378
A2XNLWE8B2EG2L,18,2,2,num,7,5.57
A2XNLWE8B2EG2L,11,1,1,pos,8,7.179
A2XNLWE8B2EG2L,30,2,0,num,8,7.596
A2XNLWE8B2EG2L,19,3,2,num,8,6.052
A2XNLWE8B2EG2L,25,3,1,num,8,5.509
A2XNLWE8B2EG2L,31,3,0,num,6,5.301
A2XNLWE8B2EG2L,32,4,0,num,7,12.324
A2XNLWE8B2EG2L,16,0,0,pos,8,4.99
A2XNLWE8B2EG2L,2,4,2,pos,8,9.426
A2XNLWE8B2EG2L,26,4,1,num,7,10.651
A2XNLWE8B2EG2L,24,2,1,num,9,6.297
