userName,fileId,conditionId,changeMagnitude,changeType,userResult,totalTime
A3KIDJYJ2AM8E2,0,2,2,pos,7,17.646
A3KIDJYJ2AM8E2,27,5,1,num,9,9.623
A3KIDJYJ2AM8E2,12,2,0,pos,8,6.921
A3KIDJYJ2AM8E2,21,5,2,num,9,9.332
A3KIDJYJ2AM8E2,29,1,1,num,8,6.984
A3KIDJYJ2AM8E2,15,5,0,pos,8,26.657
A3KIDJYJ2AM8E2,60,-1,2,center position,6,10.213
A3KIDJYJ2AM8E2,34,0,0,num,7,13.485
A3KIDJYJ2AM8E2,1,3,2,pos,8,9.247
A3KIDJYJ2AM8E2,20,4,2,num,8,11.864
A3KIDJYJ2AM8E2,7,3,1,pos,8,12.291
A3KIDJYJ2AM8E2,5,1,2,pos,8,7.033
A3KIDJYJ2AM8E2,10,0,1,pos,8,12.624
A3KIDJYJ2AM8E2,13,3,0,pos,7,8.77
A3KIDJYJ2AM8E2,14,4,0,pos,9,13.768
A3KIDJYJ2AM8E2,32,-1,2,shape,6,6.37
A3KIDJYJ2AM8E2,22,0,2,num,8,10.087
A3KIDJYJ2AM8E2,62,-1,2,center position,6,9.224
A3KIDJYJ2AM8E2,23,1,2,num,7,6.097
A3KIDJYJ2AM8E2,17,1,0,pos,9,10.422
A3KIDJYJ2AM8E2,8,4,1,pos,8,14.801
A3KIDJYJ2AM8E2,35,1,0,num,7,10.066
A3KIDJYJ2AM8E2,3,5,2,pos,8,5.368
A3KIDJYJ2AM8E2,33,5,0,num,8,9.877
A3KIDJYJ2AM8E2,9,5,1,pos,8,5.567
A3KIDJYJ2AM8E2,4,0,2,pos,8,6.543
A3KIDJYJ2AM8E2,3,-1,2,point number,6,6.57
A3KIDJYJ2AM8E2,6,2,1,pos,8,5.785
A3KIDJYJ2AM8E2,28,0,1,num,9,13.695
A3KIDJYJ2AM8E2,18,2,2,num,6,8.057
A3KIDJYJ2AM8E2,11,1,1,pos,8,7.644
A3KIDJYJ2AM8E2,30,2,0,num,5,14.054
A3KIDJYJ2AM8E2,19,3,2,num,8,5.796
A3KIDJYJ2AM8E2,25,3,1,num,8,6.863
A3KIDJYJ2AM8E2,31,3,0,num,7,8.109
A3KIDJYJ2AM8E2,32,4,0,num,8,9.349
A3KIDJYJ2AM8E2,16,0,0,pos,7,7.023
A3KIDJYJ2AM8E2,2,4,2,pos,8,6.919
A3KIDJYJ2AM8E2,26,4,1,num,9,7.617
A3KIDJYJ2AM8E2,24,2,1,num,8,6.341
