userName,fileId,conditionId,changeMagnitude,changeType,userResult,totalTime
AJFODC119DWRS,0,2,2,pos,6,15.825
AJFODC119DWRS,27,5,1,num,7,46.183
AJFODC119DWRS,27,5,1,num,7,1629166760.863817
AJFODC119DWRS,12,2,0,pos,6,37.256
AJFODC119DWRS,12,2,0,pos,6,1629166805.2737439
AJFODC119DWRS,21,5,2,num,8,21.955
AJFODC119DWRS,29,1,1,num,8,21.89
AJFODC119DWRS,15,5,0,pos,8,54.721
AJFODC119DWRS,60,-1,2,center position,6,5.432
AJFODC119DWRS,34,0,0,num,8,12.17
AJFODC119DWRS,1,3,2,pos,8,18.376
AJFODC119DWRS,20,4,2,num,8,21.135
AJFODC119DWRS,7,3,1,pos,8,38.775
AJFODC119DWRS,5,1,2,pos,8,25.259
AJFODC119DWRS,10,0,1,pos,8,23.801
AJFODC119DWRS,13,3,0,pos,8,14.82
AJFODC119DWRS,14,4,0,pos,8,21.533
AJFODC119DWRS,32,-1,2,shape,6,10.434
AJFODC119DWRS,32,-1,2,shape,6,1629167274.4995658
AJFODC119DWRS,22,0,2,num,8,42.53
AJFODC119DWRS,62,-1,2,center position,6,5.172
AJFODC119DWRS,23,1,2,num,0,60
AJFODC119DWRS,17,1,0,pos,8,36.926
AJFODC119DWRS,8,4,1,pos,8,31.043
AJFODC119DWRS,35,1,0,num,8,35.519
AJFODC119DWRS,3,5,2,pos,8,13.751
AJFODC119DWRS,33,5,0,num,8,28.679
AJFODC119DWRS,9,5,1,pos,8,9.945
AJFODC119DWRS,4,0,2,pos,8,5.462
AJFODC119DWRS,3,-1,2,point number,6,18.584
AJFODC119DWRS,6,2,1,pos,8,12.25
AJFODC119DWRS,28,0,1,num,8,33.997
AJFODC119DWRS,18,2,2,num,6,6.466
AJFODC119DWRS,11,1,1,pos,7,16.233
AJFODC119DWRS,30,2,0,num,6,44.137
AJFODC119DWRS,19,3,2,num,8,6.311
AJFODC119DWRS,25,3,1,num,8,7.11
AJFODC119DWRS,31,3,0,num,7,11.123
AJFODC119DWRS,32,4,0,num,8,14.47
AJFODC119DWRS,16,0,0,pos,6,9.574
AJFODC119DWRS,2,4,2,pos,8,6.119
AJFODC119DWRS,26,4,1,num,8,13.791
AJFODC119DWRS,24,2,1,num,8,12.296
