userName,fileId,conditionId,changeMagnitude,changeType,userResult,totalTime
A18R8VOH72BF3L,0,4,2,pos,8,14.209
A18R8VOH72BF3L,27,1,1,num,7,15.738
A18R8VOH72BF3L,12,4,0,pos,8,11.682
A18R8VOH72BF3L,21,1,2,num,7,10.55
A18R8VOH72BF3L,29,3,1,num,7,14.839
A18R8VOH72BF3L,15,1,0,pos,8,10.37
A18R8VOH72BF3L,60,-1,2,center position,6,10.639
A18R8VOH72BF3L,34,2,0,num,7,8.201
A18R8VOH72BF3L,1,5,2,pos,8,9.316
A18R8VOH72BF3L,20,0,2,num,6,12.064
A18R8VOH72BF3L,7,5,1,pos,7,10.063
A18R8VOH72BF3L,5,3,2,pos,8,7.111
A18R8VOH72BF3L,10,2,1,pos,8,13.171
A18R8VOH72BF3L,13,5,0,pos,7,14.318
A18R8VOH72BF3L,14,0,0,pos,7,8.145
A18R8VOH72BF3L,32,-1,2,shape,6,6.945
A18R8VOH72BF3L,22,2,2,num,7,10.736
A18R8VOH72BF3L,62,-1,2,center position,6,8.154
A18R8VOH72BF3L,23,3,2,num,7,8.765
A18R8VOH72BF3L,17,3,0,pos,6,13.34
A18R8VOH72BF3L,8,0,1,pos,8,12.53
A18R8VOH72BF3L,35,3,0,num,9,21.32
A18R8VOH72BF3L,3,1,2,pos,7,7.992
A18R8VOH72BF3L,33,1,0,num,8,18.54
A18R8VOH72BF3L,9,1,1,pos,8,9.872
A18R8VOH72BF3L,4,2,2,pos,7,9.696
A18R8VOH72BF3L,3,-1,2,point number,6,6.018
A18R8VOH72BF3L,6,4,1,pos,8,6.408
A18R8VOH72BF3L,28,2,1,num,7,11.373
A18R8VOH72BF3L,18,4,2,num,8,6.167
A18R8VOH72BF3L,11,3,1,pos,8,8.525
A18R8VOH72BF3L,30,4,0,num,7,22.413
A18R8VOH72BF3L,19,5,2,num,7,6.312
A18R8VOH72BF3L,25,5,1,num,7,6.142
A18R8VOH72BF3L,31,5,0,num,7,8.729
A18R8VOH72BF3L,32,0,0,num,7,6.848
A18R8VOH72BF3L,16,2,0,pos,8,7.252
A18R8VOH72BF3L,2,0,2,pos,8,8.513
A18R8VOH72BF3L,26,0,1,num,7,11.18
A18R8VOH72BF3L,24,4,1,num,7,7.006
