userName,fileId,conditionId,changeMagnitude,changeType,userResult,totalTime
AAOAUY8049L00,0,4,2,pos,8,7.775
AAOAUY8049L00,27,1,1,num,8,10.684
AAOAUY8049L00,12,4,0,pos,8,9.023
AAOAUY8049L00,21,1,2,num,6,12.549
AAOAUY8049L00,29,3,1,num,8,7.344
AAOAUY8049L00,15,1,0,pos,7,7.942
AAOAUY8049L00,60,-1,2,center position,6,7.148
AAOAUY8049L00,34,2,0,num,7,37.096
AAOAUY8049L00,1,5,2,pos,8,17.304
AAOAUY8049L00,20,0,2,num,7,23.345
AAOAUY8049L00,7,5,1,pos,8,16.311
AAOAUY8049L00,5,3,2,pos,8,8.058
AAOAUY8049L00,10,2,1,pos,7,9.644
AAOAUY8049L00,13,5,0,pos,6,12.001
AAOAUY8049L00,14,0,0,pos,7,10.553
AAOAUY8049L00,32,-1,2,shape,6,8.438
AAOAUY8049L00,22,2,2,num,7,11.372
AAOAUY8049L00,62,-1,2,center position,7,NaN
AAOAUY8049L00,23,3,2,num,8,9.823
AAOAUY8049L00,17,3,0,pos,8,16.56
AAOAUY8049L00,8,0,1,pos,6,7.925
AAOAUY8049L00,35,3,0,num,7,7.543
AAOAUY8049L00,3,1,2,pos,7,12.436
AAOAUY8049L00,33,1,0,num,7,14.754
AAOAUY8049L00,9,1,1,pos,8,6.693
AAOAUY8049L00,4,2,2,pos,8,7.261
AAOAUY8049L00,3,-1,2,point number,6,8.366
AAOAUY8049L00,6,4,1,pos,8,8.772
AAOAUY8049L00,28,2,1,num,6,20.507
AAOAUY8049L00,18,4,2,num,8,7.675
AAOAUY8049L00,11,3,1,pos,8,7.281
AAOAUY8049L00,30,4,0,num,7,17.441
AAOAUY8049L00,19,5,2,num,8,12.946
AAOAUY8049L00,25,5,1,num,8,13.753
AAOAUY8049L00,31,5,0,num,8,12.554
AAOAUY8049L00,32,0,0,num,8,22.601
AAOAUY8049L00,16,2,0,pos,9,12.203
AAOAUY8049L00,2,0,2,pos,8,11.488
AAOAUY8049L00,26,0,1,num,7,23.74
AAOAUY8049L00,24,4,1,num,8,10.951
