userName,fileId,conditionId,changeMagnitude,changeType,userResult,totalTime
AFFXVHHBUWW4D,0,4,2,pos,8,7.37
AFFXVHHBUWW4D,27,1,1,num,8,17.576
AFFXVHHBUWW4D,12,4,0,pos,8,13.953
AFFXVHHBUWW4D,21,1,2,num,6,13.73
AFFXVHHBUWW4D,29,3,1,num,8,9.308
AFFXVHHBUWW4D,15,1,0,pos,8,31.139
AFFXVHHBUWW4D,60,-1,2,center position,6,12.551
AFFXVHHBUWW4D,34,2,0,num,8,13.203
AFFXVHHBUWW4D,1,5,2,pos,8,14.332
AFFXVHHBUWW4D,20,0,2,num,7,11.411
AFFXVHHBUWW4D,7,5,1,pos,8,17.332
AFFXVHHBUWW4D,5,3,2,pos,8,23.098
AFFXVHHBUWW4D,10,2,1,pos,7,18.587
AFFXVHHBUWW4D,13,5,0,pos,8,18.39
AFFXVHHBUWW4D,14,0,0,pos,7,31.91
AFFXVHHBUWW4D,32,-1,2,shape,6,8.637
AFFXVHHBUWW4D,22,2,2,num,8,12.845
AFFXVHHBUWW4D,62,-1,2,center position,6,8.611
AFFXVHHBUWW4D,23,3,2,num,7,8.692
AFFXVHHBUWW4D,17,3,0,pos,8,20.602
AFFXVHHBUWW4D,8,0,1,pos,8,7.796
AFFXVHHBUWW4D,35,3,0,num,8,7.954
AFFXVHHBUWW4D,3,1,2,pos,8,14.647
AFFXVHHBUWW4D,33,1,0,num,7,17.809
AFFXVHHBUWW4D,9,1,1,pos,8,8.562
AFFXVHHBUWW4D,4,2,2,pos,8,6.73
AFFXVHHBUWW4D,3,-1,2,point number,6,7.827
AFFXVHHBUWW4D,6,4,1,pos,8,8.088
AFFXVHHBUWW4D,28,2,1,num,7,22.026
AFFXVHHBUWW4D,18,4,2,num,8,6.476
AFFXVHHBUWW4D,11,3,1,pos,8,7.646
AFFXVHHBUWW4D,30,4,0,num,8,22.443
AFFXVHHBUWW4D,19,5,2,num,8,7.009
AFFXVHHBUWW4D,25,5,1,num,8,9.157
AFFXVHHBUWW4D,31,5,0,num,7,18.273
AFFXVHHBUWW4D,32,0,0,num,7,11.958
AFFXVHHBUWW4D,16,2,0,pos,8,7.833
AFFXVHHBUWW4D,2,0,2,pos,7,13.929
AFFXVHHBUWW4D,26,0,1,num,8,18.127
AFFXVHHBUWW4D,24,4,1,num,8,8.701
