userName,fileId,conditionId,changeMagnitude,changeType,userResult,totalTime
A1G6DFTYUM578N,0,5,2,pos,8,4.147
A1G6DFTYUM578N,27,2,1,num,7,5.364
A1G6DFTYUM578N,12,5,0,pos,8,5.192
A1G6DFTYUM578N,21,2,2,num,8,7.3
A1G6DFTYUM578N,29,4,1,num,8,4.983
A1G6DFTYUM578N,15,2,0,pos,8,4.856
A1G6DFTYUM578N,60,-1,2,center position,6,3.353
A1G6DFTYUM578N,34,3,0,num,8,6.016
A1G6DFTYUM578N,1,0,2,pos,8,4.876
A1G6DFTYUM578N,20,1,2,num,8,5.754
A1G6DFTYUM578N,7,0,1,pos,8,5.073
A1G6DFTYUM578N,5,4,2,pos,8,4.183
A1G6DFTYUM578N,10,3,1,pos,8,4.433
A1G6DFTYUM578N,13,0,0,pos,7,3.933
A1G6DFTYUM578N,14,1,0,pos,8,5.326
A1G6DFTYUM578N,32,-1,2,shape,6,3.271
A1G6DFTYUM578N,22,3,2,num,8,4.094
A1G6DFTYUM578N,62,-1,2,center position,6,3.276
A1G6DFTYUM578N,23,4,2,num,8,5.35
A1G6DFTYUM578N,17,4,0,pos,7,5.654
A1G6DFTYUM578N,8,1,1,pos,8,4.897
A1G6DFTYUM578N,35,4,0,num,9,8.352
A1G6DFTYUM578N,3,2,2,pos,8,6.6
A1G6DFTYUM578N,33,2,0,num,7,5.924
A1G6DFTYUM578N,9,2,1,pos,8,5.271
A1G6DFTYUM578N,4,3,2,pos,8,3.335
A1G6DFTYUM578N,3,-1,2,point number,7,9.424
A1G6DFTYUM578N,6,5,1,pos,8,4.37
A1G6DFTYUM578N,28,3,1,num,8,7.298
A1G6DFTYUM578N,18,5,2,num,8,3.499
A1G6DFTYUM578N,11,4,1,pos,8,5.049
A1G6DFTYUM578N,30,5,0,num,7,4.571
A1G6DFTYUM578N,19,0,2,num,8,3.856
A1G6DFTYUM578N,25,0,1,num,8,4.562
A1G6DFTYUM578N,31,0,0,num,8,7.084
A1G6DFTYUM578N,32,1,0,num,8,4.993
A1G6DFTYUM578N,16,3,0,pos,8,4.146
A1G6DFTYUM578N,2,1,2,pos,8,5.387
A1G6DFTYUM578N,26,1,1,num,8,6.838
A1G6DFTYUM578N,24,5,1,num,8,4.396
