userName,fileId,conditionId,changeMagnitude,changeType,userResult,totalTime
A37RAWZ6370X39,0,2,2,pos,10,1.402
A37RAWZ6370X39,27,5,1,num,9,0.653
A37RAWZ6370X39,12,2,0,pos,10,NaN
A37RAWZ6370X39,21,5,2,num,9,0.126
A37RAWZ6370X39,29,1,1,num,11,0.265
A37RAWZ6370X39,15,5,0,pos,10,0.582
A37RAWZ6370X39,60,-1,2,center position,11,0.179
A37RAWZ6370X39,34,0,0,num,10,7.058
A37RAWZ6370X39,1,3,2,pos,10,1.688
A37RAWZ6370X39,20,4,2,num,10,11.378
A37RAWZ6370X39,7,3,1,pos,10,0.059
A37RAWZ6370X39,5,1,2,pos,10,0.167
A37RAWZ6370X39,10,0,1,pos,9,NaN
A37RAWZ6370X39,13,3,0,pos,11,0.529
A37RAWZ6370X39,14,4,0,pos,9,0.416
A37RAWZ6370X39,14,4,0,pos,9,1629210384.730584
A37RAWZ6370X39,32,-1,2,shape,10,0.039
A37RAWZ6370X39,22,0,2,num,11,0.248
A37RAWZ6370X39,62,-1,2,center position,10,NaN
A37RAWZ6370X39,23,1,2,num,9,0.24
A37RAWZ6370X39,17,1,0,pos,10,0.269
A37RAWZ6370X39,8,4,1,pos,10,1.207
A37RAWZ6370X39,35,1,0,num,9,0.113
A37RAWZ6370X39,3,5,2,pos,10,NaN
A37RAWZ6370X39,33,5,0,num,9,0.323
A37RAWZ6370X39,9,5,1,pos,10,0.156
A37RAWZ6370X39,4,0,2,pos,11,0.876
A37RAWZ6370X39,3,-1,2,point number,10,0.502
A37RAWZ6370X39,6,2,1,pos,11,0.169
A37RAWZ6370X39,28,0,1,num,10,2.231
A37RAWZ6370X39,18,2,2,num,11,0.263
A37RAWZ6370X39,11,1,1,pos,9,0.076
A37RAWZ6370X39,30,2,0,num,10,0.123
A37RAWZ6370X39,19,3,2,num,9,0.184
A37RAWZ6370X39,25,3,1,num,10,NaN
A37RAWZ6370X39,31,3,0,num,11,0.626
A37RAWZ6370X39,32,4,0,num,10,NaN
A37RAWZ6370X39,16,0,0,pos,10,NaN
A37RAWZ6370X39,2,4,2,pos,11,0.144
A37RAWZ6370X39,26,4,1,num,10,0.177
A37RAWZ6370X39,24,2,1,num,11,0.419
