userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A2VO8C41JJIQY9,0,3,2,pos,3-0,small&dense-0,3.08-6.64,0,3-4,10.857
A2VO8C41JJIQY9,27,0,1,num,4,0,18.18,0,5,18.93
A2VO8C41JJIQY9,12,3,0,pos,6,large&dense,4.32,1,6,5.206
A2VO8C41JJIQY9,21,0,2,num,4,0,16.48,0,1,17.394
A2VO8C41JJIQY9,29,2,1,num,2,0,19.47,0,4,20.434
A2VO8C41JJIQY9,15,0,0,pos,7,small&sparse,14.21,1,7,15.874
A2VO8C41JJIQY9,60,-1,2,center position,5,small&dense,7.78,1,5,8.915
A2VO8C41JJIQY9,34,1,0,num,2-6,0-small&sparse,15.91-4.11,0,5-7-6,60
A2VO8C41JJIQY9,1,4,2,pos,2,small&sparse,10.65,1,2,12.082
A2VO8C41JJIQY9,20,5,2,num,7-4,large&dense-small&dense,5.75-2.96,1,4-7,9.579
A2VO8C41JJIQY9,7,4,1,pos,7-5-3,small&sparse-small&sparse-large&sparse,6.17-2.74-8.44,1,5-3-7,18.335
A2VO8C41JJIQY9,5,2,2,pos,0-3,large&dense-small&sparse,4.62-8.86,1,0-3,14.337
A2VO8C41JJIQY9,10,1,1,pos,3-7,large&dense-small&dense,4.86-3.77,1,7-3,9.524
A2VO8C41JJIQY9,13,4,0,pos,0-5-3,large&sparse-large&dense-small&dense,4.53-11.11-4.66,1,3-5-0,21.308
A2VO8C41JJIQY9,14,5,0,pos,7-1-5,large&dense-0-large&dense,4.87-1.76-4.96,0,6-5-7,12.579
A2VO8C41JJIQY9,32,-1,2,shape,4,large&dense,3.67,1,4,5.132
A2VO8C41JJIQY9,22,1,2,num,7-5,small&sparse-0,4.11-28.02,0,0-7,33.477
A2VO8C41JJIQY9,62,-1,2,center position,4,large&dense,2.01,1,4,3.008
A2VO8C41JJIQY9,23,2,2,num,0-3-6,large&dense-small&sparse-large&dense,5.43-5.17-1.03,1,3-6-0,12.523
A2VO8C41JJIQY9,17,2,0,pos,0-5,small&dense-small&sparse,3.52-6.50,1,0-5,10.954
A2VO8C41JJIQY9,8,5,1,pos,6-1,large&sparse-large&dense,3.34-5.05,1,1-6,9.371
A2VO8C41JJIQY9,35,2,0,num,5-2-4,large&sparse-0-0,7.09-30.28-2.44,0,6-5-0,42.645
A2VO8C41JJIQY9,3,0,2,pos,7,small&sparse,19.38,1,7,20.507
A2VO8C41JJIQY9,33,0,0,num,5,small&sparse,7.62,1,5,9.256
A2VO8C41JJIQY9,9,0,1,pos,1,small&dense,3.00,1,1,4.017
A2VO8C41JJIQY9,4,1,2,pos,2,small&dense,5.99,0,0-2-6,6.84
A2VO8C41JJIQY9,3,-1,2,point number,1,large&dense,14.12,1,1,15.09
A2VO8C41JJIQY9,6,3,1,pos,2,small&dense,2.15,1,2,3.205
A2VO8C41JJIQY9,28,1,1,num,0-4-6,small&dense-0-0,7.52-6.77-20.25,0,0-2-5,35.777
A2VO8C41JJIQY9,18,3,2,num,5-2-7,small&sparse-small&dense-small&dense,3.67-4.33-0.63,1,7-2-5,9.637
A2VO8C41JJIQY9,11,2,1,pos,1-0-6,small&dense-large&sparse-small&dense,4.20-1.03-10.27,1,6-1-0,18.495
A2VO8C41JJIQY9,30,3,0,num,5-2,small&dense-0,27.32-17.14,0,5-0,45.99
A2VO8C41JJIQY9,19,4,2,num,3,small&dense,10.84,1,3,11.751
A2VO8C41JJIQY9,25,4,1,num,0-6,large&sparse-0,22.77-18.83,0,1-0,42.806
A2VO8C41JJIQY9,31,4,0,num,6-5,large&sparse-large&dense,31.02-25.22,1,6-5,57.362
A2VO8C41JJIQY9,32,5,0,num,7,small&sparse,4.53,1,7,5.593
A2VO8C41JJIQY9,16,1,0,pos,1,small&sparse,15.66,0,1-0,60
A2VO8C41JJIQY9,2,5,2,pos,5-6-4,small&dense-small&sparse-large&sparse,6.03-2.42-8.08,1,5-4-6,18.319
A2VO8C41JJIQY9,26,5,1,num,3-4-6,small&sparse-small&dense-large&sparse,5.69-2.87-21.52,1,3-4-6,31.696
A2VO8C41JJIQY9,24,3,1,num,6-2,small&sparse-small&dense,7.35-4.74,1,2-6,12.973
