userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A1FYFBIFYWTMJS,0,5,2,pos,3-7,small&dense-0,6.91-2.79,0,3-4,10.911
A1FYFBIFYWTMJS,27,2,1,num,5,small&sparse,8.44,1,5,9.938
A1FYFBIFYWTMJS,12,5,0,pos,1,0,4.50,0,6,8.165
A1FYFBIFYWTMJS,21,2,2,num,1,small&sparse,6.67,1,1,8.71
A1FYFBIFYWTMJS,29,4,1,num,1,0,11.87,0,4,13.508
A1FYFBIFYWTMJS,15,2,0,pos,0,0,11.31,0,7,12.741
A1FYFBIFYWTMJS,60,-1,2,center position,5,small&dense,3.31,1,5,4.881
A1FYFBIFYWTMJS,34,3,0,num,3-0-6,0-0-small&sparse,4.87-1.23-4.51,0,5-7-6,12.891
A1FYFBIFYWTMJS,1,0,2,pos,2,small&sparse,6.56,1,2,8.129
A1FYFBIFYWTMJS,20,1,2,num,4-0,small&dense-0,6.94-3.74,0,4-7,11.847
A1FYFBIFYWTMJS,7,0,1,pos,5-6-7,small&sparse-0-small&sparse,8.02-1.94-8.29,0,5-3-7,20.069
A1FYFBIFYWTMJS,5,4,2,pos,0-3,large&dense-small&sparse,5.10-3.56,1,0-3,10.197
A1FYFBIFYWTMJS,10,3,1,pos,7-3,small&dense-large&dense,2.60-2.61,1,7-3,6.478
A1FYFBIFYWTMJS,13,0,0,pos,5-7-3,large&dense-0-small&dense,5.32-1.06-3.04,0,3-5-0,10.779
A1FYFBIFYWTMJS,14,1,0,pos,7-1-2,large&dense-0-0,4.55-2.89-1.84,0,6-5-7,11.237
A1FYFBIFYWTMJS,32,-1,2,shape,4,large&dense,2.78,1,4,4.001
A1FYFBIFYWTMJS,22,3,2,num,2-0,0-large&sparse,8.28-3.99,0,0-7,13.509
A1FYFBIFYWTMJS,62,-1,2,center position,4,large&dense,5.31,1,4,7.601
A1FYFBIFYWTMJS,23,4,2,num,2-6-0,0-large&dense-large&dense,3.99-1.08-1.59,0,3-6-0,8.216
A1FYFBIFYWTMJS,17,4,0,pos,3-2,0-0,6.51-1.69,0,0-5,9.611
A1FYFBIFYWTMJS,8,1,1,pos,6-1,large&sparse-large&dense,3.77-4.99,1,1-6,10.495
A1FYFBIFYWTMJS,35,4,0,num,1-0-5,0-small&sparse-large&sparse,7.17-1.22-2.79,0,6-5-0,14.774
A1FYFBIFYWTMJS,3,2,2,pos,7,small&sparse,3.30,1,7,4.856
A1FYFBIFYWTMJS,33,2,0,num,5,small&sparse,6.35,1,5,7.611
A1FYFBIFYWTMJS,9,2,1,pos,1,small&dense,2.24,1,1,3.622
A1FYFBIFYWTMJS,4,3,2,pos,0-2-6,small&dense-small&dense-small&sparse,4.19-3.44-2.72,1,0-2-6,22.291
A1FYFBIFYWTMJS,3,-1,2,point number,1,large&dense,3.57,1,1,4.842
A1FYFBIFYWTMJS,6,5,1,pos,2,small&dense,3.58,1,2,4.874
A1FYFBIFYWTMJS,28,3,1,num,0-2-4,small&dense-small&sparse-0,2.57-3.56-2.80,0,0-2-5,9.762
A1FYFBIFYWTMJS,18,5,2,num,2-7-5,small&dense-small&dense-small&sparse,4.04-1.13-5.03,1,7-2-5,11.14
A1FYFBIFYWTMJS,11,4,1,pos,6-1-0,small&dense-small&dense-large&sparse,4.24-2.31-2.37,1,6-1-0,10.075
A1FYFBIFYWTMJS,30,5,0,num,5-6,small&dense-0,11.32-0.82,0,5-0,14.717
A1FYFBIFYWTMJS,19,0,2,num,3,small&dense,6.34,1,3,7.372
A1FYFBIFYWTMJS,25,0,1,num,0-6,large&sparse-0,6.20-3.52,0,1-0,10.81
A1FYFBIFYWTMJS,31,0,0,num,6-1,large&sparse-0,8.93-3.79,0,6-5,15.892
A1FYFBIFYWTMJS,32,1,0,num,0,0,9.31,0,7,10.998
A1FYFBIFYWTMJS,16,3,0,pos,0-2,small&dense-0,4.38-5.13,0,1-0,11.08
A1FYFBIFYWTMJS,2,1,2,pos,5-2-7,small&dense-0-0,3.05-2.07-7.44,0,5-4-6,13.864
A1FYFBIFYWTMJS,26,1,1,num,4-1-3,small&dense-0-small&sparse,3.31-2.07-1.05,0,3-4-6,7.909
A1FYFBIFYWTMJS,24,5,1,num,2-6,small&dense-small&sparse,5.20-1.89,1,2-6,7.99
