userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A20YKSTR76A8P4,0,5,2,pos,3-7,small&dense-0,5.87-5.83,0,3-4,18.383
A20YKSTR76A8P4,27,2,1,num,5,small&sparse,11.87,1,5,13.469
A20YKSTR76A8P4,12,5,0,pos,6,large&dense,10.21,1,6,11.869
A20YKSTR76A8P4,21,2,2,num,1,small&sparse,8.95,1,1,10.811
A20YKSTR76A8P4,29,4,1,num,4,small&sparse,21.18,1,4,22.487
A20YKSTR76A8P4,15,2,0,pos,7,small&sparse,29.37,1,7,31.649
A20YKSTR76A8P4,60,-1,2,center position,5,small&dense,4.53,1,5,7.66
A20YKSTR76A8P4,34,3,0,num,0,0,37.04,0,5-7-6,45.172
A20YKSTR76A8P4,1,0,2,pos,2,small&sparse,6.58,1,2,8.105
A20YKSTR76A8P4,20,1,2,num,4-7,small&dense-large&dense,6.07-17.04,1,4-7,26.002
A20YKSTR76A8P4,7,0,1,pos,3-5-6,large&sparse-small&sparse-0,16.66-5.92-41.59,0,5-3-7,68.156
A20YKSTR76A8P4,5,4,2,pos,0-3,large&dense-small&sparse,6.30-2.51,1,0-3,10.163
A20YKSTR76A8P4,10,3,1,pos,3-7,large&dense-small&dense,10.38-4.08,1,7-3,24.309
A20YKSTR76A8P4,13,0,0,pos,0-3-5,large&sparse-small&dense-large&dense,7.10-4.63-38.95,1,3-5-0,56.757
A20YKSTR76A8P4,14,1,0,pos,7-5-1,large&dense-large&dense-0,3.46-2.32-14.80,0,6-5-7,21.974
A20YKSTR76A8P4,32,-1,2,shape,4,large&dense,6.80,1,4,8.113
A20YKSTR76A8P4,22,3,2,num,7-0,small&sparse-large&sparse,2.94-5.91,1,0-7,16.817
A20YKSTR76A8P4,62,-1,2,center position,4,large&dense,3.85,1,4,5.454
A20YKSTR76A8P4,23,4,2,num,0-3-6,large&dense-small&sparse-large&dense,2.50-5.75-0.99,1,3-6-0,10.53
A20YKSTR76A8P4,17,4,0,pos,0-2,small&dense-0,7.24-9.96,0,0-5,20.303
A20YKSTR76A8P4,8,1,1,pos,6-1,large&sparse-large&dense,6.51-3.71,1,1-6,11.926
A20YKSTR76A8P4,35,4,0,num,5-7-0,large&sparse-0-small&sparse,14.62-3.82-4.31,0,6-5-0,60
A20YKSTR76A8P4,3,2,2,pos,7,small&sparse,6.39,1,7,8.038
A20YKSTR76A8P4,33,2,0,num,5,small&sparse,24.78,1,5,26.392
A20YKSTR76A8P4,9,2,1,pos,1,small&dense,3.43,1,1,5.274
A20YKSTR76A8P4,4,3,2,pos,0-2-6,small&dense-small&dense-small&sparse,3.79-2.35-2.50,1,0-2-6,10.21
A20YKSTR76A8P4,3,-1,2,point number,1,large&dense,9.09,1,1,37.178
A20YKSTR76A8P4,6,5,1,pos,2,small&dense,2.65,1,2,4.834
A20YKSTR76A8P4,28,3,1,num,2-0-5,small&sparse-small&dense-small&sparse,4.64-5.46-12.53,1,0-2-5,24.466
A20YKSTR76A8P4,18,5,2,num,7-5,small&dense-small&sparse,15.02-4.39,0,7-2-5,60
A20YKSTR76A8P4,11,4,1,pos,1-5-0,small&dense-0-large&sparse,36.59-2.05-1.65,0,6-1-0,46.397
A20YKSTR76A8P4,30,5,0,num,7-3-0,0-0-small&dense,2.97-1.61-6.63,0,5-0,13.095
A20YKSTR76A8P4,19,0,2,num,3,small&dense,30.61,1,3,37.189
A20YKSTR76A8P4,25,0,1,num,0-5,large&sparse-0,15.02-6.44,0,1-0,22.709
A20YKSTR76A8P4,31,0,0,num,5-7,large&dense-0,28.08-24.03,0,6-5,53.778
A20YKSTR76A8P4,32,1,0,num,3,0,3.19,0,7,35.136
A20YKSTR76A8P4,16,3,0,pos,1,small&sparse,5.07,0,1-0,7.455
A20YKSTR76A8P4,2,1,2,pos,4-5-6,large&sparse-small&dense-small&sparse,5.17-2.68-7.37,1,5-4-6,16.963
A20YKSTR76A8P4,26,1,1,num,3-4-6,small&sparse-small&dense-large&sparse,5.71-3.15-4.77,1,3-4-6,15.296
A20YKSTR76A8P4,24,5,1,num,6-2,small&sparse-small&dense,11.24-7.73,1,2-6,20.25
