userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
AG4LL3LCM9Z8L,0,1,2,pos,5-3,0-small&dense,4.10-1.32,0,3-4,6.567
AG4LL3LCM9Z8L,27,4,1,num,3,0,6.12,0,5,7.284
AG4LL3LCM9Z8L,12,1,0,pos,0,0,8.06,0,6,10.563
AG4LL3LCM9Z8L,21,4,2,num,5,0,5.33,0,1,8.318
AG4LL3LCM9Z8L,21,4,2,num,5,0,5.33,0,1,9.429
AG4LL3LCM9Z8L,29,0,1,num,0,0,3.62,0,4,10.645
AG4LL3LCM9Z8L,29,0,1,num,0,0,3.62,0,4,11.81
AG4LL3LCM9Z8L,15,4,0,pos,0,0,7.63,0,7,8.75
AG4LL3LCM9Z8L,15,4,0,pos,0,0,7.63,0,7,9.614
AG4LL3LCM9Z8L,60,-1,2,center position,2,0,4.23,0,5,5.609
AG4LL3LCM9Z8L,34,5,0,num,7-0-5,large&dense-0-large&dense,8.12-4.21-4.29,0,5-7-6,18.195
AG4LL3LCM9Z8L,1,2,2,pos,1,0,10.65,0,2,13.956
AG4LL3LCM9Z8L,1,2,2,pos,1,0,10.65,0,2,14.779
AG4LL3LCM9Z8L,20,3,2,num,2-7,0-large&dense,2.20-4.99,0,4-7,8.624
AG4LL3LCM9Z8L,7,2,1,pos,3-5,large&sparse-small&sparse,5.36-5.33,0,5-3-7,17.239
AG4LL3LCM9Z8L,5,0,2,pos,5-0,0-large&dense,5.68-1.89,0,0-3,9.551
AG4LL3LCM9Z8L,10,5,1,pos,3-0,large&dense-0,3.68-2.31,0,7-3,8.141
AG4LL3LCM9Z8L,13,2,0,pos,0-5,large&sparse-large&dense,2.70-3.34,0,3-5-0,15.751
AG4LL3LCM9Z8L,14,3,0,pos,7-0,large&dense-0,3.07-2.92,0,6-5-7,15.848
AG4LL3LCM9Z8L,32,-1,2,shape,0,0,9.86,0,4,16.458
AG4LL3LCM9Z8L,22,5,2,num,0-5,large&sparse-0,38.06-1.89,0,0-7,60
AG4LL3LCM9Z8L,62,-1,2,center position,3,0,6.28,0,4,17.628
AG4LL3LCM9Z8L,23,0,2,num,0,large&dense,8.25,0,3-6-0,60
AG4LL3LCM9Z8L,17,0,0,pos,0-1,small&dense-0,6.05-11.96,0,0-5,35.272
AG4LL3LCM9Z8L,8,3,1,pos,3-2,0-0,7.05-4.44,0,1-6,14.47
AG4LL3LCM9Z8L,35,0,0,num,5-4,large&sparse-0,3.28-12.86,0,6-5-0,17.375
AG4LL3LCM9Z8L,3,4,2,pos,6,0,11.40,0,7,33.876
AG4LL3LCM9Z8L,33,4,0,num,1,0,1.81,0,5,27.02
AG4LL3LCM9Z8L,9,4,1,pos,6,0,4.37,0,1,6.028
AG4LL3LCM9Z8L,4,5,2,pos,0-2-6,small&dense-small&dense-small&sparse,8.59-2.36-8.23,1,0-2-6,25.841
AG4LL3LCM9Z8L,3,-1,2,point number,1,large&dense,2.33,1,1,11.349
AG4LL3LCM9Z8L,6,1,1,pos,2,small&dense,14.72,1,2,16.594
AG4LL3LCM9Z8L,28,5,1,num,1-6-2,0-0-small&sparse,5.60-2.81-1.86,0,0-2-5,11.598
AG4LL3LCM9Z8L,18,1,2,num,1-6-7,0-0-small&dense,18.16-11.76-3.06,0,7-2-5,35.063
AG4LL3LCM9Z8L,11,0,1,pos,5-0-1,0-large&sparse-small&dense,3.80-1.26-2.66,0,6-1-0,9.816
AG4LL3LCM9Z8L,30,1,0,num,4-7,0-0,9.44-9.85,0,5-0,21.267
AG4LL3LCM9Z8L,19,2,2,num,4,0,2.62,0,3,10.545
AG4LL3LCM9Z8L,25,2,1,num,0-6,large&sparse-0,6.79-7.01,0,1-0,15.54
AG4LL3LCM9Z8L,31,2,0,num,6-4,large&sparse-0,4.67-5.11,0,6-5,11.42
AG4LL3LCM9Z8L,32,3,0,num,2,0,8.15,0,7,18.735
AG4LL3LCM9Z8L,16,5,0,pos,5-7,0-0,4.73-2.58,0,1-0,13.565
AG4LL3LCM9Z8L,2,3,2,pos,7-0-4,0-0-large&sparse,8.19-1.03-2.32,0,5-4-6,13.913
AG4LL3LCM9Z8L,26,3,1,num,5-6-3,0-large&sparse-small&sparse,7.80-1.98-3.30,0,3-4-6,15.274
AG4LL3LCM9Z8L,24,1,1,num,0-6,0-small&sparse,4.59-2.73,0,2-6,9.877
