userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A361KK8PC1KZLQ,0,3,2,pos,3-7,small&dense-0,4.22-5.10,0,3-4,10.653
A361KK8PC1KZLQ,27,0,1,num,6,0,25.47,0,5,28.986
A361KK8PC1KZLQ,12,3,0,pos,6-1,large&dense-0,11.58-3.04,0,6,15.882
A361KK8PC1KZLQ,21,0,2,num,2-4,0-0,16.16-0.95,0,1,18.829
A361KK8PC1KZLQ,29,2,1,num,4-0,small&sparse-0,9.64-1.13,0,4,12.222
A361KK8PC1KZLQ,15,0,0,pos,1-0,0-0,0.95-0.90,0,7,2.828
A361KK8PC1KZLQ,60,-1,2,center position,5-0,small&dense-0,3.16-6.83,0,5,10.947
A361KK8PC1KZLQ,34,1,0,num,0-5-7,0-large&dense-large&dense,3.91-0.77-1.98,0,5-7-6,8.21
A361KK8PC1KZLQ,1,4,2,pos,4-7-0,0-0-0,1.72-1.18-1.46,0,2,5.948
A361KK8PC1KZLQ,20,5,2,num,7-5,large&dense-0,2.61-8.48,0,4-7,12.186
A361KK8PC1KZLQ,7,4,1,pos,4-0-7,0-0-small&sparse,1.94-1.47-3.10,0,5-3-7,7.649
A361KK8PC1KZLQ,5,2,2,pos,4-3,0-small&sparse,1.47-1.17,0,0-3,4.897
A361KK8PC1KZLQ,10,1,1,pos,3-4,large&dense-0,1.36-0.82,0,7-3,3.563
A361KK8PC1KZLQ,13,4,0,pos,0-7,large&sparse-0,2.88-1.54,0,3-5-0,5.63
A361KK8PC1KZLQ,14,5,0,pos,7-1,large&dense-0,4.20-1.25,0,6-5-7,6.985
A361KK8PC1KZLQ,32,-1,2,shape,4,large&dense,4.01,1,4,4.982
A361KK8PC1KZLQ,22,1,2,num,7-1,small&sparse-0,2.94-3.56,0,0-7,7.92
A361KK8PC1KZLQ,62,-1,2,center position,4-2,large&dense-0,2.35-3.05,0,4,13.457
A361KK8PC1KZLQ,23,2,2,num,5-6,0-large&dense,1.94-1.72,0,3-6-0,6.898
A361KK8PC1KZLQ,17,2,0,pos,4-0,0-small&dense,15.89-0.49,0,0-5,19.229
A361KK8PC1KZLQ,8,5,1,pos,4-1,0-large&dense,2.26-3.74,0,1-6,6.779
A361KK8PC1KZLQ,35,2,0,num,7-6,0-small&dense,1.55-1.24,0,6-5-0,3.805
A361KK8PC1KZLQ,3,0,2,pos,1-4,0-0,4.63-2.95,0,7,8.392
A361KK8PC1KZLQ,33,0,0,num,0-3,0-0,1.68-0.98,0,5,4.441
A361KK8PC1KZLQ,9,0,1,pos,3-7,0-0,1.45-1.10,0,1,3.517
A361KK8PC1KZLQ,9,0,1,pos,3-7,0-0,1.45-1.10,0,1,4.293
A361KK8PC1KZLQ,4,1,2,pos,0-6,small&dense-small&sparse,2.40-2.08,0,0-2-6,5.517
A361KK8PC1KZLQ,3,-1,2,point number,5-4,0-0,3.05-0.64,0,1,4.579
A361KK8PC1KZLQ,3,-1,2,point number,5-4,0-0,3.05-0.64,0,1,5.123
A361KK8PC1KZLQ,6,3,1,pos,2-6,small&dense-0,2.34-0.70,0,2,3.854
A361KK8PC1KZLQ,28,1,1,num,0-4,small&dense-0,1.12-2.07,0,0-2-5,4.221
A361KK8PC1KZLQ,18,3,2,num,6-2-7,0-small&dense-small&dense,1.92-1.03-2.39,0,7-2-5,9.417
A361KK8PC1KZLQ,11,2,1,pos,6-5-7,small&dense-0-0,1.44-1.81-3.12,0,6-1-0,7.317
A361KK8PC1KZLQ,30,3,0,num,0-5,small&dense-small&dense,1.35-0.59,1,5-0,4.588
A361KK8PC1KZLQ,19,4,2,num,5,0,1.25,0,3,6.997
A361KK8PC1KZLQ,25,4,1,num,0-2,large&sparse-0,2.22-1.67,0,1-0,5.426
A361KK8PC1KZLQ,31,4,0,num,7-2,0-0,1.45-0.93,0,6-5,3.442
A361KK8PC1KZLQ,32,5,0,num,1,0,3.92,0,7,6.645
A361KK8PC1KZLQ,16,1,0,pos,6-4,0-0,8.14-3.02,0,1-0,12.172
A361KK8PC1KZLQ,2,5,2,pos,0-6,0-small&sparse,2.68-3.21,0,5-4-6,7.215
A361KK8PC1KZLQ,26,5,1,num,1-3,0-small&sparse,4.59-1.62,0,3-4-6,8.19
A361KK8PC1KZLQ,24,3,1,num,6-2,small&sparse-small&dense,5.00-5.85,1,2-6,12.75
