userName,fileId,conditionId,changeMagnitude,changeType,userResult,totalTime
A544FPX6FB2OS,0,0,2,pos,7,6.314
A544FPX6FB2OS,27,3,1,num,8,7.566
A544FPX6FB2OS,12,0,0,pos,8,11.864
A544FPX6FB2OS,21,3,2,num,6,5.433
A544FPX6FB2OS,29,5,1,num,8,8.015
A544FPX6FB2OS,15,3,0,pos,8,10.575
A544FPX6FB2OS,60,-1,2,center position,6,10.208
A544FPX6FB2OS,34,4,0,num,8,6.676
A544FPX6FB2OS,1,1,2,pos,8,7.269
A544FPX6FB2OS,20,2,2,num,8,7.932
A544FPX6FB2OS,7,1,1,pos,8,10.564
A544FPX6FB2OS,5,5,2,pos,8,7.951
A544FPX6FB2OS,10,4,1,pos,8,7.784
A544FPX6FB2OS,13,1,0,pos,7,11.028
A544FPX6FB2OS,14,2,0,pos,10,25.169
A544FPX6FB2OS,32,-1,2,shape,6,5.752
A544FPX6FB2OS,22,4,2,num,8,8.863
A544FPX6FB2OS,62,-1,2,center position,6,8.033
A544FPX6FB2OS,23,5,2,num,7,7.404
A544FPX6FB2OS,17,5,0,pos,7,6.546
A544FPX6FB2OS,8,2,1,pos,8,20.175
A544FPX6FB2OS,35,5,0,num,7,23.349
A544FPX6FB2OS,3,3,2,pos,8,9.686
A544FPX6FB2OS,33,3,0,num,7,9.602
A544FPX6FB2OS,9,3,1,pos,8,11.463
A544FPX6FB2OS,4,4,2,pos,8,5.844
A544FPX6FB2OS,3,-1,2,point number,6,6.694
A544FPX6FB2OS,6,0,1,pos,8,5.562
A544FPX6FB2OS,28,4,1,num,7,8.292
A544FPX6FB2OS,18,0,2,num,8,8.575
A544FPX6FB2OS,11,5,1,pos,8,6.12
A544FPX6FB2OS,30,0,0,num,8,10.811
A544FPX6FB2OS,19,1,2,num,8,10.084
A544FPX6FB2OS,25,1,1,num,8,9.914
A544FPX6FB2OS,31,1,0,num,7,9.775
A544FPX6FB2OS,32,2,0,num,8,16.76
A544FPX6FB2OS,16,4,0,pos,8,7.699
A544FPX6FB2OS,2,2,2,pos,8,9.678
A544FPX6FB2OS,26,2,1,num,6,14.298
A544FPX6FB2OS,24,0,1,num,8,8.728
