userName,fileId,conditionId,changeMagnitude,changeType,userResult,totalTime
A3HRSNL7UUFAZ0,0,2,2,pos,7,22.868
A3HRSNL7UUFAZ0,27,5,1,num,8,21.977
A3HRSNL7UUFAZ0,12,2,0,pos,8,21.134
A3HRSNL7UUFAZ0,21,5,2,num,7,22.689
A3HRSNL7UUFAZ0,29,1,1,num,8,27.316
A3HRSNL7UUFAZ0,15,5,0,pos,8,30.885
A3HRSNL7UUFAZ0,60,-1,2,center position,6,19.86
A3HRSNL7UUFAZ0,34,0,0,num,7,41.762
A3HRSNL7UUFAZ0,1,3,2,pos,8,25.348
A3HRSNL7UUFAZ0,20,4,2,num,8,19.651
A3HRSNL7UUFAZ0,7,3,1,pos,8,30.491
A3HRSNL7UUFAZ0,5,1,2,pos,8,41.302
A3HRSNL7UUFAZ0,10,0,1,pos,8,36.541
A3HRSNL7UUFAZ0,13,3,0,pos,7,34.237
A3HRSNL7UUFAZ0,14,4,0,pos,8,27.227
A3HRSNL7UUFAZ0,32,-1,2,shape,6,10.696
A3HRSNL7UUFAZ0,22,0,2,num,6,47.764
A3HRSNL7UUFAZ0,62,-1,2,center position,6,25.269
A3HRSNL7UUFAZ0,23,1,2,num,8,14.133
A3HRSNL7UUFAZ0,17,1,0,pos,7,26.404
A3HRSNL7UUFAZ0,8,4,1,pos,8,38.608
A3HRSNL7UUFAZ0,35,1,0,num,7,41.32
A3HRSNL7UUFAZ0,3,5,2,pos,8,15.047
A3HRSNL7UUFAZ0,33,5,0,num,8,21.492
A3HRSNL7UUFAZ0,9,5,1,pos,8,12.058
A3HRSNL7UUFAZ0,4,0,2,pos,8,37.863
A3HRSNL7UUFAZ0,3,-1,2,point number,6,21.321
A3HRSNL7UUFAZ0,6,2,1,pos,7,24.864
A3HRSNL7UUFAZ0,28,0,1,num,8,14.117
A3HRSNL7UUFAZ0,18,2,2,num,7,24.354
A3HRSNL7UUFAZ0,11,1,1,pos,8,26.806
A3HRSNL7UUFAZ0,30,2,0,num,7,17.944
A3HRSNL7UUFAZ0,19,3,2,num,8,11.791
A3HRSNL7UUFAZ0,25,3,1,num,8,13.741
A3HRSNL7UUFAZ0,31,3,0,num,7,14.853
A3HRSNL7UUFAZ0,32,4,0,num,7,20.499
A3HRSNL7UUFAZ0,16,0,0,pos,7,12.849
A3HRSNL7UUFAZ0,2,4,2,pos,8,29.381
A3HRSNL7UUFAZ0,26,4,1,num,8,26.278
A3HRSNL7UUFAZ0,24,2,1,num,7,8.983
