userName,fileId,conditionId,changeMagnitude,changeType,userResult,totalTime
A2YFQS0N1IAN9I,0,5,2,pos,8,7.89
A2YFQS0N1IAN9I,27,2,1,num,6,11.736
A2YFQS0N1IAN9I,12,5,0,pos,8,12.346
A2YFQS0N1IAN9I,21,2,2,num,8,15.575
A2YFQS0N1IAN9I,29,4,1,num,8,6.804
A2YFQS0N1IAN9I,15,2,0,pos,6,21.318
A2YFQS0N1IAN9I,60,-1,2,center position,7,12.424
A2YFQS0N1IAN9I,34,3,0,num,7,13.866
A2YFQS0N1IAN9I,1,0,2,pos,8,8.322
A2YFQS0N1IAN9I,20,1,2,num,7,40.649
A2YFQS0N1IAN9I,7,0,1,pos,8,39.582
A2YFQS0N1IAN9I,5,4,2,pos,8,9.02
A2YFQS0N1IAN9I,10,3,1,pos,7,26.982
A2YFQS0N1IAN9I,13,0,0,pos,7,9.22
A2YFQS0N1IAN9I,14,1,0,pos,8,15.188
A2YFQS0N1IAN9I,32,-1,2,shape,5,7.263
A2YFQS0N1IAN9I,22,3,2,num,9,10.741
A2YFQS0N1IAN9I,62,-1,2,center position,6,45.328
A2YFQS0N1IAN9I,23,4,2,num,7,18.022
A2YFQS0N1IAN9I,17,4,0,pos,5,8.646
A2YFQS0N1IAN9I,8,1,1,pos,6,7.993
A2YFQS0N1IAN9I,35,4,0,num,8,23.428
A2YFQS0N1IAN9I,3,2,2,pos,6,5.708
A2YFQS0N1IAN9I,33,2,0,num,6,7.353
A2YFQS0N1IAN9I,9,2,1,pos,6,11.656
A2YFQS0N1IAN9I,4,3,2,pos,6,4.662
A2YFQS0N1IAN9I,3,-1,2,point number,7,4.668
A2YFQS0N1IAN9I,6,5,1,pos,8,6.008
A2YFQS0N1IAN9I,28,3,1,num,7,5.862
A2YFQS0N1IAN9I,18,5,2,num,8,5.336
A2YFQS0N1IAN9I,11,4,1,pos,7,4.173
A2YFQS0N1IAN9I,30,5,0,num,6,4.625
A2YFQS0N1IAN9I,19,0,2,num,8,4.855
A2YFQS0N1IAN9I,25,0,1,num,6,5.318
A2YFQS0N1IAN9I,31,0,0,num,4,4.093
A2YFQS0N1IAN9I,32,1,0,num,6,6.324
A2YFQS0N1IAN9I,16,3,0,pos,8,4.783
A2YFQS0N1IAN9I,2,1,2,pos,7,5.762
A2YFQS0N1IAN9I,26,1,1,num,6,5.099
A2YFQS0N1IAN9I,24,5,1,num,7,5.504
