userName,fileId,conditionId,changeMagnitude,userResult,totalTime
A12RFWYHO83Y7M,0,2,2,4,10.343
A12RFWYHO83Y7M,27,5,1,4,4.984
A12RFWYHO83Y7M,12,2,0,3,4.006
A12RFWYHO83Y7M,21,5,2,5,3.151
A12RFWYHO83Y7M,29,1,1,5,1.115
A12RFWYHO83Y7M,15,5,0,3,2.648
A12RFWYHO83Y7M,60,-1,2,5,1.042
A12RFWYHO83Y7M,34,0,0,5,2.534
A12RFWYHO83Y7M,1,3,2,6,1.918
A12RFWYHO83Y7M,20,4,2,7,2.424
A12RFWYHO83Y7M,7,3,1,6,1.418
A12RFWYHO83Y7M,5,1,2,5,1.41
A12RFWYHO83Y7M,10,0,1,6,0.788
A12RFWYHO83Y7M,13,3,0,7,NaN
A12RFWYHO83Y7M,14,4,0,5,NaN
A12RFWYHO83Y7M,32,-1,2,6,NaN
A12RFWYHO83Y7M,22,0,2,5,NaN
A12RFWYHO83Y7M,62,-1,2,6,0.571
A12RFWYHO83Y7M,23,1,2,5,1.772
A12RFWYHO83Y7M,17,1,0,6,15.735
A12RFWYHO83Y7M,8,4,1,6,1.443
A12RFWYHO83Y7M,35,1,0,7,0.859
A12RFWYHO83Y7M,3,5,2,4,2.186
A12RFWYHO83Y7M,33,5,0,5,4.14
A12RFWYHO83Y7M,9,5,1,5,2.214
A12RFWYHO83Y7M,4,0,2,7,0.013
A12RFWYHO83Y7M,3,-1,2,6,2.195
A12RFWYHO83Y7M,6,2,1,7,NaN
A12RFWYHO83Y7M,28,0,1,6,2.286
A12RFWYHO83Y7M,18,2,2,9,4.721
A12RFWYHO83Y7M,11,1,1,8,0.917
A12RFWYHO83Y7M,30,2,0,7,0.013
A12RFWYHO83Y7M,19,3,2,6,0.112
A12RFWYHO83Y7M,25,3,1,5,0.209
A12RFWYHO83Y7M,31,3,0,6,6.138
A12RFWYHO83Y7M,32,4,0,5,0.99
A12RFWYHO83Y7M,16,0,0,9,2.091
A12RFWYHO83Y7M,2,4,2,7,2.469
A12RFWYHO83Y7M,26,4,1,7,1.206
A12RFWYHO83Y7M,24,2,1,6,1.088
