userName,conditionId,testId,titer,userResult
A1K8VUKRL53OX,0,0,0.5,0
A1K8VUKRL53OX,0,1,0.75,1
A1K8VUKRL53OX,0,2,0.65,1
A1K8VUKRL53OX,0,3,0.55,0
A1K8VUKRL53OX,0,4,0.75,0
A1K8VUKRL53OX,0,5,0.75,1
A1K8VUKRL53OX,0,6,0.65,0
A1K8VUKRL53OX,0,7,0.75,0
A1K8VUKRL53OX,0,8,0.75,0
A1K8VUKRL53OX,0,9,0.75,0
A1K8VUKRL53OX,0,10,0.75,0
A1K8VUKRL53OX,0,11,0.75,0
A1K8VUKRL53OX,0,13,0.75,0
A1K8VUKRL53OX,0,12,0.75,0
A1K8VUKRL53OX,0,14,0.75,1
A1K8VUKRL53OX,0,16,0.75,1
A1K8VUKRL53OX,0,15,0.65,0
A1K8VUKRL53OX,0,17,0.65,0
A1K8VUKRL53OX,0,18,0.75,0
A1K8VUKRL53OX,0,19,0.75,0
A1K8VUKRL53OX,1,0,0.5,0
A1K8VUKRL53OX,1,1,0.75,1
A1K8VUKRL53OX,1,2,0.65,0
A1K8VUKRL53OX,1,3,0.75,0
A1K8VUKRL53OX,1,4,0.75,1
A1K8VUKRL53OX,1,5,0.65,1
A1K8VUKRL53OX,1,6,0.55,0
A1K8VUKRL53OX,1,7,0.75,1
A1K8VUKRL53OX,1,8,0.65,1
A1K8VUKRL53OX,1,9,0.55,1
A1K8VUKRL53OX,1,10,0.45,0
A1K8VUKRL53OX,1,11,0.75,0
A1K8VUKRL53OX,1,13,0.65,1
A1K8VUKRL53OX,1,12,0.75,1
A1K8VUKRL53OX,1,14,0.55,0
A1K8VUKRL53OX,1,15,0.75,1
A1K8VUKRL53OX,1,16,0.65,1
A1K8VUKRL53OX,1,17,0.55,1
A1K8VUKRL53OX,1,18,0.45,1
A1K8VUKRL53OX,1,19,0.35,0
A1K8VUKRL53OX,2,0,0.5,1
A1K8VUKRL53OX,2,1,0.4,0
A1K8VUKRL53OX,2,2,0.7,0
A1K8VUKRL53OX,2,3,0.75,1
A1K8VUKRL53OX,2,5,0.55,1
A1K8VUKRL53OX,2,4,0.65,1
A1K8VUKRL53OX,2,7,0.35,1
A1K8VUKRL53OX,2,6,0.45,1
A1K8VUKRL53OX,2,8,0.25,0
A1K8VUKRL53OX,2,9,0.55,1
A1K8VUKRL53OX,2,10,0.45,1
A1K8VUKRL53OX,2,11,0.35,1
A1K8VUKRL53OX,2,12,0.25,0
A1K8VUKRL53OX,2,13,0.55,1
A1K8VUKRL53OX,2,14,0.45,1
A1K8VUKRL53OX,2,15,0.35,1
A1K8VUKRL53OX,2,16,0.25,1
A1K8VUKRL53OX,2,17,0.15,0
A1K8VUKRL53OX,2,19,0.35,1
A1K8VUKRL53OX,3,0,0.5,1
A1K8VUKRL53OX,3,1,0.4,1
A1K8VUKRL53OX,2,18,0.45,1
A1K8VUKRL53OX,3,2,0.3,1
A1K8VUKRL53OX,3,3,0.2,1
A1K8VUKRL53OX,3,4,0.1,0
A1K8VUKRL53OX,3,6,0.3,1
A1K8VUKRL53OX,3,5,0.4,1
A1K8VUKRL53OX,3,7,0.2,0
A1K8VUKRL53OX,3,8,0.5,1
A1K8VUKRL53OX,3,9,0.4,1
A1K8VUKRL53OX,3,10,0.3,0
A1K8VUKRL53OX,3,12,0.5,1
A1K8VUKRL53OX,3,11,0.6,1
A1K8VUKRL53OX,3,13,0.4,1
A1K8VUKRL53OX,3,14,0.3,1
A1K8VUKRL53OX,3,15,0.2,1
A1K8VUKRL53OX,3,16,0.1,1
A1K8VUKRL53OX,3,17,0.1,0
A1K8VUKRL53OX,3,18,0.4,1
A1K8VUKRL53OX,3,19,0.3,1
A1K8VUKRL53OX,4,0,0.5,1
A1K8VUKRL53OX,4,1,0.4,1
A1K8VUKRL53OX,4,2,0.3,0
A1K8VUKRL53OX,4,3,0.6,0
A1K8VUKRL53OX,4,4,0.75,1
A1K8VUKRL53OX,4,5,0.65,0
A1K8VUKRL53OX,4,6,0.75,0
A1K8VUKRL53OX,4,7,0.75,0
A1K8VUKRL53OX,4,8,0.75,0
A1K8VUKRL53OX,4,9,0.75,1
A1K8VUKRL53OX,4,10,0.65,0
A1K8VUKRL53OX,4,11,0.75,0
A1K8VUKRL53OX,4,12,0.75,1
A1K8VUKRL53OX,4,14,0.55,0
A1K8VUKRL53OX,4,13,0.65,1
A1K8VUKRL53OX,4,15,0.75,0
A1K8VUKRL53OX,4,16,0.75,0
A1K8VUKRL53OX,4,17,0.75,1
A1K8VUKRL53OX,4,18,0.65,0
A1K8VUKRL53OX,4,19,0.75,1
A1K8VUKRL53OX,5,0,0.5,0
A1K8VUKRL53OX,5,1,0.75,0
A1K8VUKRL53OX,5,2,0.75,1
A1K8VUKRL53OX,5,3,0.65,0
A1K8VUKRL53OX,5,4,0.75,1
A1K8VUKRL53OX,5,5,0.65,0
A1K8VUKRL53OX,5,6,0.75,1
A1K8VUKRL53OX,5,7,0.65,0
A1K8VUKRL53OX,5,8,0.75,1
A1K8VUKRL53OX,5,9,0.65,1
A1K8VUKRL53OX,5,10,0.55,1
A1K8VUKRL53OX,5,11,0.45,0
A1K8VUKRL53OX,5,12,0.75,1
A1K8VUKRL53OX,5,13,0.65,1
A1K8VUKRL53OX,5,14,0.55,1
A1K8VUKRL53OX,5,15,0.45,0
A1K8VUKRL53OX,5,16,0.75,0
A1K8VUKRL53OX,5,17,0.75,1
A1K8VUKRL53OX,5,18,0.65,1
A1K8VUKRL53OX,5,19,0.55,0
