userName,conditionId,testId,titer,userResult
A34AIVDAXTHCCZ,0,0,0.50,0
A34AIVDAXTHCCZ,0,1,0.75,0
A34AIVDAXTHCCZ,0,2,0.75,0
A34AIVDAXTHCCZ,0,4,0.75,0
A34AIVDAXTHCCZ,0,5,0.75,0
A34AIVDAXTHCCZ,0,6,0.75,1
A34AIVDAXTHCCZ,0,7,0.65,1
A34AIVDAXTHCCZ,0,8,0.55,0
A34AIVDAXTHCCZ,0,9,0.75,0
A34AIVDAXTHCCZ,0,10,0.75,1
A34AIVDAXTHCCZ,0,11,0.65,0
A34AIVDAXTHCCZ,0,12,0.75,0
A34AIVDAXTHCCZ,0,13,0.75,0
A34AIVDAXTHCCZ,0,14,0.75,0
A34AIVDAXTHCCZ,0,15,0.75,1
A34AIVDAXTHCCZ,0,16,0.65,0
A34AIVDAXTHCCZ,0,17,0.75,0
A34AIVDAXTHCCZ,0,18,0.75,1
A34AIVDAXTHCCZ,0,19,0.65,0
A34AIVDAXTHCCZ,1,0,0.50,0
A34AIVDAXTHCCZ,1,1,0.75,0
A34AIVDAXTHCCZ,1,2,0.75,0
A34AIVDAXTHCCZ,1,3,0.75,0
A34AIVDAXTHCCZ,1,4,0.75,0
A34AIVDAXTHCCZ,1,5,0.75,0
A34AIVDAXTHCCZ,1,6,0.75,0
A34AIVDAXTHCCZ,1,7,0.75,0
A34AIVDAXTHCCZ,1,8,0.75,0
A34AIVDAXTHCCZ,1,9,0.75,0
A34AIVDAXTHCCZ,1,10,0.75,0
A34AIVDAXTHCCZ,1,11,0.75,0
A34AIVDAXTHCCZ,1,12,0.75,1
A34AIVDAXTHCCZ,1,13,0.65,0
A34AIVDAXTHCCZ,1,14,0.75,1
A34AIVDAXTHCCZ,1,15,0.65,0
A34AIVDAXTHCCZ,1,16,0.75,0
A34AIVDAXTHCCZ,1,17,0.75,0
A34AIVDAXTHCCZ,1,18,0.75,1
A34AIVDAXTHCCZ,1,19,0.65,0
A34AIVDAXTHCCZ,2,0,0.50,1
A34AIVDAXTHCCZ,2,1,0.40,0
A34AIVDAXTHCCZ,2,2,0.70,0
A34AIVDAXTHCCZ,2,3,0.75,1
A34AIVDAXTHCCZ,2,4,0.65,0
A34AIVDAXTHCCZ,2,5,0.75,0
A34AIVDAXTHCCZ,2,6,0.75,0
A34AIVDAXTHCCZ,2,7,0.75,1
A34AIVDAXTHCCZ,2,8,0.65,0
A34AIVDAXTHCCZ,2,9,0.75,0
A34AIVDAXTHCCZ,2,10,0.75,0
A34AIVDAXTHCCZ,2,11,0.75,0
A34AIVDAXTHCCZ,2,12,0.75,0
A34AIVDAXTHCCZ,2,13,0.75,0
A34AIVDAXTHCCZ,2,14,0.75,0
A34AIVDAXTHCCZ,2,15,0.75,1
A34AIVDAXTHCCZ,2,16,0.65,0
A34AIVDAXTHCCZ,2,17,0.75,0
A34AIVDAXTHCCZ,2,18,0.75,1
A34AIVDAXTHCCZ,2,19,0.65,1
A34AIVDAXTHCCZ,3,0,0.50,1
A34AIVDAXTHCCZ,3,1,0.40,1
A34AIVDAXTHCCZ,3,2,0.30,0
A34AIVDAXTHCCZ,3,3,0.60,1
A34AIVDAXTHCCZ,3,4,0.50,0
A34AIVDAXTHCCZ,3,5,0.75,1
A34AIVDAXTHCCZ,3,6,0.65,1
A34AIVDAXTHCCZ,3,7,0.55,1
A34AIVDAXTHCCZ,3,8,0.45,0
A34AIVDAXTHCCZ,3,9,0.75,1
A34AIVDAXTHCCZ,3,10,0.65,1
A34AIVDAXTHCCZ,3,11,0.55,1
A34AIVDAXTHCCZ,3,12,0.45,1
A34AIVDAXTHCCZ,3,13,0.35,1
A34AIVDAXTHCCZ,3,14,0.25,1
A34AIVDAXTHCCZ,3,15,0.15,1
A34AIVDAXTHCCZ,3,16,0.10,0
A34AIVDAXTHCCZ,3,17,0.40,1
A34AIVDAXTHCCZ,3,18,0.30,1
A34AIVDAXTHCCZ,3,19,0.20,1
A34AIVDAXTHCCZ,4,0,0.50,0
A34AIVDAXTHCCZ,4,1,0.75,0
A34AIVDAXTHCCZ,4,2,0.75,0
A34AIVDAXTHCCZ,4,3,0.75,0
A34AIVDAXTHCCZ,4,4,0.75,0
A34AIVDAXTHCCZ,4,5,0.75,0
A34AIVDAXTHCCZ,4,6,0.75,1
A34AIVDAXTHCCZ,4,7,0.65,0
A34AIVDAXTHCCZ,4,8,0.75,0
A34AIVDAXTHCCZ,4,9,0.75,0
A34AIVDAXTHCCZ,4,10,0.75,0
A34AIVDAXTHCCZ,4,11,0.75,0
A34AIVDAXTHCCZ,4,12,0.75,1
A34AIVDAXTHCCZ,4,13,0.65,0
A34AIVDAXTHCCZ,4,14,0.75,0
A34AIVDAXTHCCZ,4,15,0.75,1
A34AIVDAXTHCCZ,4,16,0.65,0
A34AIVDAXTHCCZ,4,17,0.75,0
A34AIVDAXTHCCZ,4,18,0.75,0
A34AIVDAXTHCCZ,4,19,0.75,0
A34AIVDAXTHCCZ,5,0,0.50,0
A34AIVDAXTHCCZ,5,1,0.75,0
A34AIVDAXTHCCZ,5,2,0.75,0
A34AIVDAXTHCCZ,5,3,0.75,0
A34AIVDAXTHCCZ,5,4,0.75,0
A34AIVDAXTHCCZ,5,5,0.75,0
A34AIVDAXTHCCZ,5,6,0.75,0
A34AIVDAXTHCCZ,5,7,0.75,0
A34AIVDAXTHCCZ,5,8,0.75,0
A34AIVDAXTHCCZ,5,9,0.75,1
A34AIVDAXTHCCZ,5,10,0.65,1
A34AIVDAXTHCCZ,5,11,0.55,1
A34AIVDAXTHCCZ,5,12,0.45,1
A34AIVDAXTHCCZ,5,13,0.35,1
A34AIVDAXTHCCZ,5,14,0.25,1
A34AIVDAXTHCCZ,5,15,0.15,1
A34AIVDAXTHCCZ,5,16,0.10,1
A34AIVDAXTHCCZ,5,17,0.10,1
A34AIVDAXTHCCZ,5,18,0.10,1
A34AIVDAXTHCCZ,5,19,0.10,0
A34AIVDAXTHCCZ,0,3,0.75,0
