userName,conditionId,testId,titer,userResult
A3IYP8B8O7X4ZR,0,1,0.75,0
A3IYP8B8O7X4ZR,0,2,0.75,0
A3IYP8B8O7X4ZR,0,3,0.75,1
A3IYP8B8O7X4ZR,0,4,0.65,1
A3IYP8B8O7X4ZR,0,5,0.55,0
A3IYP8B8O7X4ZR,0,6,0.75,1
A3IYP8B8O7X4ZR,0,7,0.65,1
A3IYP8B8O7X4ZR,0,8,0.55,0
A3IYP8B8O7X4ZR,0,9,0.75,1
A3IYP8B8O7X4ZR,0,10,0.65,0
A3IYP8B8O7X4ZR,0,11,0.75,1
A3IYP8B8O7X4ZR,0,12,0.65,0
A3IYP8B8O7X4ZR,0,13,0.75,1
A3IYP8B8O7X4ZR,0,14,0.65,1
A3IYP8B8O7X4ZR,0,15,0.55,0
A3IYP8B8O7X4ZR,0,16,0.75,1
A3IYP8B8O7X4ZR,0,17,0.65,0
A3IYP8B8O7X4ZR,0,18,0.75,1
A3IYP8B8O7X4ZR,0,19,0.65,0
A3IYP8B8O7X4ZR,1,0,0.5,0
A3IYP8B8O7X4ZR,1,1,0.75,1
A3IYP8B8O7X4ZR,1,2,0.65,0
A3IYP8B8O7X4ZR,1,3,0.75,1
A3IYP8B8O7X4ZR,1,4,0.65,0
A3IYP8B8O7X4ZR,1,5,0.75,0
A3IYP8B8O7X4ZR,1,6,0.75,1
A3IYP8B8O7X4ZR,1,7,0.65,1
A3IYP8B8O7X4ZR,1,8,0.55,0
A3IYP8B8O7X4ZR,1,9,0.75,1
A3IYP8B8O7X4ZR,1,10,0.65,0
A3IYP8B8O7X4ZR,1,11,0.75,1
A3IYP8B8O7X4ZR,1,12,0.65,1
A3IYP8B8O7X4ZR,1,13,0.55,0
A3IYP8B8O7X4ZR,1,14,0.75,1
A3IYP8B8O7X4ZR,1,15,0.65,1
A3IYP8B8O7X4ZR,1,16,0.55,0
A3IYP8B8O7X4ZR,1,17,0.75,1
A3IYP8B8O7X4ZR,1,18,0.65,0
A3IYP8B8O7X4ZR,1,19,0.75,0
A3IYP8B8O7X4ZR,2,0,0.5,0
A3IYP8B8O7X4ZR,2,1,0.75,0
A3IYP8B8O7X4ZR,2,2,0.75,0
A3IYP8B8O7X4ZR,2,3,0.75,0
A3IYP8B8O7X4ZR,2,4,0.75,1
A3IYP8B8O7X4ZR,2,5,0.65,0
A3IYP8B8O7X4ZR,2,6,0.75,1
A3IYP8B8O7X4ZR,2,7,0.65,0
A3IYP8B8O7X4ZR,2,8,0.75,1
A3IYP8B8O7X4ZR,2,9,0.65,1
A3IYP8B8O7X4ZR,2,10,0.55,0
A3IYP8B8O7X4ZR,2,11,0.75,1
A3IYP8B8O7X4ZR,2,12,0.65,1
A3IYP8B8O7X4ZR,2,13,0.55,0
A3IYP8B8O7X4ZR,2,14,0.75,0
A3IYP8B8O7X4ZR,2,15,0.75,1
A3IYP8B8O7X4ZR,2,16,0.65,1
A3IYP8B8O7X4ZR,2,17,0.55,0
A3IYP8B8O7X4ZR,2,18,0.75,1
A3IYP8B8O7X4ZR,2,19,0.65,1
A3IYP8B8O7X4ZR,3,0,0.5,0
A3IYP8B8O7X4ZR,3,1,0.75,1
A3IYP8B8O7X4ZR,3,2,0.65,0
A3IYP8B8O7X4ZR,3,3,0.75,0
A3IYP8B8O7X4ZR,3,4,0.75,1
A3IYP8B8O7X4ZR,3,5,0.65,0
A3IYP8B8O7X4ZR,3,6,0.75,0
A3IYP8B8O7X4ZR,3,7,0.75,0
A3IYP8B8O7X4ZR,3,8,0.75,0
A3IYP8B8O7X4ZR,3,9,0.75,0
A3IYP8B8O7X4ZR,3,10,0.75,1
A3IYP8B8O7X4ZR,3,11,0.65,0
A3IYP8B8O7X4ZR,3,12,0.75,0
A3IYP8B8O7X4ZR,3,13,0.75,1
A3IYP8B8O7X4ZR,3,14,0.65,1
A3IYP8B8O7X4ZR,3,15,0.55,0
A3IYP8B8O7X4ZR,3,16,0.75,0
A3IYP8B8O7X4ZR,3,17,0.75,1
A3IYP8B8O7X4ZR,3,18,0.65,0
A3IYP8B8O7X4ZR,3,19,0.75,1
A3IYP8B8O7X4ZR,4,0,0.5,0
A3IYP8B8O7X4ZR,4,1,0.75,1
A3IYP8B8O7X4ZR,4,2,0.65,0
A3IYP8B8O7X4ZR,4,3,0.75,1
A3IYP8B8O7X4ZR,4,4,0.65,0
A3IYP8B8O7X4ZR,4,5,0.75,1
A3IYP8B8O7X4ZR,4,6,0.65,0
A3IYP8B8O7X4ZR,4,7,0.75,0
A3IYP8B8O7X4ZR,4,8,0.75,1
A3IYP8B8O7X4ZR,4,9,0.65,0
A3IYP8B8O7X4ZR,4,10,0.75,1
A3IYP8B8O7X4ZR,4,11,0.65,1
A3IYP8B8O7X4ZR,4,12,0.55,0
A3IYP8B8O7X4ZR,4,13,0.75,1
A3IYP8B8O7X4ZR,4,14,0.65,0
A3IYP8B8O7X4ZR,4,15,0.75,1
A3IYP8B8O7X4ZR,4,16,0.65,1
A3IYP8B8O7X4ZR,4,17,0.55,0
A3IYP8B8O7X4ZR,4,18,0.75,1
A3IYP8B8O7X4ZR,4,19,0.65,0
A3IYP8B8O7X4ZR,5,0,0.5,1
A3IYP8B8O7X4ZR,5,1,0.4,0
A3IYP8B8O7X4ZR,5,2,0.7,1
A3IYP8B8O7X4ZR,5,3,0.6,0
A3IYP8B8O7X4ZR,5,4,0.75,0
A3IYP8B8O7X4ZR,5,5,0.75,1
A3IYP8B8O7X4ZR,5,6,0.65,1
A3IYP8B8O7X4ZR,5,7,0.55,1
A3IYP8B8O7X4ZR,5,8,0.45,0
A3IYP8B8O7X4ZR,0,0,0.5,0
A3IYP8B8O7X4ZR,5,10,0.65,1
A3IYP8B8O7X4ZR,5,11,0.55,1
A3IYP8B8O7X4ZR,5,12,0.45,1
A3IYP8B8O7X4ZR,5,13,0.35,1
A3IYP8B8O7X4ZR,5,14,0.25,0
A3IYP8B8O7X4ZR,5,15,0.55,0
A3IYP8B8O7X4ZR,5,16,0.75,1
A3IYP8B8O7X4ZR,5,17,0.65,0
A3IYP8B8O7X4ZR,5,18,0.75,1
A3IYP8B8O7X4ZR,5,19,0.65,1
A3IYP8B8O7X4ZR,5,9,0.75,1
