userName,conditionId,testId,titer,userResult
ADWDNBND4BW94,0,1,0.4,1
ADWDNBND4BW94,0,0,0.5,1
ADWDNBND4BW94,0,2,0.3,1
ADWDNBND4BW94,0,3,0.2,0
ADWDNBND4BW94,0,5,0.4,1
ADWDNBND4BW94,0,6,0.3,0
ADWDNBND4BW94,0,7,0.6,1
ADWDNBND4BW94,0,8,0.5,1
ADWDNBND4BW94,0,9,0.4,1
ADWDNBND4BW94,0,10,0.3,0
ADWDNBND4BW94,0,11,0.6,0
ADWDNBND4BW94,0,12,0.75,0
ADWDNBND4BW94,0,13,0.75,1
ADWDNBND4BW94,0,14,0.65,0
ADWDNBND4BW94,0,15,0.75,0
ADWDNBND4BW94,0,16,0.75,0
ADWDNBND4BW94,0,17,0.75,1
ADWDNBND4BW94,0,18,0.65,0
ADWDNBND4BW94,0,19,0.75,1
ADWDNBND4BW94,1,0,0.5,1
ADWDNBND4BW94,1,1,0.4,0
ADWDNBND4BW94,1,2,0.7,1
ADWDNBND4BW94,1,3,0.6,1
ADWDNBND4BW94,1,4,0.5,1
ADWDNBND4BW94,1,5,0.4,1
ADWDNBND4BW94,1,6,0.3,1
ADWDNBND4BW94,1,7,0.2,1
ADWDNBND4BW94,1,8,0.1,0
ADWDNBND4BW94,1,9,0.4,1
ADWDNBND4BW94,1,10,0.3,0
ADWDNBND4BW94,1,11,0.6,0
ADWDNBND4BW94,1,12,0.75,1
ADWDNBND4BW94,1,13,0.65,0
ADWDNBND4BW94,1,14,0.75,1
ADWDNBND4BW94,1,15,0.65,1
ADWDNBND4BW94,1,16,0.55,0
ADWDNBND4BW94,1,17,0.75,1
ADWDNBND4BW94,1,18,0.65,0
ADWDNBND4BW94,1,19,0.75,1
ADWDNBND4BW94,2,0,0.5,1
ADWDNBND4BW94,2,1,0.4,0
ADWDNBND4BW94,2,2,0.7,0
ADWDNBND4BW94,2,3,0.75,1
ADWDNBND4BW94,2,4,0.65,0
ADWDNBND4BW94,2,5,0.75,1
ADWDNBND4BW94,2,6,0.65,1
ADWDNBND4BW94,2,7,0.55,1
ADWDNBND4BW94,2,8,0.45,1
ADWDNBND4BW94,2,9,0.35,0
ADWDNBND4BW94,2,10,0.65,1
ADWDNBND4BW94,2,11,0.55,1
ADWDNBND4BW94,2,12,0.45,0
ADWDNBND4BW94,2,13,0.75,1
ADWDNBND4BW94,2,14,0.65,1
ADWDNBND4BW94,2,15,0.55,1
ADWDNBND4BW94,2,16,0.45,1
ADWDNBND4BW94,2,17,0.35,0
ADWDNBND4BW94,2,18,0.65,1
ADWDNBND4BW94,2,19,0.55,1
ADWDNBND4BW94,3,0,0.5,1
ADWDNBND4BW94,3,1,0.4,0
ADWDNBND4BW94,3,2,0.7,1
ADWDNBND4BW94,3,3,0.6,0
ADWDNBND4BW94,3,4,0.75,1
ADWDNBND4BW94,3,5,0.65,1
ADWDNBND4BW94,3,6,0.55,1
ADWDNBND4BW94,3,7,0.45,0
ADWDNBND4BW94,3,8,0.75,1
ADWDNBND4BW94,3,9,0.65,1
ADWDNBND4BW94,3,10,0.55,1
ADWDNBND4BW94,3,11,0.45,1
ADWDNBND4BW94,3,12,0.35,1
ADWDNBND4BW94,3,13,0.25,0
ADWDNBND4BW94,3,14,0.55,1
ADWDNBND4BW94,3,15,0.45,1
ADWDNBND4BW94,3,16,0.35,0
ADWDNBND4BW94,3,17,0.65,1
ADWDNBND4BW94,3,18,0.55,1
ADWDNBND4BW94,3,19,0.45,0
ADWDNBND4BW94,4,0,0.5,1
ADWDNBND4BW94,4,1,0.4,1
ADWDNBND4BW94,4,2,0.3,0
ADWDNBND4BW94,4,3,0.6,0
ADWDNBND4BW94,4,4,0.75,1
ADWDNBND4BW94,4,5,0.65,0
ADWDNBND4BW94,4,6,0.75,1
ADWDNBND4BW94,4,7,0.65,1
ADWDNBND4BW94,4,8,0.55,0
ADWDNBND4BW94,4,9,0.75,1
ADWDNBND4BW94,4,10,0.65,1
ADWDNBND4BW94,4,11,0.55,1
ADWDNBND4BW94,4,12,0.45,0
ADWDNBND4BW94,4,13,0.75,1
ADWDNBND4BW94,4,14,0.65,1
ADWDNBND4BW94,4,15,0.55,0
ADWDNBND4BW94,4,16,0.75,1
ADWDNBND4BW94,4,17,0.65,1
ADWDNBND4BW94,4,18,0.55,1
ADWDNBND4BW94,4,19,0.45,0
ADWDNBND4BW94,5,0,0.5,0
ADWDNBND4BW94,5,1,0.75,1
ADWDNBND4BW94,5,2,0.65,0
ADWDNBND4BW94,5,3,0.75,1
ADWDNBND4BW94,5,4,0.65,1
ADWDNBND4BW94,5,5,0.55,1
ADWDNBND4BW94,5,6,0.45,1
ADWDNBND4BW94,5,7,0.35,1
ADWDNBND4BW94,5,8,0.25,0
ADWDNBND4BW94,5,9,0.55,1
ADWDNBND4BW94,5,10,0.45,1
ADWDNBND4BW94,0,4,0.5,1
ADWDNBND4BW94,5,12,0.25,1
ADWDNBND4BW94,5,13,0.15,0
ADWDNBND4BW94,5,14,0.45,0
ADWDNBND4BW94,5,15,0.75,1
ADWDNBND4BW94,5,16,0.65,1
ADWDNBND4BW94,5,17,0.55,1
ADWDNBND4BW94,5,18,0.45,1
ADWDNBND4BW94,5,19,0.35,0
ADWDNBND4BW94,5,11,0.35,1
