userName,conditionId,testId,titer,userResult
AQJQK5FBJ7I5L,0,0,0.5,0
AQJQK5FBJ7I5L,0,1,0.75,1
AQJQK5FBJ7I5L,0,2,0.65,1
AQJQK5FBJ7I5L,0,3,0.55,0
AQJQK5FBJ7I5L,0,4,0.75,1
AQJQK5FBJ7I5L,0,5,0.65,0
AQJQK5FBJ7I5L,0,6,0.75,1
AQJQK5FBJ7I5L,0,7,0.65,0
AQJQK5FBJ7I5L,0,8,0.75,1
AQJQK5FBJ7I5L,0,9,0.65,0
AQJQK5FBJ7I5L,0,10,0.75,1
AQJQK5FBJ7I5L,0,11,0.65,1
AQJQK5FBJ7I5L,0,12,0.55,0
AQJQK5FBJ7I5L,0,13,0.75,1
AQJQK5FBJ7I5L,0,14,0.65,1
AQJQK5FBJ7I5L,0,15,0.55,0
AQJQK5FBJ7I5L,0,16,0.75,0
AQJQK5FBJ7I5L,0,17,0.75,0
AQJQK5FBJ7I5L,0,18,0.75,0
AQJQK5FBJ7I5L,0,19,0.75,0
AQJQK5FBJ7I5L,1,0,0.5,0
AQJQK5FBJ7I5L,1,1,0.75,1
AQJQK5FBJ7I5L,1,2,0.65,1
AQJQK5FBJ7I5L,1,3,0.55,0
AQJQK5FBJ7I5L,1,4,0.75,1
AQJQK5FBJ7I5L,1,5,0.65,0
AQJQK5FBJ7I5L,1,6,0.75,1
AQJQK5FBJ7I5L,1,7,0.65,1
AQJQK5FBJ7I5L,1,8,0.55,0
AQJQK5FBJ7I5L,1,9,0.75,1
AQJQK5FBJ7I5L,1,10,0.65,1
AQJQK5FBJ7I5L,1,11,0.55,0
AQJQK5FBJ7I5L,1,12,0.75,0
AQJQK5FBJ7I5L,1,13,0.75,1
AQJQK5FBJ7I5L,1,14,0.65,0
AQJQK5FBJ7I5L,1,15,0.75,0
AQJQK5FBJ7I5L,1,16,0.75,1
AQJQK5FBJ7I5L,1,17,0.65,0
AQJQK5FBJ7I5L,1,18,0.75,1
AQJQK5FBJ7I5L,1,19,0.65,1
AQJQK5FBJ7I5L,2,0,0.5,0
AQJQK5FBJ7I5L,2,1,0.75,1
AQJQK5FBJ7I5L,2,2,0.65,1
AQJQK5FBJ7I5L,2,3,0.55,0
AQJQK5FBJ7I5L,2,4,0.75,1
AQJQK5FBJ7I5L,2,5,0.65,1
AQJQK5FBJ7I5L,2,6,0.55,0
AQJQK5FBJ7I5L,2,7,0.75,1
AQJQK5FBJ7I5L,2,8,0.65,0
AQJQK5FBJ7I5L,2,9,0.75,1
AQJQK5FBJ7I5L,2,10,0.65,1
AQJQK5FBJ7I5L,2,11,0.55,1
AQJQK5FBJ7I5L,2,12,0.45,0
AQJQK5FBJ7I5L,2,13,0.75,1
AQJQK5FBJ7I5L,2,14,0.65,1
AQJQK5FBJ7I5L,2,15,0.55,1
AQJQK5FBJ7I5L,2,16,0.45,1
AQJQK5FBJ7I5L,2,17,0.35,0
AQJQK5FBJ7I5L,2,18,0.65,1
AQJQK5FBJ7I5L,2,19,0.55,0
AQJQK5FBJ7I5L,3,0,0.5,1
AQJQK5FBJ7I5L,3,1,0.4,0
AQJQK5FBJ7I5L,3,2,0.7,0
AQJQK5FBJ7I5L,3,3,0.75,1
AQJQK5FBJ7I5L,3,4,0.65,1
AQJQK5FBJ7I5L,3,5,0.55,1
AQJQK5FBJ7I5L,3,6,0.45,0
AQJQK5FBJ7I5L,3,7,0.75,1
AQJQK5FBJ7I5L,3,8,0.65,1
AQJQK5FBJ7I5L,3,9,0.55,1
AQJQK5FBJ7I5L,3,10,0.45,1
AQJQK5FBJ7I5L,3,11,0.35,1
AQJQK5FBJ7I5L,3,12,0.25,1
AQJQK5FBJ7I5L,3,13,0.15,1
AQJQK5FBJ7I5L,3,14,0.1,1
AQJQK5FBJ7I5L,3,15,0.1,0
AQJQK5FBJ7I5L,3,16,0.4,1
AQJQK5FBJ7I5L,3,17,0.3,1
