userName,conditionId,testId,titer,userResult
AW5O1RK3W60FC,0,1,0.75,1
AW5O1RK3W60FC,0,0,0.50,0
AW5O1RK3W60FC,0,3,0.55,0
AW5O1RK3W60FC,0,2,0.65,1
AW5O1RK3W60FC,0,4,0.75,1
AW5O1RK3W60FC,0,5,0.65,1
AW5O1RK3W60FC,0,6,0.55,1
AW5O1RK3W60FC,0,7,0.45,1
AW5O1RK3W60FC,0,8,0.35,1
AW5O1RK3W60FC,0,9,0.25,0
AW5O1RK3W60FC,0,10,0.55,1
AW5O1RK3W60FC,0,11,0.45,1
AW5O1RK3W60FC,0,12,0.35,0
AW5O1RK3W60FC,0,13,0.65,1
AW5O1RK3W60FC,0,14,0.55,1
AW5O1RK3W60FC,0,15,0.45,0
AW5O1RK3W60FC,0,16,0.75,1
AW5O1RK3W60FC,0,17,0.65,1
AW5O1RK3W60FC,0,18,0.55,0
AW5O1RK3W60FC,0,19,0.75,1
AW5O1RK3W60FC,1,0,0.50,0
AW5O1RK3W60FC,1,1,0.75,1
AW5O1RK3W60FC,1,2,0.65,1
AW5O1RK3W60FC,1,3,0.55,0
AW5O1RK3W60FC,1,4,0.75,0
AW5O1RK3W60FC,1,5,0.75,0
AW5O1RK3W60FC,1,6,0.75,1
AW5O1RK3W60FC,1,7,0.65,1
AW5O1RK3W60FC,1,8,0.55,0
AW5O1RK3W60FC,1,9,0.75,1
AW5O1RK3W60FC,1,10,0.65,1
AW5O1RK3W60FC,1,11,0.55,1
AW5O1RK3W60FC,1,12,0.45,1
AW5O1RK3W60FC,1,13,0.35,0
AW5O1RK3W60FC,1,14,0.65,0
AW5O1RK3W60FC,1,16,0.65,0
AW5O1RK3W60FC,1,17,0.75,1
AW5O1RK3W60FC,1,15,0.75,1
AW5O1RK3W60FC,1,18,0.65,0
AW5O1RK3W60FC,1,19,0.75,0
AW5O1RK3W60FC,2,0,0.50,0
AW5O1RK3W60FC,2,1,0.75,1
AW5O1RK3W60FC,2,2,0.65,1
AW5O1RK3W60FC,2,3,0.55,1
AW5O1RK3W60FC,2,4,0.45,1
AW5O1RK3W60FC,2,5,0.35,1
AW5O1RK3W60FC,2,6,0.25,0
AW5O1RK3W60FC,2,7,0.55,1
AW5O1RK3W60FC,2,8,0.45,1
AW5O1RK3W60FC,2,9,0.35,1
AW5O1RK3W60FC,2,10,0.25,0
AW5O1RK3W60FC,2,11,0.55,1
AW5O1RK3W60FC,2,12,0.45,1
AW5O1RK3W60FC,2,13,0.35,1
AW5O1RK3W60FC,2,14,0.25,0
AW5O1RK3W60FC,2,15,0.55,0
AW5O1RK3W60FC,2,16,0.75,1
AW5O1RK3W60FC,2,17,0.65,1
AW5O1RK3W60FC,2,18,0.55,1
AW5O1RK3W60FC,2,19,0.45,0
AW5O1RK3W60FC,3,0,0.50,1
AW5O1RK3W60FC,3,1,0.40,1
AW5O1RK3W60FC,3,2,0.30,1
AW5O1RK3W60FC,3,3,0.20,0
AW5O1RK3W60FC,3,4,0.50,0
AW5O1RK3W60FC,3,5,0.75,1
AW5O1RK3W60FC,3,6,0.65,1
AW5O1RK3W60FC,3,7,0.55,0
AW5O1RK3W60FC,3,8,0.75,1
AW5O1RK3W60FC,3,9,0.65,1
AW5O1RK3W60FC,3,10,0.55,1
AW5O1RK3W60FC,3,11,0.45,1
AW5O1RK3W60FC,3,12,0.35,0
AW5O1RK3W60FC,3,13,0.65,0
AW5O1RK3W60FC,3,14,0.75,1
AW5O1RK3W60FC,3,15,0.65,0
AW5O1RK3W60FC,3,16,0.75,1
AW5O1RK3W60FC,3,17,0.65,1
AW5O1RK3W60FC,3,18,0.55,1
AW5O1RK3W60FC,3,19,0.45,0
AW5O1RK3W60FC,4,0,0.50,1
AW5O1RK3W60FC,4,1,0.40,0
AW5O1RK3W60FC,4,2,0.70,0
AW5O1RK3W60FC,4,3,0.75,1
AW5O1RK3W60FC,4,4,0.65,0
AW5O1RK3W60FC,4,5,0.75,1
AW5O1RK3W60FC,4,6,0.65,1
AW5O1RK3W60FC,4,7,0.55,0
AW5O1RK3W60FC,4,8,0.75,0
AW5O1RK3W60FC,4,9,0.75,0
AW5O1RK3W60FC,4,10,0.75,0
AW5O1RK3W60FC,4,11,0.75,1
AW5O1RK3W60FC,4,12,0.65,1
AW5O1RK3W60FC,4,13,0.55,1
AW5O1RK3W60FC,4,14,0.45,0
AW5O1RK3W60FC,4,15,0.75,1
AW5O1RK3W60FC,4,16,0.65,1
AW5O1RK3W60FC,4,17,0.55,0
AW5O1RK3W60FC,4,18,0.75,1
AW5O1RK3W60FC,4,19,0.65,1
AW5O1RK3W60FC,5,0,0.50,0
AW5O1RK3W60FC,5,1,0.75,0
AW5O1RK3W60FC,5,2,0.75,0
AW5O1RK3W60FC,5,3,0.75,0
AW5O1RK3W60FC,5,4,0.75,1
AW5O1RK3W60FC,5,5,0.65,1
AW5O1RK3W60FC,5,6,0.55,0
AW5O1RK3W60FC,5,7,0.75,1
AW5O1RK3W60FC,5,8,0.65,0
AW5O1RK3W60FC,5,9,0.75,1
AW5O1RK3W60FC,5,10,0.65,1
AW5O1RK3W60FC,5,11,0.55,1
AW5O1RK3W60FC,5,12,0.45,1
AW5O1RK3W60FC,5,13,0.35,0
AW5O1RK3W60FC,5,14,0.65,1
AW5O1RK3W60FC,5,15,0.55,1
AW5O1RK3W60FC,5,16,0.45,1
AW5O1RK3W60FC,5,17,0.35,1
AW5O1RK3W60FC,5,18,0.25,1
AW5O1RK3W60FC,5,19,0.15,1
