userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A5ILXLVXSJRG1,0,0,2,pos,4-3,small&sparse-small&dense,6.00-7.47,1,3-4,15.828
A5ILXLVXSJRG1,27,3,1,num,5,small&sparse,15.11,1,5,18.377
A5ILXLVXSJRG1,12,0,0,pos,6,large&dense,12.17,1,6,14.562
A5ILXLVXSJRG1,21,3,2,num,1,small&sparse,5.24,1,1,7.496
A5ILXLVXSJRG1,21,3,2,num,1,small&sparse,5.24,1,1,7.514
A5ILXLVXSJRG1,29,5,1,num,4,small&sparse,12.03,1,4,16.201
A5ILXLVXSJRG1,15,3,0,pos,7,small&sparse,18.50,1,7,20.557
A5ILXLVXSJRG1,60,-1,2,center position,5,small&dense,11.61,1,5,13.775
A5ILXLVXSJRG1,34,4,0,num,6-5-4,small&sparse-large&dense-0,16.89-23.14-13.33,0,5-7-6,60
A5ILXLVXSJRG1,1,1,2,pos,2,small&sparse,9.03,1,2,10.804
A5ILXLVXSJRG1,20,2,2,num,4-6,small&dense-0,9.46-22.63,0,4-7,37.038
A5ILXLVXSJRG1,7,1,1,pos,3-5-7,large&sparse-small&sparse-small&sparse,10.12-13.40-5.58,1,5-3-7,41.512
A5ILXLVXSJRG1,5,5,2,pos,0-3,large&dense-small&sparse,13.14-4.40,1,0-3,19.114
A5ILXLVXSJRG1,10,4,1,pos,7-3,small&dense-large&dense,6.10-4.26,1,7-3,12.65
A5ILXLVXSJRG1,13,1,0,pos,5-7-0,large&dense-0-large&sparse,2.50-11.11-7.30,0,3-5-0,23.419
A5ILXLVXSJRG1,14,2,0,pos,7-5-6,large&dense-large&dense-small&sparse,7.84-6.12-3.78,1,6-5-7,19.596
A5ILXLVXSJRG1,32,-1,2,shape,4,large&dense,14.36,1,4,20.296
A5ILXLVXSJRG1,22,4,2,num,0-7,large&sparse-small&sparse,8.03-40.73,1,0-7,50.896
A5ILXLVXSJRG1,62,-1,2,center position,4,large&dense,5.84,1,4,7.903
A5ILXLVXSJRG1,23,5,2,num,0-6-3,large&dense-large&dense-small&sparse,4.93-3.24-2.47,1,3-6-0,12.581
A5ILXLVXSJRG1,17,5,0,pos,0-4,small&dense-0,13.21-29.15,0,0-5,44.948
A5ILXLVXSJRG1,8,2,1,pos,1-6,large&dense-large&sparse,7.58-5.92,1,1-6,16.349
A5ILXLVXSJRG1,35,5,0,num,5-0-1,large&sparse-small&sparse-0,12.14-19.84-4.58,0,6-5-0,38.835
A5ILXLVXSJRG1,3,3,2,pos,7,small&sparse,12.45,1,7,14.211
A5ILXLVXSJRG1,33,3,0,num,5,small&sparse,6.89,1,5,8.423
A5ILXLVXSJRG1,9,3,1,pos,1,small&dense,4.56,1,1,6.11
A5ILXLVXSJRG1,4,4,2,pos,0-2-6,small&dense-small&dense-small&sparse,4.27-3.48-2.03,1,0-2-6,11.777
A5ILXLVXSJRG1,3,-1,2,point number,1,large&dense,11.55,1,1,13.441
A5ILXLVXSJRG1,6,0,1,pos,2,small&dense,9.35,1,2,16.932
A5ILXLVXSJRG1,28,4,1,num,0-2-6,small&dense-small&sparse-0,4.11-2.31-13.11,0,0-2-5,21.46
A5ILXLVXSJRG1,18,0,2,num,7-5-6,small&dense-small&sparse-0,7.37-5.07-11.73,0,7-2-5,25.93
A5ILXLVXSJRG1,18,0,2,num,7-5-6,small&dense-small&sparse-0,7.37-5.07-11.73,0,7-2-5,25.938
A5ILXLVXSJRG1,11,5,1,pos,6-0-1,small&dense-large&sparse-small&dense,3.35-4.16-3.55,1,6-1-0,12.911
A5ILXLVXSJRG1,30,0,0,num,5-0,small&dense-small&dense,7.99-19.30,1,5-0,31.476
A5ILXLVXSJRG1,19,1,2,num,3,small&dense,15.56,1,3,17.486
A5ILXLVXSJRG1,25,1,1,num,0-1,large&sparse-small&sparse,6.01-13.04,1,1-0,20.911
A5ILXLVXSJRG1,31,1,0,num,6-5,large&sparse-large&dense,17.41-16.95,1,6-5,37.489
A5ILXLVXSJRG1,32,2,0,num,7,small&sparse,4.80,1,7,6.589
A5ILXLVXSJRG1,16,4,0,pos,1-0,small&sparse-small&dense,9.20-27.90,1,1-0,41.525
A5ILXLVXSJRG1,2,2,2,pos,5-6-4,small&dense-small&sparse-large&sparse,6.39-5.05-4.86,1,5-4-6,19.666
A5ILXLVXSJRG1,26,2,1,num,4-3-6,small&dense-small&sparse-large&sparse,5.31-1.98-6.08,1,3-4-6,15.465
A5ILXLVXSJRG1,24,0,1,num,6-2,small&sparse-small&dense,9.52-3.18,1,2-6,14.405
