userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A2AKJ3UD69QC5K,0,1,2,pos,3-4,small&dense-small&sparse,9.13-12.46,1,3-4,25.052
A2AKJ3UD69QC5K,27,4,1,num,5,small&sparse,52.71,1,5,56.146
A2AKJ3UD69QC5K,12,1,0,pos,5,0,12.16,0,6,16.948
A2AKJ3UD69QC5K,21,4,2,num,1,small&sparse,9.33,1,1,12.006
A2AKJ3UD69QC5K,29,0,1,num,4,small&sparse,23.36,1,4,26.925
A2AKJ3UD69QC5K,15,4,0,pos,7,small&sparse,6.73,1,7,10.447
A2AKJ3UD69QC5K,60,-1,2,center position,5,small&dense,9.36,1,5,12.874
A2AKJ3UD69QC5K,34,5,0,num,6-7,small&sparse-large&dense,17.81-18.57,0,5-7-6,60
A2AKJ3UD69QC5K,1,2,2,pos,2,small&sparse,10.86,1,2,13.576
A2AKJ3UD69QC5K,20,3,2,num,7-1,large&dense-0,23.43-4.45,0,4-7,32.188
A2AKJ3UD69QC5K,7,2,1,pos,5-3-6,small&sparse-large&sparse-0,5.23-4.86-26.73,0,5-3-7,39.789
A2AKJ3UD69QC5K,5,0,2,pos,0-3,large&dense-small&sparse,3.34-4.38,1,0-3,10.48
A2AKJ3UD69QC5K,10,5,1,pos,7-6,small&dense-0,4.50-1.86,0,7-3,8.723
A2AKJ3UD69QC5K,13,2,0,pos,0-3-2,large&sparse-small&dense-0,6.67-5.17-9.51,0,3-5-0,44.598
A2AKJ3UD69QC5K,14,3,0,pos,7-1-6,large&dense-0-small&sparse,4.76-1.91-3.57,0,6-5-7,12.32
A2AKJ3UD69QC5K,32,-1,2,shape,4,large&dense,12.31,1,4,14.593
A2AKJ3UD69QC5K,22,5,2,num,0-7,large&sparse-small&sparse,21.80-20.22,1,0-7,44.588
A2AKJ3UD69QC5K,62,-1,2,center position,4,large&dense,3.51,1,4,5.861
A2AKJ3UD69QC5K,23,0,2,num,0-6-3,large&dense-large&dense-small&sparse,3.23-4.49-5.88,1,3-6-0,24.414
A2AKJ3UD69QC5K,17,0,0,pos,5-6,small&sparse-0,9.47-10.80,0,0-5,31.444
A2AKJ3UD69QC5K,8,3,1,pos,6-1,large&sparse-large&dense,9.88-1.86,1,1-6,28.09
A2AKJ3UD69QC5K,35,0,0,num,5-4-0,large&sparse-0-small&sparse,12.89-6.59-10.87,0,6-5-0,33.427
A2AKJ3UD69QC5K,3,4,2,pos,7,small&sparse,4.07,1,7,10.503
A2AKJ3UD69QC5K,33,4,0,num,5,small&sparse,5.21,1,5,7.532
A2AKJ3UD69QC5K,9,4,1,pos,1,small&dense,3.44,1,1,7.222
A2AKJ3UD69QC5K,4,5,2,pos,0-6-2,small&dense-small&sparse-small&dense,2.30-2.22-8.26,1,0-2-6,17.864
A2AKJ3UD69QC5K,3,-1,2,point number,1,large&dense,6.33,1,1,26.692
A2AKJ3UD69QC5K,6,1,1,pos,2,small&dense,3.81,1,2,7.523
A2AKJ3UD69QC5K,28,5,1,num,0-6-2,small&dense-0-small&sparse,3.87-8.36-20.25,0,0-2-5,35.063
A2AKJ3UD69QC5K,18,1,2,num,2-7-5,small&dense-small&dense-small&sparse,6.84-2.27-9.85,1,7-2-5,21.192
A2AKJ3UD69QC5K,11,0,1,pos,6-3-1,small&dense-0-small&dense,3.24-5.70-9.30,0,6-1-0,20.819
A2AKJ3UD69QC5K,30,1,0,num,7-1,0-0,39.98-5.39,0,5-0,48.195
A2AKJ3UD69QC5K,19,2,2,num,3,small&dense,5.11,1,3,8.542
A2AKJ3UD69QC5K,25,2,1,num,5-1,0-small&sparse,7.74-3.25,0,1-0,13.315
A2AKJ3UD69QC5K,31,2,0,num,6-1,large&sparse-0,3.37-7.75,0,6-5,13.424
A2AKJ3UD69QC5K,32,3,0,num,5,0,8.65,0,7,11.978
A2AKJ3UD69QC5K,16,5,0,pos,0-1,small&dense-small&sparse,2.29-7.89,1,1-0,12.617
A2AKJ3UD69QC5K,2,3,2,pos,5-4-6,small&dense-large&sparse-small&sparse,4.44-4.41-7.56,1,5-4-6,25.016
A2AKJ3UD69QC5K,26,3,1,num,4-6-1,small&dense-large&sparse-0,6.22-3.15-16.66,0,3-4-6,29.783
A2AKJ3UD69QC5K,24,1,1,num,2-6,small&dense-small&sparse,4.14-20.64,1,2-6,28.168
