userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
AS1ZGA84IM7JD,0,1,2,pos,3-4,small&dense-small&sparse,17.14-2.75,1,3-4,21.469
AS1ZGA84IM7JD,27,4,1,num,5,small&sparse,20.01,1,5,22.576
AS1ZGA84IM7JD,12,1,0,pos,6,large&dense,6.33,1,6,35.757
AS1ZGA84IM7JD,21,4,2,num,1,small&sparse,12.40,1,1,13.903
AS1ZGA84IM7JD,29,0,1,num,4,small&sparse,26.41,1,4,28.473
AS1ZGA84IM7JD,15,4,0,pos,7,small&sparse,23.32,1,7,24.612
AS1ZGA84IM7JD,60,-1,2,center position,5,small&dense,7.60,1,5,8.76
AS1ZGA84IM7JD,34,5,0,num,,0,,0,5-7-6,60
AS1ZGA84IM7JD,1,2,2,pos,2,small&sparse,16.57,1,2,18.282
AS1ZGA84IM7JD,20,3,2,num,4-7,small&dense-large&dense,9.30-2.49,1,4-7,13.158
AS1ZGA84IM7JD,7,2,1,pos,3-7-6,large&sparse-small&sparse-0,3.34-16.31-30.52,0,5-3-7,51.58
AS1ZGA84IM7JD,5,0,2,pos,0-3,large&dense-small&sparse,11.85-8.81,1,0-3,22.675
AS1ZGA84IM7JD,10,5,1,pos,3-7,large&dense-small&dense,2.89-2.62,1,7-3,8.363
AS1ZGA84IM7JD,13,2,0,pos,0-5-3,large&sparse-large&dense-small&dense,3.44-8.50-5.89,1,3-5-0,19.407
AS1ZGA84IM7JD,14,3,0,pos,7-5-0,large&dense-large&dense-0,5.06-5.90-16.21,0,6-5-7,29.11
AS1ZGA84IM7JD,32,-1,2,shape,4,large&dense,20.26,1,4,21.835
AS1ZGA84IM7JD,22,5,2,num,0-6,large&sparse-0,28.07-18.02,0,0-7,54.676
AS1ZGA84IM7JD,62,-1,2,center position,4,large&dense,8.87,1,4,35.403
AS1ZGA84IM7JD,23,0,2,num,0-7-1,large&dense-0-0,6.88-18.82-20.62,0,3-6-0,47.899
AS1ZGA84IM7JD,17,0,0,pos,0-5,small&dense-small&sparse,24.87-19.22,1,0-5,45.537
AS1ZGA84IM7JD,8,3,1,pos,6-1,large&sparse-large&dense,4.78-6.65,1,1-6,12.645
AS1ZGA84IM7JD,35,0,0,num,5-6-2,large&sparse-small&dense-0,3.50-45.62-4.83,0,6-5-0,55.475
AS1ZGA84IM7JD,3,4,2,pos,7,small&sparse,1.41,1,7,24.627
AS1ZGA84IM7JD,33,4,0,num,5,small&sparse,28.79,1,5,40.432
AS1ZGA84IM7JD,9,4,1,pos,1,small&dense,3.90,1,1,5.531
AS1ZGA84IM7JD,4,5,2,pos,0-2-6,small&dense-small&dense-small&sparse,4.00-1.75-3.13,1,0-2-6,9.904
AS1ZGA84IM7JD,3,-1,2,point number,1,large&dense,14.54,1,1,15.909
AS1ZGA84IM7JD,6,1,1,pos,2,small&dense,34.51,1,2,37.512
AS1ZGA84IM7JD,28,5,1,num,0-2-4,small&dense-small&sparse-0,11.66-1.14-19.50,0,0-2-5,33.502
AS1ZGA84IM7JD,18,1,2,num,5-2-7,small&sparse-small&dense-small&dense,13.93-2.85-1.72,1,7-2-5,20.042
AS1ZGA84IM7JD,11,0,1,pos,5-6-3,0-small&dense-0,10.19-2.03-3.50,0,6-1-0,16.707
AS1ZGA84IM7JD,30,1,0,num,0-1,small&dense-0,18.20-24.71,0,5-0,44.426
AS1ZGA84IM7JD,19,2,2,num,3,small&dense,5.22,1,3,7.074
AS1ZGA84IM7JD,25,2,1,num,1-0,small&sparse-large&sparse,20.50-4.41,1,1-0,26.381
AS1ZGA84IM7JD,31,2,0,num,6-5,large&sparse-large&dense,6.04-14.96,1,6-5,22.334
AS1ZGA84IM7JD,32,3,0,num,5,0,53.63,0,7,55.909
AS1ZGA84IM7JD,16,5,0,pos,0-5,small&dense-0,7.21-7.44,0,1-0,15.559
AS1ZGA84IM7JD,2,3,2,pos,5-4-6,small&dense-large&sparse-small&sparse,2.62-1.88-2.20,1,5-4-6,7.65
AS1ZGA84IM7JD,26,3,1,num,4-1-5,small&dense-0-0,3.04-3.54-1.09,0,3-4-6,8.78
AS1ZGA84IM7JD,24,1,1,num,2-6,small&dense-small&sparse,7.39-0.80,1,2-6,9.253
