userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
AZOPG1HK86PCF,0,1,2,pos,3月4日,small&dense-small&sparse,9.73-1.12,1,3月4日,23.228
AZOPG1HK86PCF,27,4,1,num,6月4日,0-0,3.86-5.76,0,5,60
AZOPG1HK86PCF,12,1,0,pos,4,0,9.23,0,6,60
AZOPG1HK86PCF,21,4,2,num,0,0,5.29,0,1,8.082
AZOPG1HK86PCF,29,0,1,num,5,0,8.3,0,4,10.707
AZOPG1HK86PCF,15,4,0,pos,3,0,15,0,7,16.844
AZOPG1HK86PCF,60,-1,2,center position,5,small&dense,4.21,1,5,5.928
AZOPG1HK86PCF,34,5,0,num,4-0-7,0-0-large&dense,11.86-9.25-3.69,0,2005/7/6,25.86
AZOPG1HK86PCF,1,2,2,pos,3,0,6.35,0,2,9.038
AZOPG1HK86PCF,20,3,2,num,7-0,large&dense-0,2.67-0.69,0,4月7日,5.156
AZOPG1HK86PCF,7,2,1,pos,2006/5/3,0-small&sparse-large&sparse,1.76-0.33-4.33,0,2005/3/7,8.126
AZOPG1HK86PCF,5,0,2,pos,7月6日,0-0,3.53-6.57,0,0-3,11.182
AZOPG1HK86PCF,10,5,1,pos,3月7日,large&dense-small&dense,6.49-2.88,1,7月3日,14.591
AZOPG1HK86PCF,13,2,0,pos,2005/3/6,large&dense-small&dense-0,2.70-6.55-1.99,0,3-5-0,23.294
AZOPG1HK86PCF,14,3,0,pos,2007/1/2,large&dense-0-0,2.51-1.48-4.58,0,2006/5/7,11.874
AZOPG1HK86PCF,32,-1,2,shape,4,large&dense,3.63,1,4,15.181
AZOPG1HK86PCF,22,5,2,num,6月4日,0-0,6.22-2.44,0,0-7,11.427
AZOPG1HK86PCF,62,-1,2,center position,4,large&dense,3.78,1,4,10.22
AZOPG1HK86PCF,23,0,2,num,2006/3/7,large&dense-small&sparse-0,4.27-2.28-5.64,0,3-6-0,27.197
AZOPG1HK86PCF,17,0,0,pos,5-0,small&sparse-small&dense,8.89-2.67,1,0-5,16.257
AZOPG1HK86PCF,8,3,1,pos,1月6日,large&dense-large&sparse,4.80-6.50,1,1月6日,19.14
AZOPG1HK86PCF,35,0,0,num,2001/7/3,0-0-0,38.13-2.61-3.44,0,6-5-0,46.343
AZOPG1HK86PCF,3,4,2,pos,7,small&sparse,6.02,1,7,8.045
AZOPG1HK86PCF,33,4,0,num,5,small&sparse,14.17,1,5,16.262
AZOPG1HK86PCF,9,4,1,pos,1,small&dense,4.65,1,1,8.736
AZOPG1HK86PCF,4,5,2,pos,2000/2/6,small&dense-small&dense-small&sparse,6.60-2.67-4.75,1,2000/2/6,15.692
AZOPG1HK86PCF,3,-1,2,point number,1,large&dense,16.55,1,1,19.497
AZOPG1HK86PCF,6,1,1,pos,2,small&dense,7.16,1,2,11.593
AZOPG1HK86PCF,28,5,1,num,2000/2/6,small&dense-small&sparse-0,5.13-4.12-5.06,0,2000/2/5,17.576
AZOPG1HK86PCF,18,1,2,num,2007/2/5,small&dense-small&dense-small&sparse,3.18-1.09-9.34,1,2007/2/5,20.88
AZOPG1HK86PCF,11,0,1,pos,6-1-0,small&dense-small&dense-large&sparse,2.92-2.68-4.56,1,6-1-0,11.907
AZOPG1HK86PCF,30,1,0,num,5-0,small&dense-small&dense,4.91-12.39,1,5-0,19.265
AZOPG1HK86PCF,19,2,2,num,3,small&dense,3.19,1,3,5.372
AZOPG1HK86PCF,25,2,1,num,5月1日,0-small&sparse,6.45-1.89,0,1-0,23.729
AZOPG1HK86PCF,31,2,0,num,6月5日,large&sparse-large&dense,6.92-8.94,1,6月5日,18.221
AZOPG1HK86PCF,32,3,0,num,7,small&sparse,15.59,1,7,17.167
AZOPG1HK86PCF,16,5,0,pos,0-1,small&dense-small&sparse,3.08-8.47,1,1-0,15.611
AZOPG1HK86PCF,2,3,2,pos,5-0-4,small&dense-0-large&sparse,3.20-2.34-2.41,0,2005/4/6,9.502
AZOPG1HK86PCF,26,3,1,num,4月1日,small&dense-0,3.61-23.60,0,2003/4/6,60
AZOPG1HK86PCF,24,1,1,num,2月7日,small&dense-0,7.42-7.01,0,2月6日,20.319
