userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A3ENCMZ40AODOX,0,3,2,pos,4-3,small&sparse-small&dense,8.11-4.44,1,3-4,15.737
A3ENCMZ40AODOX,27,0,1,num,5,small&sparse,8.71,1,5,60
A3ENCMZ40AODOX,12,3,0,pos,6,large&dense,14.61,1,6,25.914
A3ENCMZ40AODOX,21,0,2,num,1,small&sparse,13.66,1,1,17.165
A3ENCMZ40AODOX,29,2,1,num,1,0,31.21,0,4,60
A3ENCMZ40AODOX,15,0,0,pos,7,small&sparse,30.35,1,7,34.035
A3ENCMZ40AODOX,60,-1,2,center position,5,small&dense,5.38,1,5,7.89
A3ENCMZ40AODOX,34,1,0,num,6-7-0,small&sparse-large&dense-0,10.23-34.01-9.59,0,5-7-6,57.598
A3ENCMZ40AODOX,1,4,2,pos,2,small&sparse,7.24,1,2,9.565
A3ENCMZ40AODOX,20,5,2,num,7-4,large&dense-small&dense,25.30-8.08,1,4-7,36.179
A3ENCMZ40AODOX,7,4,1,pos,7-3-5,small&sparse-large&sparse-small&sparse,5.25-8.18-10.37,1,5-3-7,26.76
A3ENCMZ40AODOX,5,2,2,pos,3-0,small&sparse-large&dense,5.92-10.69,1,0-3,20.418
A3ENCMZ40AODOX,10,1,1,pos,7-3,small&dense-large&dense,5.17-7.55,1,7-3,15.922
A3ENCMZ40AODOX,13,4,0,pos,7-3-0,0-small&dense-large&sparse,8.82-4.43-9.50,0,3-5-0,25.612
A3ENCMZ40AODOX,14,5,0,pos,7-6-1,large&dense-small&sparse-0,5.49-5.55-27.84,0,6-5-7,41.856
A3ENCMZ40AODOX,32,-1,2,shape,4,large&dense,9.21,1,4,11.635
A3ENCMZ40AODOX,22,1,2,num,0-7,large&sparse-small&sparse,32.95-20.46,1,0-7,56.936
A3ENCMZ40AODOX,62,-1,2,center position,4,large&dense,7.23,1,4,10.098
A3ENCMZ40AODOX,23,2,2,num,0-6-3,large&dense-large&dense-small&sparse,5.62-1.98-2.14,1,3-6-0,12.417
A3ENCMZ40AODOX,17,2,0,pos,0-5,small&dense-small&sparse,3.48-13.05,1,0-5,26.245
A3ENCMZ40AODOX,8,5,1,pos,6-1,large&sparse-large&dense,4.53-6.74,1,1-6,14.233
A3ENCMZ40AODOX,35,2,0,num,4,0,8.95,0,6-5-0,60
A3ENCMZ40AODOX,3,0,2,pos,7,small&sparse,26.19,1,7,32.517
A3ENCMZ40AODOX,33,0,0,num,5,small&sparse,12.36,1,5,14.625
A3ENCMZ40AODOX,9,0,1,pos,1,small&dense,4.04,1,1,7.658
A3ENCMZ40AODOX,4,1,2,pos,0-6-2,small&dense-small&sparse-small&dense,5.58-3.50-2.40,1,0-2-6,14.492
A3ENCMZ40AODOX,3,-1,2,point number,1,large&dense,10.84,1,1,12.99
A3ENCMZ40AODOX,6,3,1,pos,2,small&dense,8.52,1,2,11.01
A3ENCMZ40AODOX,28,1,1,num,0-2-6,small&dense-small&sparse-0,4.54-8.84-28.99,0,0-2-5,48.95
A3ENCMZ40AODOX,18,3,2,num,5-7-2,small&sparse-small&dense-small&dense,3.60-2.66-27.38,1,7-2-5,37.046
A3ENCMZ40AODOX,11,2,1,pos,6-0-1,small&dense-large&sparse-small&dense,4.80-5.41-2.04,1,6-1-0,15.39
A3ENCMZ40AODOX,30,3,0,num,5-4,small&dense-0,26.11-7.62,0,5-0,36.029
A3ENCMZ40AODOX,19,4,2,num,3,small&dense,22.84,1,3,24.782
A3ENCMZ40AODOX,25,4,1,num,0-3,large&sparse-0,24.71-25.51,0,1-0,53.45
A3ENCMZ40AODOX,31,4,0,num,5-6,large&dense-large&sparse,14.06-7.94,1,6-5,25.024
A3ENCMZ40AODOX,32,5,0,num,7,small&sparse,8.46,1,7,10.562
A3ENCMZ40AODOX,16,1,0,pos,1-0,small&sparse-small&dense,6.77-14.36,1,1-0,23.501
A3ENCMZ40AODOX,2,5,2,pos,5-6-4,small&dense-small&sparse-large&sparse,4.72-1.38-3.19,1,5-4-6,11.51
A3ENCMZ40AODOX,26,5,1,num,4-3-6,small&dense-small&sparse-large&sparse,5.50-9.90-3.81,1,3-4-6,21.674
A3ENCMZ40AODOX,24,3,1,num,2-6,small&dense-small&sparse,4.61-11.25,1,2-6,17.998
