userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
AOD3O9GXSBRGA,0,4,2,pos,3-4,small&dense-small&sparse,7.61-10.47,1,3-4,20.279
AOD3O9GXSBRGA,27,1,1,num,5-6,small&sparse-0,29.58-12.13,0,5,60
AOD3O9GXSBRGA,12,4,0,pos,3-6,0-large&dense,25.50-2.69,0,6,60
AOD3O9GXSBRGA,21,1,2,num,7-5-4,0-0-0,20.13-15.37-8.56,0,1,60
AOD3O9GXSBRGA,29,3,1,num,4-1,small&sparse-0,13.58-17.24,0,4,60
AOD3O9GXSBRGA,15,1,0,pos,0,0,24.97,0,7,42.07
AOD3O9GXSBRGA,60,-1,2,center position,5,small&dense,4.75,1,5,6.162
AOD3O9GXSBRGA,34,2,0,num,0,0,7.93,0,5-7-6,60
AOD3O9GXSBRGA,1,5,2,pos,2,small&sparse,3.06,1,2,5.583
AOD3O9GXSBRGA,20,0,2,num,1,0,6.83,0,4-7,60
AOD3O9GXSBRGA,7,5,1,pos,3-5-4,large&sparse-small&sparse-0,9.35-4.93-17.67,0,5-3-7,60
AOD3O9GXSBRGA,5,3,2,pos,3-0,small&sparse-large&dense,4.50-28.22,1,0-3,35.69
AOD3O9GXSBRGA,10,2,1,pos,3-7,large&dense-small&dense,3.94-11.53,1,7-3,17.134
AOD3O9GXSBRGA,13,5,0,pos,3-0-5,small&dense-large&sparse-large&dense,7.22-3.84-9.36,1,3-5-0,22.205
AOD3O9GXSBRGA,13,5,0,pos,3-0-5,small&dense-large&sparse-large&dense,7.22-3.84-9.36,1,3-5-0,22.677
AOD3O9GXSBRGA,14,0,0,pos,7-5-6,large&dense-large&dense-small&sparse,7.12-7.41-9.84,1,6-5-7,26.935
AOD3O9GXSBRGA,32,-1,2,shape,4,large&dense,5.03,1,4,6.797
AOD3O9GXSBRGA,22,2,2,num,7-0,small&sparse-large&sparse,4.11-4.89,1,0-7,10.811
AOD3O9GXSBRGA,62,-1,2,center position,4,large&dense,3.48,1,4,5.621
AOD3O9GXSBRGA,23,3,2,num,0-3-6,large&dense-small&sparse-large&dense,5.76-3.67-5.40,1,3-6-0,16.023
AOD3O9GXSBRGA,17,3,0,pos,3-0,0-small&dense,4.16-4.97,0,0-5,17.27
AOD3O9GXSBRGA,8,0,1,pos,6-1,large&sparse-large&dense,4.45-5.98,1,1-6,13.052
AOD3O9GXSBRGA,35,3,0,num,5-1-4,large&sparse-0-0,16.05-10.18-3.46,0,6-5-0,31.692
AOD3O9GXSBRGA,3,1,2,pos,7,small&sparse,9.89,1,7,12.55
AOD3O9GXSBRGA,33,1,0,num,1,0,16.06,0,5,17.896
AOD3O9GXSBRGA,9,1,1,pos,1,small&dense,3.18,1,1,4.705
AOD3O9GXSBRGA,4,2,2,pos,0-3-2,small&dense-0-small&dense,4.42-6.82-7.05,0,0-2-6,19.45
AOD3O9GXSBRGA,3,-1,2,point number,1,large&dense,17.61,1,1,19.898
AOD3O9GXSBRGA,6,4,1,pos,2,small&dense,11.92,1,2,13.573
AOD3O9GXSBRGA,28,2,1,num,5-0-2,small&sparse-small&dense-small&sparse,11.46-29.87-2.99,1,0-2-5,46.245
AOD3O9GXSBRGA,18,4,2,num,7-5-6,small&dense-small&sparse-0,5.95-2.15-10.84,0,7-2-5,20.554
AOD3O9GXSBRGA,11,3,1,pos,1-6-0,small&dense-small&dense-large&sparse,4.21-2.44-7.02,1,6-1-0,15.119
AOD3O9GXSBRGA,30,4,0,num,3-7,0-0,22.95-2.20,0,5-0,26.651
AOD3O9GXSBRGA,19,5,2,num,3,small&dense,4.35,1,3,5.818
AOD3O9GXSBRGA,25,5,1,num,5-3,0-0,9.03-3.36,0,1-0,15.09
AOD3O9GXSBRGA,31,5,0,num,4-1,0-0,21.72-7.57,0,6-5,31.562
AOD3O9GXSBRGA,32,0,0,num,3,0,13.88,0,7,21.13
AOD3O9GXSBRGA,16,2,0,pos,0-5,small&dense-0,9.16-4.15,0,1-0,18.571
AOD3O9GXSBRGA,2,0,2,pos,6-5-4,small&sparse-small&dense-large&sparse,5.81-4.13-11.85,1,5-4-6,23.364
AOD3O9GXSBRGA,26,0,1,num,4-1-7,small&dense-0-0,4.47-31.95-3.53,0,3-4-6,43.083
AOD3O9GXSBRGA,24,4,1,num,2-6,small&dense-small&sparse,6.42-41.13,1,2-6,58.025
