userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A8JFRH701TF2Z,0,5,2,pos,3-4,small&dense-small&sparse,9.51-8.66,1,3-4,22.634
A8JFRH701TF2Z,27,2,1,num,5,small&sparse,24.95,1,5,27.762
A8JFRH701TF2Z,12,5,0,pos,6,large&dense,13.63,1,6,15.965
A8JFRH701TF2Z,21,2,2,num,1,small&sparse,10.41,1,1,12.587
A8JFRH701TF2Z,29,4,1,num,4,small&sparse,13.39,1,4,16.763
A8JFRH701TF2Z,15,2,0,pos,7,small&sparse,20.56,1,7,24.192
A8JFRH701TF2Z,60,-1,2,center position,5,small&dense,5.57,1,5,7.314
A8JFRH701TF2Z,34,3,0,num,5-7-6,large&dense-large&dense-small&sparse,9.08-5.68-16.51,1,5-7-6,35.087
A8JFRH701TF2Z,1,0,2,pos,2,small&sparse,6.24,1,2,8.198
A8JFRH701TF2Z,20,1,2,num,4-7,small&dense-large&dense,6.41-13.67,1,4-7,22.086
A8JFRH701TF2Z,7,0,1,pos,7-4-3,small&sparse-0-large&sparse,3.71-5.22-13.06,0,5-3-7,25.019
A8JFRH701TF2Z,5,4,2,pos,3-0-4,small&sparse-large&dense-0,8.17-7.57-25.71,0,0-3,60
A8JFRH701TF2Z,10,3,1,pos,7-3,small&dense-large&dense,6.76-8.43,1,7-3,16.985
A8JFRH701TF2Z,13,0,0,pos,5-3-0,large&dense-small&dense-large&sparse,6.61-4.75-4.50,1,3-5-0,17.83
A8JFRH701TF2Z,14,1,0,pos,6-5-2,small&sparse-large&dense-0,14.48-6.40-7.85,0,6-5-7,31.746
A8JFRH701TF2Z,32,-1,2,shape,4,large&dense,5.05,1,4,7.469
A8JFRH701TF2Z,22,3,2,num,0-7,large&sparse-small&sparse,4.08-12.43,1,0-7,21.208
A8JFRH701TF2Z,62,-1,2,center position,4,large&dense,2.66,1,4,5.621
A8JFRH701TF2Z,23,4,2,num,7-0-6,0-large&dense-large&dense,6.39-4.34-1.57,0,3-6-0,14.515
A8JFRH701TF2Z,17,4,0,pos,0-6,small&dense-0,3.18-4.46,0,0-5,9.55
A8JFRH701TF2Z,8,1,1,pos,6-1,large&sparse-large&dense,7.52-3.50,1,1-6,14.919
A8JFRH701TF2Z,35,4,0,num,5-4-6,large&sparse-0-small&dense,7.18-11.09-17.85,0,6-5-0,38.256
A8JFRH701TF2Z,3,2,2,pos,7,small&sparse,3.94,1,7,8.036
A8JFRH701TF2Z,33,2,0,num,5,small&sparse,21.80,1,5,24.818
A8JFRH701TF2Z,9,2,1,pos,1,small&dense,3.36,1,1,5.494
A8JFRH701TF2Z,4,3,2,pos,0-2-6,small&dense-small&dense-small&sparse,4.45-3.64-3.59,1,0-2-6,13.827
A8JFRH701TF2Z,3,-1,2,point number,1,large&dense,5.72,1,1,7.898
A8JFRH701TF2Z,6,5,1,pos,2,small&dense,7.66,1,2,9.76
A8JFRH701TF2Z,28,3,1,num,2-0-5,small&sparse-small&dense-small&sparse,3.06-4.56-32.32,1,0-2-5,42.626
A8JFRH701TF2Z,18,5,2,num,5-2-7,small&sparse-small&dense-small&dense,3.12-5.46-1.70,1,7-2-5,12.288
A8JFRH701TF2Z,11,4,1,pos,6-1-0,small&dense-small&dense-large&sparse,5.35-2.07-5.00,1,6-1-0,15.72
A8JFRH701TF2Z,30,5,0,num,5-0,small&dense-small&dense,12.33-1.92,1,5-0,25.515
A8JFRH701TF2Z,19,0,2,num,3,small&dense,16.71,1,3,19.444
A8JFRH701TF2Z,25,0,1,num,0,large&sparse,9.80,0,1-0,60
A8JFRH701TF2Z,31,0,0,num,6-4,large&sparse-0,6.24-5.86,0,6-5,14.985
A8JFRH701TF2Z,32,1,0,num,7,small&sparse,22.57,1,7,25.599
A8JFRH701TF2Z,16,3,0,pos,1-0,small&sparse-small&dense,7.13-2.64,1,1-0,11.908
A8JFRH701TF2Z,2,1,2,pos,4-5-6,large&sparse-small&dense-small&sparse,5.51-9.58-11.05,1,5-4-6,28.878
A8JFRH701TF2Z,26,1,1,num,4-6-3,small&dense-large&sparse-small&sparse,4.95-9.28-15.38,1,3-4-6,31.655
A8JFRH701TF2Z,24,5,1,num,2-6,small&dense-small&sparse,5.35-8.10,1,2-6,15.393
