userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
AIHUIAQ4922K3,0,5,2,pos,3-4,small&dense-small&sparse,2.14-4.94,1,3-4,8.583
AIHUIAQ4922K3,27,2,1,num,5,small&sparse,13.45,1,5,15.086
AIHUIAQ4922K3,12,5,0,pos,6,large&dense,8.02,1,6,9.311
AIHUIAQ4922K3,12,5,0,pos,6,large&dense,8.02,1,6,9.47
AIHUIAQ4922K3,21,2,2,num,1,small&sparse,26.77,1,1,27.693
AIHUIAQ4922K3,29,4,1,num,4,small&sparse,20.66,1,4,22.386
AIHUIAQ4922K3,15,2,0,pos,7,small&sparse,21.06,1,7,21.883
AIHUIAQ4922K3,60,-1,2,center position,5,small&dense,2.85,1,5,3.558
AIHUIAQ4922K3,34,3,0,num,,0,,0,5-7-6,60
AIHUIAQ4922K3,1,0,2,pos,2,small&sparse,12.33,1,2,13.148
AIHUIAQ4922K3,20,1,2,num,4-7,small&dense-large&dense,7.97-11.73,1,4-7,20.583
AIHUIAQ4922K3,7,0,1,pos,7-3-6,small&sparse-large&sparse-0,7.61-7.39-38.75,0,5-3-7,55.509
AIHUIAQ4922K3,5,4,2,pos,0-3,large&dense-small&sparse,4.16-38.29,1,0-3,43.781
AIHUIAQ4922K3,10,3,1,pos,3-7,large&dense-small&dense,9.92-5.30,1,7-3,16.507
AIHUIAQ4922K3,13,0,0,pos,5-3-0,large&dense-small&dense-large&sparse,3.14-6.05-7.04,1,3-5-0,17.166
AIHUIAQ4922K3,14,1,0,pos,7-5-6,large&dense-large&dense-small&sparse,4.07-5.40-7.55,1,6-5-7,18.345
AIHUIAQ4922K3,32,-1,2,shape,4,large&dense,4.86,1,4,6.362
AIHUIAQ4922K3,22,3,2,num,0-7,large&sparse-small&sparse,5.72-20.35,1,0-7,26.925
AIHUIAQ4922K3,62,-1,2,center position,4,large&dense,6.06,1,4,8.797
AIHUIAQ4922K3,23,4,2,num,0-6-2,large&dense-large&dense-0,3.33-3.25-39.06,0,3-6-0,57.025
AIHUIAQ4922K3,17,4,0,pos,5-0,small&sparse-small&dense,14.50-4.97,1,0-5,20.372
AIHUIAQ4922K3,8,1,1,pos,1,large&dense,5.08,0,1-6,60
AIHUIAQ4922K3,35,4,0,num,0-5-7,small&sparse-large&sparse-0,18.37-12.26-23.65,0,6-5-0,55.174
AIHUIAQ4922K3,3,2,2,pos,7,small&sparse,18.66,1,7,19.426
AIHUIAQ4922K3,3,2,2,pos,7,small&sparse,18.66,1,7,19.914
AIHUIAQ4922K3,33,2,0,num,5,small&sparse,6.63,1,5,7.416
AIHUIAQ4922K3,9,2,1,pos,1,small&dense,4.49,1,1,5.425
AIHUIAQ4922K3,4,3,2,pos,2-0-6,small&dense-small&dense-small&sparse,2.25-6.42-3.88,1,0-2-6,13.4
AIHUIAQ4922K3,3,-1,2,point number,1,large&dense,8.23,1,1,10.003
AIHUIAQ4922K3,6,5,1,pos,2,small&dense,9.78,1,2,10.625
AIHUIAQ4922K3,28,3,1,num,0-2-5,small&dense-small&sparse-small&sparse,3.74-3.82-6.21,1,0-2-5,14.591
AIHUIAQ4922K3,18,5,2,num,7-2-5,small&dense-small&dense-small&sparse,1.95-4.17-4.04,1,7-2-5,11.192
AIHUIAQ4922K3,11,4,1,pos,1-6-0,small&dense-small&dense-large&sparse,5.69-1.76-4.70,1,6-1-0,12.774
AIHUIAQ4922K3,30,5,0,num,5-0,small&dense-small&dense,2.89-4.70,1,5-0,9.288
AIHUIAQ4922K3,19,0,2,num,3,small&dense,4.91,1,3,6.522
AIHUIAQ4922K3,25,0,1,num,0-1,large&sparse-small&sparse,16.09-37.59,1,1-0,57.758
AIHUIAQ4922K3,31,0,0,num,6-5,large&sparse-large&dense,47.95-3.21,1,6-5,52.453
AIHUIAQ4922K3,32,1,0,num,7,small&sparse,26.94,1,7,28.515
AIHUIAQ4922K3,16,3,0,pos,0-1,small&dense-small&sparse,3.24-2.48,1,1-0,6.701
AIHUIAQ4922K3,16,3,0,pos,0-1,small&dense-small&sparse,3.24-2.48,1,1-0,7.18
AIHUIAQ4922K3,2,1,2,pos,4-6-5,large&sparse-small&sparse-small&dense,3.62-14.96-5.24,1,5-4-6,34.881
AIHUIAQ4922K3,26,1,1,num,4-3-6,small&dense-small&sparse-large&sparse,3.79-9.50-13.24,1,3-4-6,28.898
AIHUIAQ4922K3,24,5,1,num,2,small&dense,6.84,0,2-6,60
