userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A39G13K0578W5Y,0,0,2,pos,3-6,small&dense-0,4.76-1.30,0,3-4,15.637
A39G13K0578W5Y,27,3,1,num,5,small&sparse,15.93,1,5,22.138
A39G13K0578W5Y,27,3,1,num,5,small&sparse,15.93,1,5,22.812
A39G13K0578W5Y,12,0,0,pos,5,0,5.28,0,6,17.365
A39G13K0578W5Y,21,3,2,num,1,small&sparse,4.18,1,1,14.007
A39G13K0578W5Y,29,5,1,num,4,small&sparse,26.57,1,4,34.261
A39G13K0578W5Y,15,3,0,pos,5,0,34.43,0,7,60
A39G13K0578W5Y,60,-1,2,center position,5,small&dense,3.87,1,5,12.348
A39G13K0578W5Y,34,4,0,num,,0,,0,5-7-6,60
A39G13K0578W5Y,1,1,2,pos,2,small&sparse,6.13,1,2,10.663
A39G13K0578W5Y,20,2,2,num,5-7,0-large&dense,13.54-1.35,0,4-7,25.397
A39G13K0578W5Y,7,1,1,pos,1-7-4,0-small&sparse-0,37.28-8.09-1.96,0,5-3-7,54.309
A39G13K0578W5Y,5,5,2,pos,6,0,29.42,0,0-3,60
A39G13K0578W5Y,10,4,1,pos,7,small&dense,34.56,0,7-3,60
A39G13K0578W5Y,13,1,0,pos,4,0,60.06,0,3-5-0,60
A39G13K0578W5Y,14,2,0,pos,6-5-0,small&sparse-large&dense-0,4.97-0.97-5.65,0,6-5-7,13.039
A39G13K0578W5Y,32,-1,2,shape,0,0,7.45,0,4,10.996
A39G13K0578W5Y,22,4,2,num,0-3,large&sparse-0,6.01-5.67,0,0-7,19.218
A39G13K0578W5Y,62,-1,2,center position,4,large&dense,9.39,1,4,12.693
A39G13K0578W5Y,23,5,2,num,4-3-0,0-small&sparse-large&dense,6.46-3.57-1.47,0,3-6-0,14.105
A39G13K0578W5Y,17,5,0,pos,4-0,0-small&dense,5.35-5.94,0,0-5,13.926
A39G13K0578W5Y,8,2,1,pos,0-1,0-large&dense,3.57-2.92,0,1-6,11.758
A39G13K0578W5Y,35,5,0,num,4-7-3,0-0-0,7.07-11.46-3.51,0,6-5-0,25.743
A39G13K0578W5Y,3,3,2,pos,7,small&sparse,8.77,1,7,15.68
A39G13K0578W5Y,33,3,0,num,2,0,4.04,0,5,10.581
A39G13K0578W5Y,9,3,1,pos,1,small&dense,2.87,1,1,6.975
A39G13K0578W5Y,4,4,2,pos,3-0-2,0-small&dense-small&dense,2.17-3.02-8.23,0,0-2-6,15.897
A39G13K0578W5Y,3,-1,2,point number,1,large&dense,10.04,1,1,12.389
A39G13K0578W5Y,6,0,1,pos,2,small&dense,3.98,1,2,6.537
A39G13K0578W5Y,28,4,1,num,0-5-7,small&dense-small&sparse-0,3.10-15.01-2.93,0,0-2-5,23.745
A39G13K0578W5Y,18,0,2,num,7-2-5,small&dense-small&dense-small&sparse,2.68-6.20-6.03,1,7-2-5,34.258
A39G13K0578W5Y,11,5,1,pos,1-4-5,small&dense-0-0,4.84-1.62-0.99,0,6-1-0,10.504
A39G13K0578W5Y,30,0,0,num,2-3,0-0,17.46-7.25,0,5-0,26.51
A39G13K0578W5Y,19,1,2,num,1,0,33.50,0,3,60
A39G13K0578W5Y,25,1,1,num,1-5,small&sparse-0,3.65-12.75,0,1-0,19.193
A39G13K0578W5Y,31,1,0,num,6-1,large&sparse-0,21.52-11.68,0,6-5,60
A39G13K0578W5Y,32,2,0,num,0,0,30.08,0,7,60
A39G13K0578W5Y,16,4,0,pos,0-1,small&dense-small&sparse,10.78-6.58,1,1-0,20.449
A39G13K0578W5Y,2,2,2,pos,2-5-0,0-small&dense-0,3.63-3.37-1.93,0,5-4-6,11.407
A39G13K0578W5Y,26,2,1,num,0-5-4,0-0-small&dense,6.61-5.64-2.13,0,3-4-6,16.752
A39G13K0578W5Y,24,0,1,num,2-6,small&dense-small&sparse,8.91-4.31,0,2-6,60
