userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A9UCNH9LL0GZL,0,0,2,pos,0-7-5-3-2-6-1,0-0-0-small&dense-0-0-0,12.66-0.77-0.77-0.80-1.08-3.16-1.68,0,3-4,60
A9UCNH9LL0GZL,27,3,1,num,4,0,0.44,0,5,27.396
A9UCNH9LL0GZL,27,3,1,num,4,0,0.44,0,5,27.755
A9UCNH9LL0GZL,12,0,0,pos,3,0,2.23,0,6,18.44
A9UCNH9LL0GZL,12,0,0,pos,3,0,2.23,0,6,18.897
A9UCNH9LL0GZL,21,3,2,num,7,0,13.37,0,1,23.86
A9UCNH9LL0GZL,29,5,1,num,3,0,2.16,0,4,52.332
A9UCNH9LL0GZL,15,3,0,pos,3-1-7-4-2-6,0-0-small&sparse-0-0-0,33.77-1.00-0.28-1.34-0.54-2.70,0,7,60
A9UCNH9LL0GZL,60,-1,2,center position,4-3-1-0-2-5,0-0-0-0-0-small&dense,3.51-1.05-1.66-1.34-2.38-49.70,0,5,60
A9UCNH9LL0GZL,34,4,0,num,5-4-2-0-7-3,large&dense-0-0-0-large&dense-0,31.72-0.82-0.21-0.39-0.46-7.50,0,5-7-6,60
A9UCNH9LL0GZL,1,1,2,pos,6-5-4-1-7-3-2-0,0-0-0-0-0-0-small&sparse-0,8.56-0.22-0.22-0.97-2.17-1.33-3.01-6.72,0,2,60
A9UCNH9LL0GZL,20,2,2,num,6-7-5-3-1-4-2-0,0-large&dense-0-0-0-small&dense-0-0,5.74-0.67-0.23-4.55-0.96-0.70-14.72-17.33,0,4-7,60
A9UCNH9LL0GZL,7,1,1,pos,4-1-2-5-7-6-3-0,0-0-0-small&sparse-small&sparse-0-large&sparse-0,3.01-0.32-0.98-1.50-0.46-1.08-2.82-24.77,0,5-3-7,60
A9UCNH9LL0GZL,5,5,2,pos,3-0-7-4-5-2-1-6,small&sparse-large&dense-0-0-0-0-0-0,3.15-0.31-1.08-2.06-1.72-0.29-0.49-22.40,0,0-3,60
A9UCNH9LL0GZL,10,4,1,pos,6-0-3-4-1-5-7,0-0-large&dense-0-0-0-small&dense,4.17-0.70-0.52-2.19-0.25-0.70-19.98,0,7-3,60
A9UCNH9LL0GZL,13,1,0,pos,2-1-0-5-7-6,0-0-large&sparse-large&dense-0-0,28.51-0.42-0.34-2.48-0.67-0.59,0,3-5-0,60
A9UCNH9LL0GZL,14,2,0,pos,4-2-5-6-7-3-0-1,0-0-large&dense-small&sparse-large&dense-0-0-0,14.44-0.50-0.30-0.96-0.78-4.89-7.91-0.36,0,6-5-7,60
A9UCNH9LL0GZL,32,-1,2,shape,4-5-2-0-3,large&dense-0-0-0-0,3.71-0.38-10.44-6.90-1.64,0,4,60
A9UCNH9LL0GZL,22,4,2,num,6-5-7-0-1-3-2-4,0-0-small&sparse-large&sparse-0-0-0-0,14.56-0.28-0.74-0.68-5.66-0.84-0.24-3.79,0,0-7,60
A9UCNH9LL0GZL,62,-1,2,center position,1-3-4-2-5-0,0-0-large&dense-0-0-0,1.76-0.80-0.67-1.76-3.03-2.66,0,4,60
A9UCNH9LL0GZL,23,5,2,num,5-7-0-3-4-6-2-1,0-0-large&dense-small&sparse-0-large&dense-0-0,5.38-0.51-0.54-1.46-0.19-0.49-1.80-6.95,0,3-6-0,60
A9UCNH9LL0GZL,17,5,0,pos,4-3-5-6-0-7-2,0-0-small&sparse-0-small&dense-0-0,9.49-0.26-0.74-0.50-0.77-8.42-6.96,0,0-5,60
A9UCNH9LL0GZL,8,2,1,pos,6-4-1-2-3-5-0-7,large&sparse-0-large&dense-0-0-0-0-0,1.81-0.19-0.90-0.75-0.90-1.23-3.68-10.15,0,1-6,60
A9UCNH9LL0GZL,35,5,0,num,7-3-5-1-2-6-4,0-0-large&sparse-0-0-small&dense-0,1.08-0.53-0.69-0.76-0.43-7.25-0.69,0,6-5-0,60
A9UCNH9LL0GZL,3,3,2,pos,6-4-3-5-2-7-1-0,0-0-0-0-0-small&sparse-0-0,3.79-1.65-0.58-1.67-1.72-1.86-0.54-6.02,0,7,60
A9UCNH9LL0GZL,33,3,0,num,0-3-1-2-5-6,0-0-0-0-small&sparse-0,28.19-0.62-0.69-3.54-0.47-9.06,0,5,60
A9UCNH9LL0GZL,9,3,1,pos,5-4-1-3-6-2-0,0-0-small&dense-0-0-0-0,7.36-0.50-0.27-1.37-0.50-1.50-0.99,0,1,60
A9UCNH9LL0GZL,4,4,2,pos,7-2-5-0-6-1-3,0-small&dense-0-small&dense-small&sparse-0-0,2.19-0.90-3.88-1.47-1.03-0.32-2.19,0,0-2-6,60
A9UCNH9LL0GZL,3,-1,2,point number,3-2-4-0-5-1,0-0-0-0-0-large&dense,28.41-0.51-0.19-0.45-0.58-0.66,0,1,60
A9UCNH9LL0GZL,6,0,1,pos,5-3-2-1-4-7,0-0-small&dense-0-0-0,27.37-0.50-0.66-0.69-0.84-0.70,0,2,60
A9UCNH9LL0GZL,28,4,1,num,4-0-3-2-6-1-7,0-small&dense-0-small&sparse-0-0-0,0.89-0.30-0.85-0.78-1.16-0.28-2.77,0,0-2-5,60
A9UCNH9LL0GZL,18,0,2,num,6-3-4-2-7-5-1-0,0-0-0-small&dense-small&dense-small&sparse-0-0,5.30-0.75-0.30-0.74-0.51-1.87-1.85-0.23,0,7-2-5,60
A9UCNH9LL0GZL,11,5,1,pos,6-5-2-0-1-7-3-4,small&dense-0-0-large&sparse-small&dense-0-0-0,3.19-0.45-1.30-0.72-0.41-1.31-0.24-5.64,0,6-1-0,60
A9UCNH9LL0GZL,30,0,0,num,1-7-4-0-2-3-5-6,0-0-0-small&dense-0-0-small&dense-0,17.88-0.26-0.18-0.20-0.63-0.23-2.08-6.04,0,5-0,60
A9UCNH9LL0GZL,19,1,2,num,0-2-5-6-1-3-4-7,0-0-0-0-0-small&dense-0-0,2.28-0.26-0.27-0.50-0.18-0.23-0.40-3.40,0,3,60
A9UCNH9LL0GZL,25,1,1,num,3-0-2-1-7-5-4,0-large&sparse-0-small&sparse-0-0-0,3.54-0.24-0.24-1.36-0.67-4.25-5.43,0,1-0,60
A9UCNH9LL0GZL,31,1,0,num,3-1-6-7-5-0-4,0-0-large&sparse-0-large&dense-0-0,12.15-0.30-0.48-1.09-1.56-3.15-0.82,0,6-5,60
A9UCNH9LL0GZL,32,2,0,num,6-1-0-2-5-4-3-7,0-0-0-0-0-0-0-small&sparse,10.36-0.57-0.20-0.53-0.53-0.25-0.28-7.08,0,7,60
A9UCNH9LL0GZL,16,4,0,pos,2-5-0-1-7-3-4,0-0-small&dense-small&sparse-0-0-0,3.85-0.39-0.77-0.59-0.41-0.80-0.78,0,1-0,60
A9UCNH9LL0GZL,2,2,2,pos,5-0-4-7-1-2-3,small&dense-0-large&sparse-0-0-0-0,43.22-0.20-0.79-0.28-0.47-3.81-2.79,0,5-4-6,60
A9UCNH9LL0GZL,26,2,1,num,6-7-2-0-1-5-3,large&sparse-0-0-0-0-0-small&sparse,36.31-0.50-0.45-0.28-2.30-0.86-1.32,0,3-4-6,60
A9UCNH9LL0GZL,24,0,1,num,1-0-6-4-2-7-5-3,0-0-small&sparse-0-small&dense-0-0-0,30.89-0.49-0.22-0.45-0.53-0.95-3.37-2.47,0,2-6,60
