userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A14FU403ESVH60,0,1,2,pos,5月3日,0-small&dense,8.23-6.52,0,3月4日,21.688
A14FU403ESVH60,27,4,1,num,0,0,15.22,0,5,24.101
A14FU403ESVH60,12,1,0,pos,6,large&dense,11.2,1,6,16.828
A14FU403ESVH60,21,4,2,num,1,small&sparse,8.19,1,1,15.017
A14FU403ESVH60,29,0,1,num,5,0,9.05,0,4,15.947
A14FU403ESVH60,15,4,0,pos,3,0,14.02,0,7,20.715
A14FU403ESVH60,60,-1,2,center position,5,small&dense,1.34,1,5,18.932
A14FU403ESVH60,34,5,0,num,6-5-0,small&sparse-large&dense-0,9.23-1.79-2.04,0,2005/7/6,17.684
A14FU403ESVH60,1,2,2,pos,7,0,9.11,0,2,16.322
A14FU403ESVH60,20,3,2,num,0-5,0-0,4.92-3.15,0,4月7日,13.722
A14FU403ESVH60,7,2,1,pos,2000/3/2,0-large&sparse-0,5.14-1.41-2.21,0,2005/3/7,14.109
A14FU403ESVH60,5,0,2,pos,0-2,large&dense-0,1.76-2.48,0,0-3,29.762
A14FU403ESVH60,10,5,1,pos,7月3日,small&dense-large&dense,4.46-1.23,1,7月3日,10.789
A14FU403ESVH60,13,2,0,pos,5-7-0,large&dense-0-large&sparse,4.32-1.66-2.68,0,3-5-0,14.457
A14FU403ESVH60,14,3,0,pos,7-5-0,large&dense-large&dense-0,5.20-2.49-2.97,0,2006/5/7,21.609
A14FU403ESVH60,14,3,0,pos,7-5-0,large&dense-large&dense-0,5.20-2.49-2.97,0,2006/5/7,21.663
A14FU403ESVH60,32,-1,2,shape,4,large&dense,10.4,1,4,29.364
A14FU403ESVH60,22,5,2,num,5月7日,0-small&sparse,4.84-8.55,0,0-7,21.897
A14FU403ESVH60,22,5,2,num,5月7日,0-small&sparse,4.84-8.55,0,0-7,19.986
A14FU403ESVH60,22,5,2,num,5月7日,0-small&sparse,4.84-8.55,0,0-7,22.215
A14FU403ESVH60,62,-1,2,center position,2,0,4.08,0,4,9.571
A14FU403ESVH60,23,0,2,num,2002/7/5,0-0-0,4.74-2.42-1.68,0,3-6-0,13.644
A14FU403ESVH60,17,0,0,pos,7月5日,0-small&sparse,4.20-1.63,0,0-5,13.214
A14FU403ESVH60,8,3,1,pos,1月4日,large&dense-0,3.86-2.00,0,1月6日,10.458
A14FU403ESVH60,8,3,1,pos,1月4日,large&dense-0,3.86-2.00,0,1月6日,10.595
A14FU403ESVH60,35,0,0,num,2006/3/1,small&dense-0-0,4.00-1.26-1.35,0,6-5-0,14.145
A14FU403ESVH60,3,4,2,pos,2,0,5.51,0,7,10.955
A14FU403ESVH60,33,4,0,num,2,0,5.96,0,5,11.874
A14FU403ESVH60,9,4,1,pos,1,small&dense,6.6,1,1,12.18
A14FU403ESVH60,4,5,2,pos,2000/2/3,small&dense-small&dense-0,5.33-3.03-2.81,0,2000/2/6,16.769
A14FU403ESVH60,3,-1,2,point number,3,0,7.96,0,1,14.494
A14FU403ESVH60,6,1,1,pos,2,small&dense,4.48,1,2,13.41
A14FU403ESVH60,28,5,1,num,2000/6/5,small&dense-0-small&sparse,6.17-29.57-3.54,0,2000/2/5,45.804
A14FU403ESVH60,28,5,1,num,2000/6/5,small&dense-0-small&sparse,6.17-29.57-3.54,0,2000/2/5,46.631
A14FU403ESVH60,18,1,2,num,2004/3/6,0-0-0,3.17-1.30-1.56,0,2007/2/5,12.659
A14FU403ESVH60,11,0,1,pos,2006/5/7,small&dense-0-0,3.06-1.48-1.82,0,6-1-0,12.894
A14FU403ESVH60,11,0,1,pos,2006/5/7,small&dense-0-0,3.06-1.48-1.82,0,6-1-0,13.706
A14FU403ESVH60,30,1,0,num,4月6日,0-0,5.38-1.84,0,5-0,15.064
A14FU403ESVH60,19,2,2,num,6,0,5.81,0,3,13.73
A14FU403ESVH60,19,2,2,num,6,0,5.81,0,3,13.871
A14FU403ESVH60,25,2,1,num,7月6日,0-0,4.61-1.82,0,1-0,14.194
A14FU403ESVH60,25,2,1,num,7月6日,0-0,4.61-1.82,0,1-0,14.347
A14FU403ESVH60,31,2,0,num,6月7日,large&sparse-0,4.70-2.68,0,6月5日,12.912
A14FU403ESVH60,32,3,0,num,2,0,3.26,0,7,16.928
A14FU403ESVH60,16,5,0,pos,1月3日,small&sparse-0,5.23-3.08,0,1-0,14.964
A14FU403ESVH60,2,3,2,pos,2000/3/1,0-0-0,8.00-1.70-5.22,0,2005/4/6,21.697
A14FU403ESVH60,2,3,2,pos,2000/3/1,0-0-0,8.00-1.70-5.22,0,2005/4/6,21.95
A14FU403ESVH60,26,3,1,num,2000/6/4,0-large&sparse-small&dense,4.01-2.28-2.45,0,2003/4/6,21.115
A14FU403ESVH60,24,1,1,num,5月6日,0-small&sparse,4.35-1.46,0,2月6日,12.67
