userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A27GTGC4GMC3UE,0,1,2,pos,4-5,small&sparse-0,12.03-1.12,0,3-4,14.7
A27GTGC4GMC3UE,27,4,1,num,1,0,6.67,0,5,8.478
A27GTGC4GMC3UE,12,1,0,pos,4,0,6.38,0,6,9.718
A27GTGC4GMC3UE,21,4,2,num,1,small&sparse,4.69,1,1,6.37
A27GTGC4GMC3UE,29,0,1,num,7,0,3.67,0,4,5.213
A27GTGC4GMC3UE,15,4,0,pos,1,0,3.43,0,7,4.877
A27GTGC4GMC3UE,60,-1,2,center position,1,0,3.07,0,5,4.415
A27GTGC4GMC3UE,34,5,0,num,2-7-3,0-large&dense-0,5.35-9.64-4.59,0,5-7-6,21.087
A27GTGC4GMC3UE,1,2,2,pos,4,0,8.67,0,2,10.221
A27GTGC4GMC3UE,20,3,2,num,5-4,0-small&dense,5.21-6.38,0,4-7,12.845
A27GTGC4GMC3UE,7,2,1,pos,5-3-4,small&sparse-large&sparse-0,2.59-0.36-1.18,0,5-3-7,5.787
A27GTGC4GMC3UE,5,0,2,pos,4-0,0-large&dense,1.91-0.39,0,0-3,8.726
A27GTGC4GMC3UE,10,5,1,pos,3-4,large&dense-0,2.21-0.27,0,7-3,4.153
A27GTGC4GMC3UE,13,2,0,pos,5-7-2,large&dense-0-0,2.19-0.32-0.33,0,3-5-0,4.337
A27GTGC4GMC3UE,14,3,0,pos,7-3-5,large&dense-0-large&dense,2.57-0.58-1.66,0,6-5-7,6.173
A27GTGC4GMC3UE,32,-1,2,shape,2,0,1.81,0,4,5.121
A27GTGC4GMC3UE,22,5,2,num,3-4,0-0,1.90-4.14,0,0-7,7.522
A27GTGC4GMC3UE,62,-1,2,center position,1,0,2.23,0,4,3.518
A27GTGC4GMC3UE,23,0,2,num,5-6-0,0-large&dense-large&dense,2.02-0.40-3.44,0,3-6-0,7.057
A27GTGC4GMC3UE,17,0,0,pos,4-7,0-0,2.01-3.00,0,0-5,5.843
A27GTGC4GMC3UE,8,3,1,pos,4-6,0-large&sparse,2.39-3.02,0,1-6,6.677
A27GTGC4GMC3UE,35,0,0,num,5-4-6,large&sparse-0-small&dense,1.83-1.16-0.80,0,6-5-0,5.14
A27GTGC4GMC3UE,3,4,2,pos,7,small&sparse,1.85,1,7,3.105
A27GTGC4GMC3UE,33,4,0,num,3,0,0.50,0,5,8.206
A27GTGC4GMC3UE,9,4,1,pos,4,0,3.64,0,1,5.836
A27GTGC4GMC3UE,4,5,2,pos,3-0-4,0-small&dense-0,3.53-1.04-0.80,0,0-2-6,6.589
A27GTGC4GMC3UE,3,-1,2,point number,4,0,5.89,0,1,14.796
A27GTGC4GMC3UE,6,1,1,pos,7,0,2.04,0,2,3.542
A27GTGC4GMC3UE,28,5,1,num,0-3-1,small&dense-0-0,2.16-5.46-1.41,0,0-2-5,10.282
A27GTGC4GMC3UE,18,1,2,num,6-3-4,0-0-0,2.97-0.43-0.64,0,7-2-5,5.813
A27GTGC4GMC3UE,11,0,1,pos,6-7-0,small&dense-0-large&sparse,8.62-0.56-3.63,0,6-1-0,13.523
A27GTGC4GMC3UE,30,1,0,num,7-0,0-small&dense,2.67-0.63,0,5-0,10.833
A27GTGC4GMC3UE,19,2,2,num,3,small&dense,3.01,1,3,7.975
A27GTGC4GMC3UE,25,2,1,num,6-3,0-0,2.77-1.61,0,1-0,5.747
A27GTGC4GMC3UE,31,2,0,num,6-0,large&sparse-0,3.10-0.89,0,6-5,7.583
A27GTGC4GMC3UE,32,3,0,num,0,0,1.71,0,7,2.951
A27GTGC4GMC3UE,16,5,0,pos,0-4,small&dense-0,2.73-0.85,0,1-0,4.814
A27GTGC4GMC3UE,2,3,2,pos,5-3-4,small&dense-0-large&sparse,1.78-0.62-2.27,0,5-4-6,6.032
A27GTGC4GMC3UE,26,3,1,num,4-6-1,small&dense-large&sparse-0,3.62-2.64-1.95,0,3-4-6,9.984
A27GTGC4GMC3UE,24,1,1,num,1-4,0-0,3.05-1.45,0,2-6,9.094
