userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A1D6AD1CZ6RG1,0,2,2,pos,1-0-3-6-5-7,0-0-small&dense-0-0-0,3.07-2.24-3.14-1.39-5.75-1.68,0,3月4日,60
A1D6AD1CZ6RG1,0,2,2,pos,1-0-3-6-5-7,0-0-small&dense-0-0-0,3.07-2.24-3.14-1.39-5.75-1.68,0,3月4日,60
A1D6AD1CZ6RG1,27,5,1,num,2-0-3-6,0-0-0-0,0.83-8.27-1.41-19.27,0,5,60
A1D6AD1CZ6RG1,12,2,0,pos,4-3-0,0-0-0,5.45-1.13-38.56,0,6,60
A1D6AD1CZ6RG1,21,5,2,num,4-5-7-3-6-0,0-0-0-0-0-0,1.11-7.91-13.30-2.71-6.58-6.71,0,1,60
A1D6AD1CZ6RG1,29,1,1,num,3,0,8.6,0,4,11.142
A1D6AD1CZ6RG1,15,5,0,pos,1,0,3.21,0,7,5.017
A1D6AD1CZ6RG1,60,-1,2,center position,5,small&dense,2.64,1,5,4.712
A1D6AD1CZ6RG1,34,0,0,num,5-0-4,large&dense-0-0,2.25-1.52-1.13,0,2005/7/6,6.619
A1D6AD1CZ6RG1,1,3,2,pos,4,0,1.96,0,2,4.197
A1D6AD1CZ6RG1,20,4,2,num,5月3日,0-0,1.89-2.08,0,4月7日,5.877
A1D6AD1CZ6RG1,7,3,1,pos,4-3-0,0-large&sparse-0,1.84-1.69-2.79,0,2005/3/7,7.276
A1D6AD1CZ6RG1,5,1,2,pos,4月7日,0-0,2.38-1.40,0,0-3,6.645
A1D6AD1CZ6RG1,10,0,1,pos,3月1日,large&dense-0,2.09-1.59,0,7月3日,5.297
A1D6AD1CZ6RG1,13,3,0,pos,2007/1/5,0-0-large&dense,1.65-0.71-0.85,0,3-5-0,5.095
A1D6AD1CZ6RG1,14,4,0,pos,2007/3/5,large&dense-0-large&dense,1.73-0.93-8.50,0,2006/5/7,12.612
A1D6AD1CZ6RG1,32,-1,2,shape,2,0,2.35,0,4,3.733
A1D6AD1CZ6RG1,22,0,2,num,5月2日,0-0,1.72-1.10,0,0-7,4.755
A1D6AD1CZ6RG1,62,-1,2,center position,0,0,1.62,0,4,3.155
A1D6AD1CZ6RG1,23,1,2,num,1-6-0,0-large&dense-large&dense,1.84-1.05-0.85,0,3-6-0,5.186
A1D6AD1CZ6RG1,17,1,0,pos,0-5,small&dense-small&sparse,2.40-1.28,1,0-5,5.455
A1D6AD1CZ6RG1,8,4,1,pos,4月1日,0-large&dense,1.94-0.86,0,1月6日,4.406
A1D6AD1CZ6RG1,35,1,0,num,2007/2/6,0-0-small&dense,1.80-0.72-1.02,0,6-5-0,5.111
A1D6AD1CZ6RG1,3,5,2,pos,0,0,2.5,0,7,4.637
A1D6AD1CZ6RG1,33,5,0,num,0,0,2.09,0,5,5.41
A1D6AD1CZ6RG1,9,5,1,pos,0,0,2.35,0,1,4.688
A1D6AD1CZ6RG1,4,0,2,pos,2000/4/3,small&dense-0-0,1.39-0.83-0.52,0,2000/2/6,3.972
A1D6AD1CZ6RG1,3,-1,2,point number,2,0,1.69,0,1,3.054
A1D6AD1CZ6RG1,6,2,1,pos,3,0,2.19,0,2,3.174
A1D6AD1CZ6RG1,28,0,1,num,2000/1/7,small&dense-0-0,9.76-0.63-1.01,0,2000/2/5,13.311
A1D6AD1CZ6RG1,18,2,2,num,2003/4/6,0-0-0,5.41-0.52-1.29,0,2007/2/5,8.886
A1D6AD1CZ6RG1,11,1,1,pos,2007/5/4,0-0-0,2.56-0.80-0.45,0,6-1-0,5.51
A1D6AD1CZ6RG1,30,2,0,num,7-0,0-small&dense,1.47-0.74,0,5-0,3.944
A1D6AD1CZ6RG1,19,3,2,num,0,0,1.5,0,3,2.941
A1D6AD1CZ6RG1,25,3,1,num,3月5日,0-0,1.47-1.02,0,1-0,3.978
A1D6AD1CZ6RG1,31,3,0,num,3月5日,0-large&dense,1.89-0.45,0,6月5日,4.879
A1D6AD1CZ6RG1,32,4,0,num,4,0,3.58,0,7,5.356
A1D6AD1CZ6RG1,16,0,0,pos,5月2日,0-0,1.76-0.90,0,1-0,4.259
A1D6AD1CZ6RG1,2,4,2,pos,2003/5/2,0-small&dense-0,1.51-0.64-0.52,0,2005/4/6,4.021
A1D6AD1CZ6RG1,26,4,1,num,4-1-0,small&dense-0-0,1.44-0.73-0.80,0,2003/4/6,4.562
A1D6AD1CZ6RG1,24,2,1,num,1月3日,0-0,1.28-0.65,0,2月6日,3.264
A1D6AD1CZ6RG1,0,2,2,pos,1月6日,0-0,2.12-3.22,0,3月4日,6.503
