userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A172SY7N6ETSCK,0,3,2,pos,3月7日,small&dense-0,3.25-5.48,0,3月4日,10.555
A172SY7N6ETSCK,27,0,1,num,2,0,7.38,0,5,21.009
A172SY7N6ETSCK,12,3,0,pos,6,large&dense,2.82,1,6,4.586
A172SY7N6ETSCK,21,0,2,num,2,0,4.47,0,1,6.292
A172SY7N6ETSCK,29,2,1,num,7,0,5.89,0,4,8.061
A172SY7N6ETSCK,15,0,0,pos,2,0,4.32,0,7,6.708
A172SY7N6ETSCK,60,-1,2,center position,0,0,3.35,0,5,5.233
A172SY7N6ETSCK,34,1,0,num,5-2-0,large&dense-0-0,1.83-2.57-3.65,0,2005/7/6,9.738
A172SY7N6ETSCK,1,4,2,pos,1,0,2.47,0,2,5.094
A172SY7N6ETSCK,20,5,2,num,4月7日,small&dense-large&dense,1.72-5.21,1,4月7日,7.805
A172SY7N6ETSCK,7,4,1,pos,2004/2/5,0-0-small&sparse,2.48-1.07-2.65,0,2005/3/7,10.515
A172SY7N6ETSCK,5,2,2,pos,0-7,large&dense-0,1.66-1.22,0,0-3,4.679
A172SY7N6ETSCK,10,1,1,pos,4月2日,0-0,2.35-1.12,0,7月3日,5.588
A172SY7N6ETSCK,13,4,0,pos,2007/1/2,0-0-0,1.82-0.89-7.11,0,3-5-0,10.636
A172SY7N6ETSCK,14,5,0,pos,2007/5/3,large&dense-large&dense-0,1.69-0.68-0.74,0,2006/5/7,4.999
A172SY7N6ETSCK,32,-1,2,shape,2,0,1.81,0,4,3.321
A172SY7N6ETSCK,22,1,2,num,5-0,0-large&sparse,2.10-0.92,0,0-7,4.671
A172SY7N6ETSCK,62,-1,2,center position,1,0,5.11,0,4,6.766
A172SY7N6ETSCK,23,2,2,num,2006/1/3,large&dense-0-small&sparse,3.98-0.75-1.82,0,3-6-0,8.437
A172SY7N6ETSCK,17,2,0,pos,6月4日,0-0,1.77-1.13,0,0-5,4.728
A172SY7N6ETSCK,8,5,1,pos,6月1日,large&sparse-large&dense,2.30-1.33,1,1月6日,5.255
A172SY7N6ETSCK,35,2,0,num,2005/6/7,large&sparse-small&dense-0,1.92-1.29-5.77,0,6-5-0,9.976
A172SY7N6ETSCK,3,0,2,pos,6,0,3.37,0,7,5.053
A172SY7N6ETSCK,33,0,0,num,3,0,2.36,0,5,4.029
A172SY7N6ETSCK,9,0,1,pos,2,0,2.79,0,1,4.407
A172SY7N6ETSCK,4,1,2,pos,2000/5/1,small&dense-0-0,2.42-2.48-1.41,0,2000/2/6,8.014
A172SY7N6ETSCK,3,-1,2,point number,4,0,4.87,0,1,8.03
A172SY7N6ETSCK,6,3,1,pos,3,0,2.36,0,2,3.989
A172SY7N6ETSCK,28,1,1,num,2001/4/6,0-0-0,4.80-1.65-1.51,0,2000/2/5,9.759
A172SY7N6ETSCK,18,3,2,num,2005/2/7,small&sparse-small&dense-small&dense,2.20-0.97-0.97,1,2007/2/5,5.617
A172SY7N6ETSCK,11,2,1,pos,7-0-5,0-large&sparse-0,1.18-1.24-2.88,0,6-1-0,10.913
A172SY7N6ETSCK,30,3,0,num,5-0,small&dense-small&dense,1.86-1.36,1,5-0,5.052
A172SY7N6ETSCK,19,4,2,num,5,0,1.85,0,3,11.665
A172SY7N6ETSCK,25,4,1,num,0-5,large&sparse-0,1.60-2.69,0,1-0,5.108
A172SY7N6ETSCK,31,4,0,num,4月5日,0-large&dense,1.67-3.44,0,6月5日,6.067
A172SY7N6ETSCK,32,5,0,num,0,0,1.71,0,7,3.71
A172SY7N6ETSCK,16,1,0,pos,5月6日,0-0,2.71-1.07,0,1-0,5.618
A172SY7N6ETSCK,2,5,2,pos,2004/5/6,large&sparse-small&dense-small&sparse,2.26-3.97-1.57,1,2005/4/6,11.097
A172SY7N6ETSCK,26,5,1,num,2004/3/6,small&dense-small&sparse-large&sparse,1.71-1.22-0.89,1,2003/4/6,5.447
A172SY7N6ETSCK,24,3,1,num,2月6日,small&dense-small&sparse,2.63-1.48,1,2月6日,5.746
