userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A1V7K0K31N8KKC,0,3,2,pos,5-2,0-0,3.30-1.02,0,3-4,9.15
A1V7K0K31N8KKC,27,0,1,num,1,0,2.65,0,5,5.64
A1V7K0K31N8KKC,12,3,0,pos,6,large&dense,1.80,1,6,5.931
A1V7K0K31N8KKC,21,0,2,num,4,0,2.53,0,1,5.742
A1V7K0K31N8KKC,29,2,1,num,6,0,2.19,0,4,4.947
A1V7K0K31N8KKC,15,0,0,pos,1,0,2.26,0,7,4.986
A1V7K0K31N8KKC,60,-1,2,center position,1,0,1.64,0,5,4.268
A1V7K0K31N8KKC,34,1,0,num,0-4-5,0-0-large&dense,3.75-1.57-1.20,0,5-7-6,9.174
A1V7K0K31N8KKC,1,4,2,pos,5,0,3.97,0,2,5.694
A1V7K0K31N8KKC,20,5,2,num,5-3,0-0,1.20-6.21,0,4-7,9.774
A1V7K0K31N8KKC,7,4,1,pos,4-6-2,0-0-0,1.41-5.82-2.88,0,5-3-7,12.83
A1V7K0K31N8KKC,5,2,2,pos,3-0,small&sparse-large&dense,5.17-2.08,1,0-3,9.66
A1V7K0K31N8KKC,10,1,1,pos,6-1,0-0,1.28-3.56,0,7-3,7.312
A1V7K0K31N8KKC,13,4,0,pos,7-0-2,0-large&sparse-0,2.06-1.92-5.89,0,3-5-0,11.895
A1V7K0K31N8KKC,14,5,0,pos,3-6-2,0-small&sparse-0,1.72-1.64-3.60,0,6-5-7,9.929
A1V7K0K31N8KKC,32,-1,2,shape,4,large&dense,2.51,1,4,5.077
A1V7K0K31N8KKC,22,1,2,num,0-5,large&sparse-0,1.80-1.27,0,0-7,11.444
A1V7K0K31N8KKC,62,-1,2,center position,1,0,2.27,0,4,5.657
A1V7K0K31N8KKC,23,2,2,num,5-6-0,0-large&dense-large&dense,2.13-0.74-1.53,0,3-6-0,6.276
A1V7K0K31N8KKC,17,2,0,pos,3-0,0-small&dense,2.28-0.01,0,0-5,7.269
A1V7K0K31N8KKC,8,5,1,pos,6-4,large&sparse-0,1.89-1.03,0,1-6,5.899
A1V7K0K31N8KKC,35,2,0,num,7-1-5,0-0-large&sparse,1.24-1.10-1.09,0,6-5-0,7.262
A1V7K0K31N8KKC,3,0,2,pos,7,small&sparse,1.60,1,7,6.847
A1V7K0K31N8KKC,33,0,0,num,3,0,0.20,0,5,4.444
A1V7K0K31N8KKC,9,0,1,pos,3,0,1.41,0,1,3.982
A1V7K0K31N8KKC,4,1,2,pos,0-3-1,small&dense-0-0,1.09-3.33-1.71,0,0-2-6,8.205
A1V7K0K31N8KKC,3,-1,2,point number,2,0,2.73,0,1,5.849
A1V7K0K31N8KKC,6,3,1,pos,3,0,1.62,0,2,3.694
A1V7K0K31N8KKC,28,1,1,num,4-6-1,0-0-0,2.04-0.79-3.01,0,0-2-5,8.781
A1V7K0K31N8KKC,18,3,2,num,6-0-2,0-0-small&dense,2.25-0.17-1.35,0,7-2-5,8.781
A1V7K0K31N8KKC,11,2,1,pos,5-7-0,0-0-large&sparse,1.46-1.72-0.86,0,6-1-0,7.319
A1V7K0K31N8KKC,30,3,0,num,7-0,0-small&dense,1.42-1.00,0,5-0,5.901
A1V7K0K31N8KKC,19,4,2,num,5,0,1.69,0,3,4.076
A1V7K0K31N8KKC,25,4,1,num,3-6,0-0,2.29-4.88,0,1-0,8.243
A1V7K0K31N8KKC,31,4,0,num,3-4,0-0,1.97-1.87,0,6-5,5.833
A1V7K0K31N8KKC,32,5,0,num,0,0,2.73,0,7,5.063
A1V7K0K31N8KKC,16,1,0,pos,2-4,0-0,1.68-0.97,0,1-0,4.487
A1V7K0K31N8KKC,2,5,2,pos,4-7-6,large&sparse-0-small&sparse,1.48-1.02-2.41,0,5-4-6,7.316
A1V7K0K31N8KKC,26,5,1,num,4-1-3,small&dense-0-small&sparse,2.02-1.17-1.45,0,3-4-6,7.4
A1V7K0K31N8KKC,24,3,1,num,2-4,small&dense-0,1.84-1.10,0,2-6,4.722
