userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
ACB7Y1J58NG7H,0,3,2,pos,6-5,0-0,3.10-6.52,0,3-4,10.583
ACB7Y1J58NG7H,27,0,1,num,7,0,2.00,0,5,55.421
ACB7Y1J58NG7H,12,3,0,pos,0,0,9.94,0,6,46.442
ACB7Y1J58NG7H,21,0,2,num,5,0,2.55,0,1,4.302
ACB7Y1J58NG7H,29,2,1,num,0,0,1.82,0,4,2.875
ACB7Y1J58NG7H,15,0,0,pos,0,0,1.81,0,7,3.122
ACB7Y1J58NG7H,60,-1,2,center position,0,0,2.85,0,5,3.936
ACB7Y1J58NG7H,34,1,0,num,1-2-4-7-0,0-0-0-large&dense-0,5.34-6.64-1.29-2.33-1.10,0,5-7-6,60
ACB7Y1J58NG7H,1,4,2,pos,4,0,3.07,0,2,4.27
ACB7Y1J58NG7H,20,5,2,num,1-4,0-small&dense,2.34-4.82,0,4-7,8.263
ACB7Y1J58NG7H,7,4,1,pos,5-6-7,small&sparse-0-small&sparse,6.07-4.08-0.71,0,5-3-7,32.525
ACB7Y1J58NG7H,5,2,2,pos,5-2-0-6-4-3-7,0-0-large&dense-0-0-small&sparse-0,2.25-3.36-0.83-3.06-5.07-12.08-5.83,0,0-3,60
ACB7Y1J58NG7H,10,1,1,pos,2-5,0-0,2.53-4.27,0,7-3,41.528
ACB7Y1J58NG7H,13,4,0,pos,1-2-3,0-0-small&dense,6.36-3.92-2.52,0,3-5-0,38.322
ACB7Y1J58NG7H,14,5,0,pos,3-0-7,0-0-large&dense,1.73-1.86-1.09,0,6-5-7,44.671
ACB7Y1J58NG7H,32,-1,2,shape,2,0,1.91,0,4,48.296
ACB7Y1J58NG7H,22,1,2,num,2-0-4-5-6-1,0-large&sparse-0-0-0-0,8.05-3.56-0.83-3.70-1.71-0.56,0,0-7,60
ACB7Y1J58NG7H,62,-1,2,center position,1,0,1.99,0,4,48.323
ACB7Y1J58NG7H,23,2,2,num,6-5-4,large&dense-0-0,1.80-1.31-1.34,0,3-6-0,43.503
ACB7Y1J58NG7H,17,2,0,pos,4-6,0-0,9.78-0.81,0,0-5,47.149
ACB7Y1J58NG7H,8,5,1,pos,3-0,0-0,2.16-1.05,0,1-6,40.672
ACB7Y1J58NG7H,35,2,0,num,7-1-6,0-0-small&dense,1.88-0.49-3.72,0,6-5-0,32.267
ACB7Y1J58NG7H,3,0,2,pos,5,0,1.31,0,7,25.833
ACB7Y1J58NG7H,33,0,0,num,1,0,1.42,0,5,42.253
ACB7Y1J58NG7H,9,0,1,pos,4,0,13.96,0,1,44.212
ACB7Y1J58NG7H,4,1,2,pos,3-4-1,0-0-0,4.53-0.42-1.44,0,0-2-6,60
ACB7Y1J58NG7H,3,-1,2,point number,1,large&dense,1.67,1,1,26.116
ACB7Y1J58NG7H,6,3,1,pos,3,0,1.31,0,2,41.317
ACB7Y1J58NG7H,28,1,1,num,4-7-0,0-0-small&dense,1.76-0.42-0.36,0,0-2-5,27.771
ACB7Y1J58NG7H,18,3,2,num,6-1-2,0-0-small&dense,1.75-0.30-1.69,0,7-2-5,15.712
ACB7Y1J58NG7H,11,2,1,pos,3-2-7,0-0-0,0.84-0.32-0.35,0,6-1-0,18.603
ACB7Y1J58NG7H,30,3,0,num,3-7,0-0,0.65-0.56,0,5-0,28.8
ACB7Y1J58NG7H,19,4,2,num,2,0,0.18,0,3,35.238
ACB7Y1J58NG7H,25,4,1,num,4-3,0-0,2.94-0.36,0,1-0,25.289
ACB7Y1J58NG7H,31,4,0,num,0-2,0-0,1.20-0.41,0,6-5,25.295
ACB7Y1J58NG7H,32,5,0,num,2,0,1.31,0,7,31.132
ACB7Y1J58NG7H,16,1,0,pos,2-1,0-small&sparse,0.94-0.34,0,1-0,27.027
ACB7Y1J58NG7H,2,5,2,pos,5-0-7,small&dense-0-0,1.29-0.64-0.28,0,5-4-6,23.704
ACB7Y1J58NG7H,26,5,1,num,0-4-5,0-small&dense-0,2.59-4.26-0.77,0,3-4-6,24.028
ACB7Y1J58NG7H,24,3,1,num,4-1,0-0,1.66-0.62,0,2-6,36.77
