userName,fileId,conditionId,changeMagnitude,changeType,userResult,totalTime
A34DYM8J0X5VK,0,0,2,pos,8,7.873
A34DYM8J0X5VK,27,3,1,num,7,9.937
A34DYM8J0X5VK,12,0,0,pos,7,8.059
A34DYM8J0X5VK,21,3,2,num,8,19.855
A34DYM8J0X5VK,29,5,1,num,8,12.897
A34DYM8J0X5VK,15,3,0,pos,8,29.97
A34DYM8J0X5VK,60,-1,2,center position,6,6.669
A34DYM8J0X5VK,34,4,0,num,7,6.993
A34DYM8J0X5VK,1,1,2,pos,8,13.278
A34DYM8J0X5VK,20,2,2,num,6,17.124
A34DYM8J0X5VK,7,1,1,pos,8,16.992
A34DYM8J0X5VK,5,5,2,pos,8,17.029
A34DYM8J0X5VK,10,4,1,pos,8,12.298
A34DYM8J0X5VK,13,1,0,pos,8,14.088
A34DYM8J0X5VK,14,2,0,pos,9,31.874
A34DYM8J0X5VK,32,-1,2,shape,6,8.875
A34DYM8J0X5VK,22,4,2,num,8,9.047
A34DYM8J0X5VK,62,-1,2,center position,6,11.448
A34DYM8J0X5VK,23,5,2,num,6,26.585
A34DYM8J0X5VK,17,5,0,pos,7,32.174
A34DYM8J0X5VK,8,2,1,pos,8,14.71
A34DYM8J0X5VK,35,5,0,num,7,21.8
A34DYM8J0X5VK,3,3,2,pos,8,10.935
A34DYM8J0X5VK,33,3,0,num,6,10.316
A34DYM8J0X5VK,9,3,1,pos,8,11.699
A34DYM8J0X5VK,4,4,2,pos,8,12.979
A34DYM8J0X5VK,3,-1,2,point number,6,10.668
A34DYM8J0X5VK,6,0,1,pos,8,12.914
A34DYM8J0X5VK,28,4,1,num,7,30.047
A34DYM8J0X5VK,18,0,2,num,7,18.522
A34DYM8J0X5VK,11,5,1,pos,7,10.077
A34DYM8J0X5VK,30,0,0,num,7,11.495
A34DYM8J0X5VK,19,1,2,num,8,10.023
A34DYM8J0X5VK,25,1,1,num,8,8.318
A34DYM8J0X5VK,31,1,0,num,8,20.91
A34DYM8J0X5VK,32,2,0,num,6,19.402
A34DYM8J0X5VK,16,4,0,pos,8,12.879
A34DYM8J0X5VK,2,2,2,pos,5,30.264
A34DYM8J0X5VK,26,2,1,num,6,27.291
A34DYM8J0X5VK,24,0,1,num,8,22.763
