userName,fileId,conditionId,changeMagnitude,changeType,userResult,totalTime
ADD4CIDYCKN66,0,3,2,pos,8,10.137
ADD4CIDYCKN66,27,0,1,num,7,19.512
ADD4CIDYCKN66,12,3,0,pos,8,16.141
ADD4CIDYCKN66,21,0,2,num,7,32.21
ADD4CIDYCKN66,29,2,1,num,6,10.007
ADD4CIDYCKN66,15,0,0,pos,7,23.84
ADD4CIDYCKN66,60,-1,2,center position,6,9.307
ADD4CIDYCKN66,34,1,0,num,8,10.876
ADD4CIDYCKN66,1,4,2,pos,8,11.916
ADD4CIDYCKN66,20,5,2,num,8,12.087
ADD4CIDYCKN66,7,4,1,pos,8,18.26
ADD4CIDYCKN66,5,2,2,pos,7,20.412
ADD4CIDYCKN66,10,1,1,pos,9,29.521
ADD4CIDYCKN66,13,4,0,pos,7,29.992
ADD4CIDYCKN66,14,5,0,pos,9,11.248
ADD4CIDYCKN66,32,-1,2,shape,6,6.439
ADD4CIDYCKN66,22,1,2,num,7,19.06
ADD4CIDYCKN66,62,-1,2,center position,6,8.131
ADD4CIDYCKN66,23,2,2,num,7,11.253
ADD4CIDYCKN66,17,2,0,pos,6,12.601
ADD4CIDYCKN66,8,5,1,pos,8,15.177
ADD4CIDYCKN66,35,2,0,num,6,17.154
ADD4CIDYCKN66,3,0,2,pos,8,42.002
ADD4CIDYCKN66,33,0,0,num,6,15.794
ADD4CIDYCKN66,9,0,1,pos,8,13.284
ADD4CIDYCKN66,4,1,2,pos,8,7.181
ADD4CIDYCKN66,3,-1,2,point number,6,8.592
ADD4CIDYCKN66,6,3,1,pos,8,24.142
ADD4CIDYCKN66,28,1,1,num,8,22.651
ADD4CIDYCKN66,18,3,2,num,8,13.13
ADD4CIDYCKN66,11,2,1,pos,7,25.561
ADD4CIDYCKN66,30,3,0,num,7,11.957
ADD4CIDYCKN66,19,4,2,num,8,12.225
ADD4CIDYCKN66,25,4,1,num,8,9.023
ADD4CIDYCKN66,31,4,0,num,8,19.989
ADD4CIDYCKN66,32,5,0,num,8,18.98
ADD4CIDYCKN66,16,1,0,pos,7,10.504
ADD4CIDYCKN66,2,5,2,pos,6,16.248
ADD4CIDYCKN66,26,5,1,num,8,13.437
ADD4CIDYCKN66,24,3,1,num,8,11.433
