userName,fileId,conditionId,changeMagnitude,changeType,userResult,totalTime
A2CCTT5OKX0WC8,0,4,2,pos,7,10.907
A2CCTT5OKX0WC8,27,1,1,num,8,11.676
A2CCTT5OKX0WC8,12,4,0,pos,8,10.507
A2CCTT5OKX0WC8,21,1,2,num,7,11.403
A2CCTT5OKX0WC8,29,3,1,num,6,10.042
A2CCTT5OKX0WC8,15,1,0,pos,8,11.293
A2CCTT5OKX0WC8,60,-1,2,center position,6,7.631
A2CCTT5OKX0WC8,34,2,0,num,6,8.207
A2CCTT5OKX0WC8,1,5,2,pos,8,8.968
A2CCTT5OKX0WC8,20,0,2,num,7,9.995
A2CCTT5OKX0WC8,7,5,1,pos,8,10.907
A2CCTT5OKX0WC8,5,3,2,pos,7,8.489
A2CCTT5OKX0WC8,10,2,1,pos,7,8.946
A2CCTT5OKX0WC8,13,5,0,pos,7,12.926
A2CCTT5OKX0WC8,14,0,0,pos,7,13.335
A2CCTT5OKX0WC8,32,-1,2,shape,6,11.978
A2CCTT5OKX0WC8,22,2,2,num,8,10.187
A2CCTT5OKX0WC8,62,-1,2,center position,6,10.175
A2CCTT5OKX0WC8,23,3,2,num,8,11.082
A2CCTT5OKX0WC8,17,3,0,pos,7,15.64
A2CCTT5OKX0WC8,8,0,1,pos,8,10.04
A2CCTT5OKX0WC8,35,3,0,num,7,16.811
A2CCTT5OKX0WC8,3,1,2,pos,7,15.612
A2CCTT5OKX0WC8,33,1,0,num,8,22.009
A2CCTT5OKX0WC8,9,1,1,pos,8,7.88
A2CCTT5OKX0WC8,4,2,2,pos,8,11.508
A2CCTT5OKX0WC8,3,-1,2,point number,6,10.558
A2CCTT5OKX0WC8,6,4,1,pos,8,7.192
A2CCTT5OKX0WC8,28,2,1,num,6,13.868
A2CCTT5OKX0WC8,18,4,2,num,8,13.425
A2CCTT5OKX0WC8,11,3,1,pos,8,7.771
A2CCTT5OKX0WC8,30,4,0,num,7,16.945
A2CCTT5OKX0WC8,19,5,2,num,8,9.88
A2CCTT5OKX0WC8,25,5,1,num,8,8.158
A2CCTT5OKX0WC8,31,5,0,num,8,17.921
A2CCTT5OKX0WC8,32,0,0,num,8,16.884
A2CCTT5OKX0WC8,16,2,0,pos,8,8.024
A2CCTT5OKX0WC8,2,0,2,pos,7,8.611
A2CCTT5OKX0WC8,26,0,1,num,7,18.125
A2CCTT5OKX0WC8,24,4,1,num,8,11.918
